== ALL picks 1-64, classes 2004-2022 cohort n=1197 classes 2004-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 | 1197     0 |    839.2     839.2  1.000 |    1004.5
   1 | 1197     0 |    856.9     839.2  1.021 |    1025.7
   2 | 1197     0 |   1073.5     839.2  1.279 |    1284.9
   3 | 1197   141 |   1214.8     839.2  1.448 |    1454.2
   4 | 1197   258 |   1287.7     839.2  1.535 |    1541.4
   5 | 1139   334 |   1280.7     835.1  1.533 |    1458.7
   6 | 1075   391 |   1246.8     834.2  1.495 |    1340.4
   7 | 1014   430 |   1084.5     835.2  1.299 |    1099.7
   8 |  950   452 |    888.8     831.3  1.069 |     844.3
   9 |  886   457 |    687.7     830.4  0.828 |     609.3
== 2020 draft class only cohort n=61 classes 2020-2020
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |   61     0 |    818.2     818.2  1.000 |      49.9
   1 |   61     0 |    722.5     818.2  0.883 |      44.1
   2 |   61     0 |    821.3     818.2  1.004 |      50.1
   3 |   61     7 |    881.4     818.2  1.077 |      53.8
   4 |   61    14 |    741.8     818.2  0.907 |      45.2
   5 |   61    19 |    809.8     818.2  0.990 |      49.4
   6 |   61    22 |    761.5     818.2  0.931 |      46.5
2020 class picks present: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] ...
== last 10 classes (2013-2022) cohort n=627 classes 2013-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  627     0 |    839.9     839.9  1.000 |     526.6
   1 |  627     0 |    866.3     839.9  1.031 |     543.2
   2 |  627     0 |   1061.2     839.9  1.264 |     665.4
   3 |  627    75 |   1183.0     839.9  1.409 |     741.7
   4 |  627   133 |   1215.0     839.9  1.447 |     761.8
   5 |  569   158 |   1209.1     831.9  1.453 |     688.0
   6 |  505   177 |   1197.3     829.5  1.443 |     604.6
   7 |  444   180 |   1089.0     831.0  1.310 |     483.5
== last 12 (2011-2022) cohort n=752 classes 2011-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  752     0 |    833.3     833.3  1.000 |     626.7
   1 |  752     0 |    868.5     833.3  1.042 |     653.1
   2 |  752     0 |   1061.6     833.3  1.274 |     798.3
   3 |  752    90 |   1196.3     833.3  1.436 |     899.6
   4 |  752   162 |   1223.7     833.3  1.469 |     920.3
   5 |  694   201 |   1215.9     826.2  1.472 |     843.8
   6 |  630   228 |   1210.0     823.7  1.469 |     762.3
   7 |  569   244 |   1076.8     824.3  1.306 |     612.7
== last 15 (2008-2022) cohort n=944 classes 2008-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  944     0 |    836.7     836.7  1.000 |     789.8
   1 |  944     0 |    878.5     836.7  1.050 |     829.3
   2 |  944     0 |   1083.9     836.7  1.295 |    1023.2
   3 |  944   111 |   1220.1     836.7  1.458 |    1151.8
   4 |  944   201 |   1287.5     836.7  1.539 |    1215.4
   5 |  886   250 |   1263.9     831.4  1.520 |    1119.8
   6 |  822   291 |   1228.6     829.8  1.480 |    1009.9
   7 |  761   317 |   1083.5     830.8  1.304 |     824.5
