== ALL picks 1-64, classes 2004-2022 cohort n=1197 classes 2004-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 | 1197     0 |    802.8     802.8  1.000 |     960.9
   1 | 1197     0 |    775.2     802.8  0.966 |     927.9
   2 | 1197     0 |    961.1     802.8  1.197 |    1150.4
   3 | 1197   141 |   1086.0     802.8  1.353 |    1300.0
   4 | 1197   258 |   1149.9     802.8  1.432 |    1376.4
   5 | 1139   334 |   1142.8     798.8  1.431 |    1301.7
   6 | 1075   391 |   1112.3     797.9  1.394 |    1195.7
   7 | 1014   430 |    967.2     798.8  1.211 |     980.8
   8 |  950   452 |    792.7     795.0  0.997 |     753.1
   9 |  886   457 |    613.4     794.1  0.772 |     543.5
== 2020 draft class only cohort n=61 classes 2020-2020
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |   61     0 |    782.4     782.4  1.000 |      47.7
   1 |   61     0 |    656.3     782.4  0.839 |      40.0
   2 |   61     0 |    735.6     782.4  0.940 |      44.9
   3 |   61     7 |    788.0     782.4  1.007 |      48.1
   4 |   61    14 |    663.4     782.4  0.848 |      40.5
   5 |   61    19 |    722.7     782.4  0.924 |      44.1
   6 |   61    22 |    679.3     782.4  0.868 |      41.4
2020 class picks present: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] ...
== last 10 classes (2013-2022) cohort n=627 classes 2013-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  627     0 |    803.6     803.6  1.000 |     503.9
   1 |  627     0 |    782.9     803.6  0.974 |     490.9
   2 |  627     0 |    950.3     803.6  1.183 |     595.8
   3 |  627    75 |   1057.4     803.6  1.316 |     663.0
   4 |  627   133 |   1084.9     803.6  1.350 |     680.2
   5 |  569   158 |   1078.8     795.7  1.356 |     613.8
   6 |  505   177 |   1068.1     793.4  1.346 |     539.4
   7 |  444   180 |    971.3     794.9  1.222 |     431.3
== last 12 (2011-2022) cohort n=752 classes 2011-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  752     0 |    797.3     797.3  1.000 |     599.5
   1 |  752     0 |    785.2     797.3  0.985 |     590.5
   2 |  752     0 |    950.5     797.3  1.192 |     714.8
   3 |  752    90 |   1069.4     797.3  1.341 |     804.2
   4 |  752   162 |   1092.7     797.3  1.371 |     821.7
   5 |  694   201 |   1084.9     790.3  1.373 |     752.9
   6 |  630   228 |   1079.5     787.9  1.370 |     680.1
   7 |  569   244 |    960.4     788.5  1.218 |     546.5
== last 15 (2008-2022) cohort n=944 classes 2008-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  944     0 |    800.6     800.6  1.000 |     755.8
   1 |  944     0 |    793.9     800.6  0.992 |     749.5
   2 |  944     0 |    970.1     800.6  1.212 |     915.7
   3 |  944   111 |   1090.6     800.6  1.362 |    1029.5
   4 |  944   201 |   1149.6     800.6  1.436 |    1085.2
   5 |  886   250 |   1127.8     795.4  1.418 |     999.2
   6 |  822   291 |   1096.0     793.9  1.380 |     900.9
   7 |  761   317 |    966.3     794.8  1.216 |     735.4
