key,player,pos,entry,effpk,draft_year,pathway,pool,old,new,abs,rel,ev_this_build,career_by_season,career_games,best_season_games,best_season_avg,route_debut_year,first_played_year,sitout_years_n,sitout_years,lead_sitout_years,draft_day_anchor,retention_R,games_2026,games_at_pace,lam_before,lam_after,ped,sit,q,exponent,on_sitout_path
mitch-podhajski,Mitch Podhajski,KPF,"MSD (pool, effpk 65)",65,2026,MSD,True,107,132,25,0.2336448598130841,139,2026:2g@48.5,2,2,48.5,2026,2026,0,-,0,300.99,0.70447,2,2.2727,0.507727,0.370758,0.072319,1.0,0.072319,1.46384,True
george-stevens,George Stevens,MID,ND pick 58,58,2023,ND,False,265,219,-46,-0.17358490566037735,231,2025:2g@62.0; 2026:2g@62.0,4,2,62.0,2024,2025,1,2024,1,297.26,0.3525,2,2.2727,0.507727,0.368567,0.097641,0.561584,0.054834,1.472583,True
zane-zakostelsky,Zane Zakostelsky,KPD,ND pick 51,51,2023,ND,False,330,275,-55,-0.16666666666666666,289,2026:3g@49.0,3,3,49.0,2024,2026,2,"2024,2025",2,302.98,0.36077,3,3.4091,0.547,0.412524,0.126224,0.51212,0.064642,1.467679,True
archie-ludowyke,Archie Ludowyke,KPF,ND pick 50,50,2025,ND,False,219,185,-34,-0.1552511415525114,195,2026:1g@57.0,1,1,57.0,2026,2026,0,-,0,225.67,0.70447,1,1.1364,0.205409,0.103234,0.130625,1.0,0.130625,1.434688,True
luker-kentfield,Luker Kentfield,KPF,"MSD (pool, effpk 65)",65,2024,MSD,True,234,200,-34,-0.1452991452991453,211,2026:3g@32.3,3,3,32.33,2024,2026,2,"2024,2025",2,300.99,0.36077,3,3.4091,0.547,0.409103,0.072319,0.51212,0.037036,1.481482,True
noah-mraz,Noah Mraz,KPD,ND pick 35,35,2024,ND,False,3358,2898,-460,-0.136986301369863,3050,2026:4g@84.2,4,4,84.25,2025,2026,1,2025,1,461.25,0.45877,4,4.5455,0.693727,0.592552,0.209889,0.656601,0.137813,1.431093,True
rhys-unwin,Rhys Unwin,SF,ND pick 61,61,2024,ND,False,92,80,-12,-0.13043478260869565,84,2025:3g@22.0; 2026:1g@37.0,4,3,37.0,2025,2025,0,-,0,175.1,0.41609,1,1.1364,0.205409,0.097414,0.086434,0.662891,0.057296,1.471352,True
thomas-anastasopoulos,Tom Anastasopoulos,SF,ND pick 48,48,2023,ND,False,184,160,-24,-0.13043478260869565,168,2026:2g@40.5,2,2,40.5,2024,2026,2,"2024,2025",2,271.26,0.35825,2,2.2727,0.507727,0.371586,0.139697,0.564807,0.078902,1.460549,True
lukas-cooke,Lukas Cooke,KPD,"MSD (pool, effpk 65)",65,2026,MSD,True,136,153,17,0.125,161,2026:2g@43.5,2,2,43.5,2026,2026,0,-,0,300.99,0.70447,2,2.2727,0.507727,0.370758,0.072319,1.0,0.072319,1.46384,True
harrison-ramm,Harrison Ramm,KPD,"MSD (pool, effpk 65)",65,2025,MSD,True,252,221,-31,-0.12301587301587301,233,2025:1g@28.0; 2026:3g@23.7,4,3,28.0,2025,2025,0,-,0,300.99,0.448,3,3.4091,0.547,0.41021,0.072319,0.635949,0.045991,1.477004,True
lachlan-smith,Lachlan Smith,RUCK,ND pick 47,47,2023,ND,False,520,459,-61,-0.11730769230769231,483,2026:2g@53.0,2,2,53.0,2024,2026,2,"2024,2025",2,513.58,0.59666,2,2.2727,0.507727,0.374827,0.144375,0.724009,0.104529,1.447735,True
hudson-o-keeffe,Hudson O'Keeffe,KPF,"SSP (pool, effpk 65)",65,2022,SSP,True,155,137,-18,-0.11612903225806452,144,2025:5g@48.8; 2026:3g@29.7,8,5,48.8,2023,2025,2,"2023,2024",2,265.2,0.33697,3,3.4091,0.547,0.408802,0.072319,0.478328,0.034592,1.482704,True
luke-kennedy,Luke Kennedy,MID,ND pick 62,62,2024,ND,False,329,293,-36,-0.1094224924012158,308,2026:4g@37.2,4,4,37.25,2025,2026,1,2025,1,252.57,0.41609,4,4.5455,0.693727,0.583637,0.08282,0.662891,0.054901,1.47255,True
matt-whitlock,Matt Whitlock,KPF,ND pick 27,27,2024,ND,False,524,468,-56,-0.10687022900763359,492,2025:2g@21.5; 2026:3g@27.7,5,3,27.67,2025,2025,0,-,0,588.52,0.4801,3,3.4091,0.547,0.427007,0.267561,0.669107,0.179027,1.410487,True
jay-polkinghorne,Jay Polkinghorne,SF,ND pick 44,44,2024,ND,False,232,209,-23,-0.09913793103448276,220,2026:3g@52.7,3,3,52.67,2025,2026,1,2025,1,326.29,0.43037,3,3.4091,0.547,0.417648,0.159033,0.663798,0.105566,1.447217,True
aidan-johnson,Aidan Johnson,KPF,"ND (pool, effpk 65)",65,2024,ND,True,71,77,6,0.08450704225352113,81,2025:5g@37.6; 2026:1g@34.0,6,5,37.6,2025,2025,0,-,0,191.54,0.448,1,1.1364,0.205409,0.096546,0.072319,0.635949,0.045991,1.477004,True
tom-cochrane,Tom Cochrane,SF,"RD:SF (pool, effpk 65)",65,2024,RD,True,139,128,-11,-0.07913669064748201,135,2025:3g@34.0; 2026:3g@30.7,6,3,34.0,2025,2025,0,-,0,243.1,0.41609,3,3.4091,0.547,0.410451,0.072319,0.662891,0.04794,1.47603,True
taylor-goad,Taylor Goad,RUCK,ND pick 20,20,2023,ND,False,900,830,-70,-0.07777777777777778,874,2026:2g@43.5,2,2,43.5,2024,2026,2,"2024,2025",2,1037.37,0.60489,2,2.2727,0.507727,0.391434,0.334254,0.695428,0.232449,1.383775,True
noah-roberts-thomson,Noah Roberts-Thomson,SF,ND pick 54,54,2025,ND,False,197,182,-15,-0.07614213197969544,192,2026:3g@38.7,3,3,38.7,2026,2026,0,-,0,222.51,0.62769,3,3.4091,0.547,0.418652,0.113522,1.0,0.113522,1.443239,True
liam-reidy,Liam Reidy,RUCK,"RD:RUCK (pool, effpk 65)",65,2022,RD,True,329,304,-25,-0.07598784194528875,320,2024:2g@41.0; 2025:1g@34.0; 2026:4g@64.3,7,4,64.28,2023,2024,1,2023,1,296.78,0.594,4,4.5455,0.693727,0.583374,0.072319,0.725086,0.052438,1.473781,True
liam-puncher,Liam Puncher,KPD,"MSD (pool, effpk 65)",65,2026,MSD,True,53,57,4,0.07547169811320754,60,2026:5g@37.8,5,5,37.8,2026,2026,0,-,0,300.99,0.70447,5,5.6818,0.941455,0.915475,0.072319,1.0,0.072319,1.46384,True
bodie-ryan,Bodie Ryan,SD,ND pick 46,46,2023,ND,False,211,196,-15,-0.07109004739336493,206,2026:4g@37.9,4,4,37.88,2024,2026,2,"2024,2025",2,312.21,0.36425,4,4.5455,0.693727,0.586829,0.149155,0.568097,0.084734,1.457633,True
cody-curtin,Cody Curtin,KPF,ND pick 43,43,2025,ND,False,420,391,-29,-0.06904761904761905,412,2026:4g@29.8,4,4,29.8,2026,2026,0,-,0,320.55,0.70203,4,4.5455,0.693727,0.595411,0.164142,1.0,0.164142,1.417929,True
oliver-francou,Oliver Francou,MID,"MSD (pool, effpk 65)",65,2026,MSD,True,274,258,-16,-0.058394160583941604,272,2026:4g@71.5,4,4,71.5,2026,2026,0,-,0,300.99,0.62769,4,4.5455,0.693727,0.585498,0.072319,1.0,0.072319,1.46384,True
max-ramsden,Max Ramsden,KPF,"MSD (pool, effpk 65)",65,2022,MSD,True,120,113,-7,-0.058333333333333334,119,2023:2g@25.5; 2024:3g@34.0; 2025:4g@63.2; 2026:2g@40.5,11,4,63.2,2022,2023,1,2022,1,300.99,0.334,2,2.2727,0.507727,0.36601,0.072319,0.474118,0.034288,1.482856,True
ollie-greeves,Ollie Greeves,MID,"RD:MID (pool, effpk 65)",65,2025,RD,True,285,269,-16,-0.056140350877192984,283,2026:4g@44.0,4,4,44.0,2026,2026,0,-,0,309.41,0.62769,4,4.5455,0.693727,0.585498,0.072319,1.0,0.072319,1.46384,True
william-mccabe,William McCabe,KPF,ND pick 19,19,2023,ND,False,575,544,-31,-0.05391304347826087,572,2026:4g@31.8,4,4,31.75,2024,2026,2,"2024,2025",2,778.44,0.46039,4,4.5455,0.693727,0.600922,0.345653,0.620648,0.214528,1.392736,True
flynn-riley,Flynn Riley,RUCK,"MSD (pool, effpk 65)",65,2026,MSD,True,261,247,-14,-0.05363984674329502,260,2026:1g@80.0,1,1,80.0,2026,2026,0,-,0,300.99,0.81921,1,1.1364,0.205409,0.098579,0.072319,1.0,0.072319,1.46384,True
oscar-ryan,Oscar Ryan,SD,ND pick 27,27,2023,ND,False,271,257,-14,-0.05166051660516605,270,2026:1g@96.0,1,1,96.0,2024,2026,2,"2024,2025",2,587.05,0.43274,1,1.1364,0.205409,0.105776,0.267561,0.603097,0.161365,1.419317,True
cameron-nairn,Cameron Nairn,SF,ND pick 20,20,2025,ND,False,424,444,20,0.04716981132075472,467,2026:3g@42.8,3,3,42.8,2026,2026,0,-,0,760.16,0.73825,3,3.4091,0.547,0.447477,0.334254,1.0,0.334254,1.332873,True
balyn-o-brien,Balyn O'Brien,SD,"SSP (pool, effpk 65)",65,2025,SSP,True,200,191,-9,-0.045,201,2026:3g@27.7,3,3,27.67,2026,2026,0,-,0,265.2,0.62769,3,3.4091,0.547,0.413481,0.072319,1.0,0.072319,1.46384,True
jacob-newton,Jacob Newton,SF,"MSD (pool, effpk 65)",65,2025,MSD,True,134,128,-6,-0.04477611940298507,135,2025:2g@25.5; 2026:3g@27.7,5,3,27.7,2025,2025,0,-,0,300.99,0.388,3,3.0,0.547,0.410844,0.072319,0.70674,0.051111,1.474445,True
aidan-schubert,Aidan Schubert,KPF,ND pick 23,23,2025,ND,False,519,499,-20,-0.038535645472061654,525,2026:1g@24.0,1,1,24.0,2026,2026,0,-,0,680.78,0.7286,1,1.1364,0.205409,0.118341,0.303194,1.0,0.303194,1.348403,True
zane-peucker,Zane Peucker,SF,ND pick 31,31,2025,ND,False,277,287,10,0.036101083032490974,302,2026:2g@40.5,2,2,40.5,2026,2026,0,-,0,475.58,0.70495,2,2.2727,0.507727,0.39202,0.236859,1.0,0.236859,1.38157,True
charlie-edwards,Charlie Edwards,MID,ND pick 21,21,2023,ND,False,601,580,-21,-0.03494176372712146,610,2026:2g@47.5,2,2,47.5,2024,2026,2,"2024,2025",2,1186.98,0.45252,2,2.2727,0.507727,0.387041,0.323411,0.615767,0.199146,1.400427,True
charlie-banfield,Charlie Banfield,MID,ND pick 41,41,2025,ND,False,443,429,-14,-0.03160270880361174,451,2026:3g@54.3,3,3,54.3,2026,2026,0,-,0,605.9,0.65976,3,3.4091,0.547,0.426453,0.174727,1.0,0.174727,1.412637,True
matt-hill,Matt Hill,SF,"UNR (pool, effpk 65)",65,2024,UNR,True,41,42,1,0.024390243902439025,44,2026:2g@24.0,2,2,24.0,2025,2026,1,2025,1,108.4,0.41609,2,2.2727,0.507727,0.367707,0.072319,0.662891,0.04794,1.47603,True
jayden-nguyen,Jayden Nguyen,SD,"PDN (pool, effpk 65)",65,2024,PDN,True,267,261,-6,-0.02247191011235955,275,2025:5g@39.2; 2026:5g@42.6,10,5,42.6,2025,2025,0,-,0,129.45,0.41609,5,5.6818,0.941455,0.914802,0.072319,0.662891,0.04794,1.47603,True
charlie-west,Charlie West,KPF,ND pick 50,50,2024,ND,False,548,536,-12,-0.021897810218978103,564,2025:1g@27.0; 2026:5g@34.2,6,5,34.2,2025,2025,0,-,0,225.67,0.448,5,5.6818,0.941455,0.915772,0.130625,0.635949,0.083071,1.458465,True
jaxon-artemis,Jaxon Artemis,SD,"MSD (pool, effpk 65)",65,2026,MSD,True,197,193,-4,-0.02030456852791878,203,2026:3g@53.0,3,3,53.0,2026,2026,0,-,0,300.99,0.62769,3,3.4091,0.547,0.413481,0.072319,1.0,0.072319,1.46384,True
riley-hamilton,Riley Hamilton,SF,"PDA (pool, effpk 65)",65,2025,PDA,True,225,221,-4,-0.017777777777777778,233,2026:5g@36.0,5,5,36.0,2026,2026,0,-,0,204.17,0.62769,5,5.6818,0.941455,0.915475,0.072319,1.0,0.072319,1.46384,True
jack-ough,Jack Ough,MID,ND pick 36,36,2024,ND,False,504,498,-6,-0.011904761904761904,524,2026:5g@46.0,5,5,46.0,2025,2026,1,2025,1,686.79,0.4528,5,5.6818,0.941455,0.91722,0.203629,0.665112,0.135436,1.432282,True
thomas-burton,Thomas Burton,SF,"SSP (pool, effpk 65)",65,2025,SSP,True,271,268,-3,-0.01107011070110701,282,2026:5g@39.4,5,5,39.4,2026,2026,0,-,0,265.2,0.62769,5,5.6818,0.941455,0.915475,0.072319,1.0,0.072319,1.46384,True
henry-hustwaite,Henry Hustwaite,MID,ND pick 37,37,2022,ND,False,218,220,2,0.009174311926605505,232,2023:2g@66.0; 2024:4g@25.0; 2025:4g@46.2; 2026:1g@59.0,11,4,66.0,2023,2023,0,-,0,669.29,0.35057,1,1.1364,0.205409,0.100953,0.19754,0.518323,0.102389,1.448805,True
oliver-hannaford,Oliver Hannaford,SF,ND pick 18,18,2024,ND,False,307,309,2,0.006514657980456026,325,2026:5g@28.2,5,5,28.2,2025,2026,1,2025,1,791.82,0.50678,5,5.6818,0.941455,0.920204,0.357668,0.679763,0.243129,1.378435,True
samuel-swadling,Samuel Swadling,MID,ND pick 37,37,2025,ND,False,642,638,-4,-0.006230529595015576,671,2026:5g@59.0,5,5,59.0,2026,2026,0,-,0,669.29,0.67635,5,5.6818,0.941455,0.918939,0.19754,1.0,0.19754,1.40123,True
dylan-patterson,Dylan Patterson,SD,ND pick 5,5,2025,ND,False,1429,1422,-7,-0.00489853044086774,1496,2026:5g@35.6,5,5,35.6,2026,2026,0,-,0,1189.99,0.62604,5,5.6818,0.941455,0.931352,0.642332,1.0,0.642332,1.178834,True
daniel-annable,Daniel Annable,MID,ND pick 6,6,2025,ND,False,1243,1237,-6,-0.004827031375703942,1302,2026:1g@40.0,1,1,40.0,2026,2026,0,-,0,1981.31,0.64796,1,1.1364,0.205409,0.149888,0.601814,1.0,0.601814,1.199093,True
