key,player,pos,entry,effpk,draft_year,pathway,pool,old,new,abs,rel,ev_this_build,career_by_season,career_games,best_season_games,best_season_avg,route_debut_year,first_played_year,sitout_years_n,sitout_years,lead_sitout_years,draft_day_anchor,retention_R,games_2026,games_at_pace,games_at_pace_clamped,lam_raw,lam_stage4,lam_after,ped,sit,q,e_full,anchor_full,evidence_over_prior,s_surprise,u_unresolved,surprise_demand,exponent_stage4,exponent,on_sitout_path
mitch-podhajski,Mitch Podhajski,KPF,"MSD (pool, effpk 65)",65,2026,MSD,True,132,200,68,0.5151515151515151,211,2026:2g@48.5,2,2,48.5,2026,2026,0,-,0,300.99,0.70447,2,2.2727,2.2727,0.507727,0.370758,0.004012,0.072319,1.0,0.072319,13.27,212.03,0.0626,2.771286,0.48192,6.677686,1.46384,8.141526,True
george-stevens,George Stevens,MID,ND pick 58,58,2023,ND,False,219,111,-108,-0.4931506849315068,117,2025:2g@62.0; 2026:2g@62.0,4,2,62.0,2024,2025,1,2024,1,297.26,0.3525,2,2.2727,2.2727,0.507727,0.368567,0.036169,0.097641,0.561584,0.054834,434.1,104.79,4.1427,1.421356,0.48192,3.424896,1.472583,4.89748,True
noah-mraz,Noah Mraz,KPD,ND pick 35,35,2024,ND,False,2898,1585,-1313,-0.4530710835058661,1668,2026:4g@84.2,4,4,84.25,2025,2026,1,2025,1,461.25,0.45877,4,4.5455,4.5455,0.693727,0.592552,0.303456,0.209889,0.656601,0.137813,5068.48,211.61,23.9523,3.176066,0.115239,1.830042,1.431093,3.261135,True
zane-zakostelsky,Zane Zakostelsky,KPD,ND pick 51,51,2023,ND,False,275,152,-123,-0.44727272727272727,160,2026:3g@49.0,3,3,49.0,2024,2026,2,"2024,2025",2,302.98,0.36077,3,3.4091,3.4091,0.547,0.412524,0.121914,0.126224,0.51212,0.064642,519.62,109.31,4.7538,1.55894,0.259214,2.020497,1.467679,3.488177,True
thomas-anastasopoulos,Tom Anastasopoulos,SF,ND pick 48,48,2023,ND,False,160,104,-56,-0.35,109,2026:2g@40.5,2,2,40.5,2024,2026,2,"2024,2025",2,271.26,0.35825,2,2.2727,2.2727,0.507727,0.371586,0.064918,0.139697,0.564807,0.078902,282.81,97.18,2.9102,1.068213,0.48192,2.573965,1.460549,4.034514,True
lukas-cooke,Lukas Cooke,KPD,"MSD (pool, effpk 65)",65,2026,MSD,True,153,198,45,0.29411764705882354,208,2026:2g@43.5,2,2,43.5,2026,2026,0,-,0,300.99,0.70447,2,2.2727,2.2727,0.507727,0.370758,0.03986,0.072319,1.0,0.072319,54.12,212.03,0.2553,1.365474,0.48192,3.290243,1.46384,4.754084,True
luker-kentfield,Luker Kentfield,KPF,"MSD (pool, effpk 65)",65,2024,MSD,True,200,142,-58,-0.29,149,2026:3g@32.3,3,3,32.33,2024,2026,2,"2024,2025",2,300.99,0.36077,3,3.4091,3.4091,0.547,0.409103,0.161253,0.072319,0.51212,0.037036,357.16,108.59,3.2892,1.190636,0.259214,1.543149,1.481482,3.024631,True
lachlan-smith,Lachlan Smith,RUCK,ND pick 47,47,2023,ND,False,459,328,-131,-0.28540305010893247,345,2026:2g@53.0,2,2,53.0,2024,2026,2,"2024,2025",2,513.58,0.59666,2,2.2727,2.2727,0.507727,0.374827,0.077369,0.144375,0.724009,0.104529,805.22,306.44,2.6277,0.966095,0.48192,2.327901,1.447735,3.775637,True
harrison-ramm,Harrison Ramm,KPD,"MSD (pool, effpk 65)",65,2025,MSD,True,221,169,-52,-0.23529411764705882,178,2025:1g@28.0; 2026:3g@23.7,4,3,28.0,2025,2025,0,-,0,300.99,0.448,3,3.4091,3.4091,0.547,0.41021,0.183232,0.072319,0.635949,0.045991,377.96,134.84,2.803,1.030679,0.259214,1.335834,1.477004,2.812838,True
matt-whitlock,Matt Whitlock,KPF,ND pick 27,27,2024,ND,False,468,359,-109,-0.2329059829059829,378,2025:2g@21.5; 2026:3g@27.7,5,3,27.67,2025,2025,0,-,0,588.52,0.4801,3,3.4091,3.4091,0.547,0.427007,0.190973,0.267561,0.669107,0.179027,790.71,282.55,2.7985,1.029083,0.259214,1.333764,1.410487,2.744251,True
