== ALL picks 1-64, classes 2004-2022 cohort n=1197 classes 2004-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 | 1197     0 |    802.8     802.8  1.000 |     960.9
   1 | 1197     0 |    763.0     802.8  0.950 |     913.3
   2 | 1197     0 |    942.7     802.8  1.174 |    1128.4
   3 | 1197   141 |   1079.9     802.8  1.345 |    1292.6
   4 | 1197   258 |   1149.7     802.8  1.432 |    1376.1
   5 | 1139   334 |   1142.7     798.8  1.431 |    1301.5
   6 | 1075   391 |   1112.2     797.9  1.394 |    1195.6
   7 | 1014   430 |    967.2     798.8  1.211 |     980.8
   8 |  950   452 |    792.6     795.0  0.997 |     753.0
   9 |  886   457 |    613.4     794.1  0.772 |     543.5
== 2020 draft class only cohort n=61 classes 2020-2020
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |   61     0 |    782.4     782.4  1.000 |      47.7
   1 |   61     0 |    649.4     782.4  0.830 |      39.6
   2 |   61     0 |    725.0     782.4  0.927 |      44.2
   3 |   61     7 |    783.9     782.4  1.002 |      47.8
   4 |   61    14 |    664.4     782.4  0.849 |      40.5
   5 |   61    19 |    722.1     782.4  0.923 |      44.0
   6 |   61    22 |    679.3     782.4  0.868 |      41.4
2020 class picks present: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] ...
== last 10 classes (2013-2022) cohort n=627 classes 2013-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  627     0 |    803.6     803.6  1.000 |     503.9
   1 |  627     0 |    770.9     803.6  0.959 |     483.3
   2 |  627     0 |    936.0     803.6  1.165 |     586.9
   3 |  627    75 |   1052.2     803.6  1.309 |     659.7
   4 |  627   133 |   1084.7     803.6  1.350 |     680.1
   5 |  569   158 |   1078.6     795.7  1.356 |     613.7
   6 |  505   177 |   1068.1     793.4  1.346 |     539.4
   7 |  444   180 |    971.4     794.9  1.222 |     431.3
== last 12 (2011-2022) cohort n=752 classes 2011-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  752     0 |    797.3     797.3  1.000 |     599.5
   1 |  752     0 |    773.9     797.3  0.971 |     582.0
   2 |  752     0 |    936.3     797.3  1.174 |     704.1
   3 |  752    90 |   1064.0     797.3  1.335 |     800.1
   4 |  752   162 |   1092.4     797.3  1.370 |     821.5
   5 |  694   201 |   1084.8     790.3  1.373 |     752.8
   6 |  630   228 |   1079.5     787.9  1.370 |     680.1
   7 |  569   244 |    960.4     788.5  1.218 |     546.5
== last 15 (2008-2022) cohort n=944 classes 2008-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  944     0 |    800.6     800.6  1.000 |     755.8
   1 |  944     0 |    781.3     800.6  0.976 |     737.5
   2 |  944     0 |    953.4     800.6  1.191 |     900.0
   3 |  944   111 |   1084.4     800.6  1.354 |    1023.7
   4 |  944   201 |   1149.1     800.6  1.435 |    1084.7
   5 |  886   250 |   1127.6     795.4  1.418 |     999.1
   6 |  822   291 |   1095.9     793.9  1.380 |     900.8
   7 |  761   317 |    966.4     794.8  1.216 |     735.4
