key,player,pos,sitout_class,entry,effpk,draft_year,pathway,pool,old,new,abs,rel,ev_this_build,tau,career_games_cumulative,games_2026,games_at_pace,games_at_pace_clamped,G_at_his_cell,entry_anchor,retention_R,anchor_leg_before,anchor_leg_after,lam_before,lam_after,e_full,q_pedigree,engine_price_before,engine_price_after,career_by_season,on_sitout_path
matt-hill,Matt Hill,SF,nonKPP,"UNR (pool, effpk 65)",65,2024,UNR,True,41,68,27,0.6585365853658537,72,1.825513,2,2,2.2727,2.2727,1.634824,108.4,0.416092,45.1,73.74,0.112516,0.050415,21.84,0.04794,42.486,71.12,2026:2g@24.0,True
vigo-visentini,Vigo Visentini,RUCK,RUCK,"RD:RUCK (pool, effpk 65)",65,2023,RD,True,167,264,97,0.5808383233532934,278,2.825513,2,0,0.0,0.0,1.575766,296.78,0.594,176.29,277.78,0.0,0.0,567.94,0.052438,176.285,277.785,2025:2g@56.0; 2026:0g@0.0,True
lachlan-smith,Lachlan Smith,RUCK,RUCK,ND pick 47,47,2023,ND,False,328,500,172,0.524390243902439,526,2.825513,2,2,2.2727,2.2727,1.557075,513.58,0.596665,306.44,477.15,0.077369,0.159462,805.22,0.104529,345.028,529.461,2026:2g@53.0,True
lucas-camporeale,Lucas Camporeale,MID,nonKPP,ND pick 54,54,2024,ND,False,137,199,62,0.45255474452554745,209,1.825513,3,0,0.0,0.0,1.453162,345.14,0.416092,143.61,208.69,0.0,0.0,481.62,0.075252,143.61,208.689,2025:3g@41.0; 2026:0g@0.0,True
rhys-unwin,Rhys Unwin,SF,nonKPP,ND pick 61,61,2024,ND,False,69,97,28,0.4057971014492754,102,1.825513,4,1,1.1364,1.1364,1.397015,175.1,0.416092,72.86,101.78,0.000303,0.002458,183.13,0.057296,72.89,101.982,2025:3g@22.0; 2026:1g@37.0,True
zane-peucker,Zane Peucker,SF,nonKPP,ND pick 31,31,2025,ND,False,299,417,118,0.39464882943143814,439,0.825513,2,2,2.2727,2.2727,1.401032,475.58,0.704946,335.26,469.71,0.247813,0.142869,253.18,0.236859,314.918,438.773,2026:2g@40.5,True
noah-roberts-thomson,Noah Roberts-Thomson,SF,nonKPP,ND pick 54,54,2025,ND,False,162,225,63,0.3888888888888889,237,0.825513,3,3,3.4091,3.4091,1.58748,222.51,0.627694,139.67,221.72,0.250795,0.359964,268.97,0.113522,172.097,238.729,2026:3g@38.7,True
alex-dodson,Alex Dodson,RUCK,RUCK,ND pick 53,53,2024,ND,False,235,326,91,0.3872340425531915,343,1.825513,1,0,0.0,0.0,1.387649,394.23,0.626629,247.04,342.8,0.0,0.0,654.18,0.090012,247.035,342.798,2025:1g@13.0; 2026:0g@0.0,True
jaxon-artemis,Jaxon Artemis,SD,nonKPP,"MSD (pool, effpk 65)",65,2026,MSD,True,191,260,69,0.3612565445026178,274,0.825513,3,3,3.4091,3.4091,1.587002,300.99,0.627694,188.93,299.83,0.370265,0.321781,217.57,0.072319,199.534,273.36,2026:3g@53.0,True
balyn-o-brien,Balyn O'Brien,SD,nonKPP,"SSP (pool, effpk 65)",65,2025,SSP,True,181,245,64,0.35359116022099446,258,0.825513,3,3,3.4091,3.4091,1.587002,265.2,0.627694,166.47,264.18,0.298784,0.398765,252.22,0.072319,192.089,259.413,2026:3g@27.7,True
