== ALL picks 1-64, classes 2004-2022 cohort n=1197 classes 2004-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 | 1197     0 |    802.8     802.8  1.000 |     960.9
   1 | 1197     0 |    798.4     802.8  0.995 |     955.7
   2 | 1197     0 |    952.5     802.8  1.187 |    1140.2
   3 | 1197   141 |   1081.6     802.8  1.347 |    1294.6
   4 | 1197   258 |   1150.2     802.8  1.433 |    1376.7
   5 | 1139   334 |   1142.8     798.8  1.431 |    1301.6
   6 | 1075   391 |   1112.2     797.9  1.394 |    1195.6
   7 | 1014   430 |    967.2     798.8  1.211 |     980.8
   8 |  950   452 |    792.6     795.0  0.997 |     753.0
   9 |  886   457 |    613.4     794.1  0.772 |     543.5
== 2020 draft class only cohort n=61 classes 2020-2020
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |   61     0 |    782.4     782.4  1.000 |      47.7
   1 |   61     0 |    681.9     782.4  0.871 |      41.6
   2 |   61     0 |    729.9     782.4  0.933 |      44.5
   3 |   61     7 |    784.5     782.4  1.003 |      47.9
   4 |   61    14 |    664.5     782.4  0.849 |      40.5
   5 |   61    19 |    722.1     782.4  0.923 |      44.0
   6 |   61    22 |    679.3     782.4  0.868 |      41.4
2020 class picks present: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] ...
== last 10 classes (2013-2022) cohort n=627 classes 2013-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  627     0 |    803.6     803.6  1.000 |     503.9
   1 |  627     0 |    806.4     803.6  1.003 |     505.6
   2 |  627     0 |    945.5     803.6  1.177 |     592.8
   3 |  627    75 |   1053.6     803.6  1.311 |     660.6
   4 |  627   133 |   1085.2     803.6  1.350 |     680.4
   5 |  569   158 |   1078.7     795.7  1.356 |     613.8
   6 |  505   177 |   1068.1     793.4  1.346 |     539.4
   7 |  444   180 |    971.4     794.9  1.222 |     431.3
== last 12 (2011-2022) cohort n=752 classes 2011-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  752     0 |    797.3     797.3  1.000 |     599.5
   1 |  752     0 |    809.0     797.3  1.015 |     608.4
   2 |  752     0 |    945.6     797.3  1.186 |     711.1
   3 |  752    90 |   1065.5     797.3  1.336 |     801.2
   4 |  752   162 |   1092.9     797.3  1.371 |     821.8
   5 |  694   201 |   1084.8     790.3  1.373 |     752.9
   6 |  630   228 |   1079.5     787.9  1.370 |     680.1
   7 |  569   244 |    960.4     788.5  1.218 |     546.5
== last 15 (2008-2022) cohort n=944 classes 2008-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  944     0 |    800.6     800.6  1.000 |     755.8
   1 |  944     0 |    814.6     800.6  1.017 |     769.0
   2 |  944     0 |    962.8     800.6  1.203 |     908.9
   3 |  944   111 |   1086.1     800.6  1.357 |    1025.3
   4 |  944   201 |   1149.6     800.6  1.436 |    1085.2
   5 |  886   250 |   1127.7     795.4  1.418 |     999.2
   6 |  822   291 |   1095.9     793.9  1.380 |     900.8
   7 |  761   317 |    966.4     794.8  1.216 |     735.4
