key,player,pos,effpk,draft_year,pathway,old,new,abs,rel,sitout_path,production_e,taught_delta,cum_games,draft_age
nick-watson,Nick Watson,SF,5,2023,ND,3649,3653,4,0.0010961907371882709,False,3840.194,0.00098,60,18
willem-duursma,Willem Duursma,MID,1,2025,ND,3834,3786,-48,-0.012519561815336464,False,4035.462,-0.012694,18,18
murphy-reid,Murphy Reid,SF,17,2024,ND,3842,3909,67,0.017438833940655908,False,4043.353,0.017442,44,18
sam-lalor,Sam Lalor,MID,1,2024,ND,4116,4104,-12,-0.0029154518950437317,False,4325.017,-0.003167,21,18
harley-reid,Harley Reid,MID,1,2023,ND,3401,3400,-1,-0.00029403116730373417,False,3579.139,-0.000396,59,18
jagga-smith,Jagga Smith,MID,3,2024,ND,4542,4531,-11,-0.0024218405988551297,False,4780.166,-0.002452,19,18
darcy-wilson,Darcy Wilson,SF,18,2023,ND,2759,2765,6,0.0021747009786154403,False,2903.736,0.002148,60,18
finn-o-sullivan,Finn O'Sullivan,MID,2,2024,ND,3169,3155,-14,-0.004417797412432944,False,3335.157,-0.004583,38,18
logan-morris,Logan Morris,KPF,31,2023,ND,2705,2717,12,0.0044362292051756,False,2846.989,0.004145,64,18
levi-ashcroft,Levi Ashcroft,MID,5,2024,ND,2943,3000,57,0.019367991845056064,False,3096.621,0.019598,47,18
cooper-duff-tytler,Cooper Duff-Tytler,KPF,4,2025,ND,1524,1835,311,0.20406824146981628,False,1604.138,0.203689,12,18
ryley-sanders,Ryley Sanders,MID,6,2023,ND,3465,3470,5,0.001443001443001443,False,3647.247,0.001373,53,18
colby-mckercher,Colby McKercher,MID,2,2023,ND,3836,3835,-1,-0.00026068821689259646,False,4037.167,-0.000309,59,18
zeke-uwland,Zeke Uwland,SD,2,2025,ND,2207,2164,-43,-0.019483461712732214,False,2322.949,-0.019865,16,18
jed-walter,Jed Walter,KPF,3,2023,ND,1054,1058,4,0.003795066413662239,False,1108.723,0.003935,45,18
sid-draper,Sid Draper,MID,4,2024,ND,951,1001,50,0.052576235541535225,False,969.675,0.052245,10,18
jacob-farrow,Jacob Farrow,SD,10,2025,ND,2290,2429,139,0.060698689956331875,False,2410.451,0.060409,17,18
harvey-langford,Harvey Langford,MID,6,2024,ND,2083,2173,90,0.04320691310609698,False,2191.832,0.043231,42,18
