== ALL picks 1-64, classes 2004-2022 cohort n=1197 classes 2004-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 | 1197     0 |    802.8     802.8  1.000 |     960.9
   1 | 1197     0 |    844.3     802.8  1.052 |    1010.6
   2 | 1197     0 |    963.0     802.8  1.200 |    1152.7
   3 | 1197   141 |   1081.4     802.8  1.347 |    1294.4
   4 | 1197   258 |   1150.1     802.8  1.433 |    1376.7
   5 | 1139   334 |   1142.8     798.8  1.431 |    1301.6
   6 | 1075   391 |   1112.2     797.9  1.394 |    1195.6
   7 | 1014   430 |    967.2     798.8  1.211 |     980.8
   8 |  950   452 |    792.6     795.0  0.997 |     753.0
   9 |  886   457 |    613.4     794.1  0.772 |     543.5
== 2020 draft class only cohort n=61 classes 2020-2020
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |   61     0 |    782.4     782.4  1.000 |      47.7
   1 |   61     0 |    756.4     782.4  0.967 |      46.1
   2 |   61     0 |    744.0     782.4  0.951 |      45.4
   3 |   61     7 |    784.4     782.4  1.003 |      47.8
   4 |   61    14 |    664.5     782.4  0.849 |      40.5
   5 |   61    19 |    722.1     782.4  0.923 |      44.0
   6 |   61    22 |    679.3     782.4  0.868 |      41.4
2020 class picks present: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] ...
== last 10 classes (2013-2022) cohort n=627 classes 2013-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  627     0 |    803.6     803.6  1.000 |     503.9
   1 |  627     0 |    857.2     803.6  1.067 |     537.4
   2 |  627     0 |    956.5     803.6  1.190 |     599.7
   3 |  627    75 |   1053.4     803.6  1.311 |     660.5
   4 |  627   133 |   1085.1     803.6  1.350 |     680.4
   5 |  569   158 |   1078.7     795.7  1.356 |     613.8
   6 |  505   177 |   1068.1     793.4  1.346 |     539.4
   7 |  444   180 |    971.4     794.9  1.222 |     431.3
== last 12 (2011-2022) cohort n=752 classes 2011-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  752     0 |    797.3     797.3  1.000 |     599.5
   1 |  752     0 |    860.0     797.3  1.079 |     646.7
   2 |  752     0 |    957.0     797.3  1.200 |     719.7
   3 |  752    90 |   1065.3     797.3  1.336 |     801.1
   4 |  752   162 |   1092.8     797.3  1.371 |     821.8
   5 |  694   201 |   1084.8     790.3  1.373 |     752.9
   6 |  630   228 |   1079.5     787.9  1.370 |     680.1
   7 |  569   244 |    960.4     788.5  1.218 |     546.5
== last 15 (2008-2022) cohort n=944 classes 2008-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  944     0 |    800.6     800.6  1.000 |     755.8
   1 |  944     0 |    868.0     800.6  1.084 |     819.4
   2 |  944     0 |    974.3     800.6  1.217 |     919.7
   3 |  944   111 |   1085.9     800.6  1.356 |    1025.1
   4 |  944   201 |   1149.6     800.6  1.436 |    1085.2
   5 |  886   250 |   1127.7     795.4  1.418 |     999.2
   6 |  822   291 |   1095.9     793.9  1.380 |     900.8
   7 |  761   317 |    966.4     794.8  1.216 |     735.4
