player,pos,v_before,v_after,delta,pct,rank_before,rank_after,rank_move,cause
Touk Miller,MID,1462,2370,908,62.1,173,96,77,stage_A; stageB_engine
Ed Langdon,MID,404,1080,676,167.3,430,235,195,stage_A; stageB_engine
Christian Petracca,MID,2044,2702,658,32.2,113,74,39,stage_A; stageB_engine
Jordan De Goey,MID,1087,1722,635,58.4,223,155,68,stage_A; stageB_engine
Tim Kelly,MID,820,1377,557,67.9,277,195,82,stage_A; stageB_engine
Bradley Hill,MID,830,1371,541,65.2,274,196,78,stage_A; stageB_engine
Adam Treloar,MID,615,1149,534,86.8,331,224,107,stage_A; stageB_engine
Sam Draper,RUCK,811,1307,496,61.2,280,203,77,stageB_engine
Rowan Marshall,RUCK,1813,2291,478,26.4,139,99,40,stageB_engine
Ryan Lester,KPD,544,106,-438,-80.5,366,659,-293,stage_A; stageB_engine
Bailey J. Williams,RUCK,2057,2493,436,21.2,112,86,26,stageB_engine
Darcy Byrne-Jones,SD,413,846,433,104.8,422,279,143,stageB_engine
Peter Ladhams,RUCK,276,706,430,155.8,523,314,209,stageB_engine
Kyle Langford,SF,299,727,428,143.1,506,307,199,stage_A; stageB_engine
Harry Sheezel,MID,9653,10079,426,4.4,1,1,0,stage_A; stageB_engine
James Rowbottom,MID,998,1420,422,42.3,241,189,52,stageB_engine
Jy Simpkin,MID,982,1389,407,41.4,244,194,50,stage_A; stageB_engine
Jake Lever,KPD,737,339,-398,-54.0,296,478,-182,stage_A; stageB_engine
Tom Sparrow,MID,1394,1790,396,28.4,185,148,37,stage_A; stageB_engine
Joe Berry,SF,1014,1397,383,37.8,234,192,42,stage_A; stageB_engine
Jack Ross,MID,2230,2602,372,16.7,96,80,16,stage_A; stageB_engine
Justin McInerney,MID,1931,2284,353,18.3,126,100,26,stage_A; stageB_engine
Jack Graham,MID,378,727,349,92.3,447,306,141,stageB_engine
Zachary Williams,SD,183,524,341,186.3,598,379,219,stage_A; stageB_engine; addendum_12_clear_value_neutral
Dion Prestia,MID,173,502,329,190.2,608,385,223,stageB_engine
Oliver Hollands,MID,1491,1815,324,21.7,169,145,24,stage_A; stageB_engine
Jason Horne-Francis,MID,5250,5554,304,5.8,14,13,1,stage_A; stageB_engine
Jack Lukosius,KPF,935,635,-300,-32.1,253,334,-81,stage_A; stageB_engine
Isaac Kako,SF,1167,1462,295,25.3,203,184,19,stage_A; stageB_engine
Jagga Smith,MID,4284,4573,289,6.7,22,20,2,stage_A; stageB_engine
Max Hall,SF,2823,2542,-281,-10.0,68,84,-16,stage_A; stageB_engine; addendum_12_clear_value_neutral
Sam Durham,MID,2439,2710,271,11.1,84,73,11,stage_A; stageB_engine
Chad Warner,MID,3355,3624,269,8.0,50,47,3,stage_A; stageB_engine
Archie Roberts,SD,4941,4675,-266,-5.4,16,19,-3,stage_A; stageB_engine; addendum_12_clear_value_neutral
Ned Long,MID,1266,1524,258,20.4,196,172,24,stageB_engine
Jake Soligo,MID,1908,2164,256,13.4,130,116,14,stageB_engine
Ryley Sanders,MID,3432,3686,254,7.4,48,44,4,stage_A; stageB_engine
Caleb May,RUCK,586,332,-254,-43.3,340,483,-143,stageB_curve_pool
Max Mapley,RUCK,586,332,-254,-43.3,341,485,-144,stageB_curve_pool
Patrick Carr,RUCK,586,332,-254,-43.3,342,486,-144,stageB_curve_pool
Tom Powell,MID,2015,2262,247,12.3,118,105,13,stage_A; stageB_engine
Nasiah Wanganeen-Milera,MID,8134,8375,241,3.0,4,4,0,stage_A; stageB_engine
Dan Houston,SD,1116,1357,241,21.6,215,198,17,stage_A; stageB_engine
Alex Van Wyk,RUCK,570,332,-238,-41.8,352,482,-130,stageB_engine; stageB_curve_pool
Sam Lalor,MID,3867,4102,235,6.1,35,27,8,stage_A; stageB_engine
Connor Budarick,SD,178,409,231,129.8,604,431,173,stageB_engine
Elliot Yeo,MID,86,316,230,267.4,684,496,188,stageB_engine
Brayden Cook,MID,901,1128,227,25.2,260,228,32,stageB_engine
Nick Daicos,MID,8988,9214,226,2.5,2,2,0,stage_A; stageB_engine
Joel Freijah,MID,2665,2891,226,8.5,72,68,4,stageB_engine
Lachie Whitfield,MID,2015,2232,217,10.8,117,107,10,stage_A; stageB_engine
Harrison Himmelberg,SD,560,344,-216,-38.6,358,471,-113,stage_A; stageB_engine
Jai Serong,SD,891,1107,216,24.2,263,233,30,stageB_engine
Luke Jackson,RUCK,8521,8735,214,2.5,3,3,0,stageB_engine
Sullivan Robey,MID,2908,3122,214,7.4,65,61,4,stage_A; stageB_engine
