player,pos,v_baseline,d_your_edits,d_rebake,d_axis,d_bars,d_curve_pool,v_final,delta_total,rank_before,rank_final,rank_move,notes
Touk Miller,SF,1462,854,0,54,0,0,2370,908,173,96,77,EDITED: present_position: MID→SF; future_position: MID→SF | 2026 col-bar row MID→col SF
Ed Langdon,SF,404,163,0,14,499,0,1080,676,430,235,195,EDITED: present_position: MID→SD | year0 bar SD→SF
Christian Petracca,SF,2044,36,0,49,573,0,2702,658,113,74,39,EDITED: p_dual_stream: 50.0→70 | year0 bar MID→SF
Jordan De Goey,SF,1087,597,0,38,0,0,1722,635,223,155,68,EDITED: present_position: MID→SF
Tim Kelly,SF,820,-1,0,19,539,0,1377,557,277,195,82,collateral: position-group ripple | year0 bar MID→SF
Bradley Hill,SF,830,510,0,31,0,0,1371,541,274,196,78,EDITED: present_position: MID→SF
Adam Treloar,SF,615,507,0,27,0,0,1149,534,331,224,107,EDITED: present_position: MID→SF; future_position: MID→SF
Sam Draper,KPF,811,0,0,19,477,0,1307,496,280,203,77,year0 bar RUCK→KPF
Rowan Marshall,KPF,1813,0,0,43,435,0,2291,478,139,99,40,year0 bar RUCK→KPF | 2026 col-bar row RUCK→col KPF
Ryan Lester,SD,544,-440,0,2,0,0,106,-438,366,659,-293,EDITED: present_position: KPD→SD; future_position: KPD→SD
Bailey J. Williams,KPF,2057,0,0,49,387,0,2493,436,112,86,26,year0 bar RUCK→KPF
Darcy Byrne-Jones,SF,413,0,0,10,423,0,846,433,422,279,143,year0 bar SD→SF
Peter Ladhams,KPF,276,0,0,6,424,0,706,430,523,314,209,year0 bar RUCK→KPF
Kyle Langford,KPF,299,225,0,203,0,0,727,428,506,307,199,EDITED: present_position: SF→KPF | 2026 col-bar row MID→col KPF
Harry Sheezel,SF,9653,-6,0,225,207,0,10079,426,1,1,0,collateral: position-group ripple | year0 bar MID→SF
James Rowbottom,SF,998,0,0,23,399,0,1420,422,241,189,52,year0 bar MID→SF
Jy Simpkin,SF,982,-1,0,22,386,0,1389,407,244,194,50,collateral: position-group ripple | year0 bar MID→SF
Jake Lever,SD,737,-2,0,18,-414,0,339,-398,296,478,-182,collateral: position-group ripple | year0 bar KPD→SD
Tom Sparrow,SF,1394,-2,0,31,367,0,1790,396,185,148,37,collateral: position-group ripple | year0 bar MID→SF | 2026 col-bar row MID→col SF
Joe Berry,SF,1014,351,0,32,0,0,1397,383,234,192,42,collateral: position-group ripple
Jack Ross,SF,2230,-2,0,52,322,0,2602,372,96,80,16,collateral: position-group ripple | year0 bar MID→SF
Justin McInerney,SF,1931,-1,0,45,309,0,2284,353,126,100,26,collateral: position-group ripple | year0 bar MID→SF
Jack Graham,SF,378,0,0,9,340,0,727,349,447,306,141,year0 bar MID→SF
Zachary Williams,SF,183,328,0,13,0,0,524,341,598,379,219,EDITED: present_position: SD→SF; future_position: SD→SF
Dion Prestia,SF,173,0,0,5,324,0,502,329,608,385,223,year0 bar MID→SF | 2026 col-bar row MID→col SF
Oliver Hollands,SD,1491,264,0,41,19,0,1815,324,169,145,24,EDITED: future_position: SD→MID | year0 bar MID→SD
Jason Horne-Francis,SF,5250,-4,0,122,186,0,5554,304,14,13,1,collateral: position-group ripple | year0 bar MID→SF | 2026 col-bar row MID→col SF
Jack Lukosius,KPF,935,-559,0,9,250,0,635,-300,253,334,-81,EDITED: present_position: KPF→SF; future_position: KPF→SF | year0 bar SF→KPF
Isaac Kako,SF,1167,263,0,32,0,0,1462,295,203,184,19,collateral: position-group ripple
Jagga Smith,SF,4284,-1,0,98,192,0,4573,289,22,20,2,collateral: position-group ripple | year0 bar MID→SF
Max Hall,SF,2823,-339,0,58,0,0,2542,-281,68,84,-16,EDITED: future_position: MID→SF
Sam Durham,SF,2439,-2,0,57,216,0,2710,271,84,73,11,collateral: position-group ripple | year0 bar MID→SF | 2026 col-bar row MID→col SF
Chad Warner,SF,3355,-3,0,78,194,0,3624,269,50,47,3,collateral: position-group ripple | year0 bar MID→SF | 2026 col-bar row MID→col SF
Archie Roberts,SD,4941,-376,0,108,2,0,4675,-266,16,19,-3,EDITED: future_position: MID→SD
Ned Long,SF,1266,0,0,28,230,0,1524,258,196,172,24,year0 bar MID→SF
Jake Soligo,SF,1908,0,0,44,212,0,2164,256,130,116,14,year0 bar MID→SF
