player,pos_before,pos_after,v_baseline,v_after_stageA,v_final,delta_total,delta_stageA,stageA_your_edit_effect,stageA_rebake_effect,your_edit,stageA_cause,delta_stageB,stageB_levers,rank_before,rank_final,rank_move
Touk Miller,MID,SF,1462,2316,2370,908,854,854,0,present_position: MID→SF; future_position: MID→SF,the 62 edits (own row),54,2026 col-bar row MID→col SF,173,96,77
Ed Langdon,MID,SF,404,567,1080,676,163,163,0,present_position: MID→SD,the 62 edits (own row),513,year0 bar SD→SF,430,235,195
Christian Petracca,MID,SF,2044,2080,2702,658,36,36,0,p_dual_stream: 50.0→70,the 62 edits (own row),622,year0 bar MID→SF,113,74,39
Jordan De Goey,MID,SF,1087,1684,1722,635,597,597,0,present_position: MID→SF,the 62 edits (own row),38,played-axis/other,223,155,68
Tim Kelly,MID,SF,820,819,1377,557,-1,-1,0,,the 62 edits (gfut cohort),558,year0 bar MID→SF,277,195,82
Bradley Hill,MID,SF,830,1340,1371,541,510,510,0,present_position: MID→SF,the 62 edits (own row),31,played-axis/other,274,196,78
Adam Treloar,MID,SF,615,1122,1149,534,507,507,0,present_position: MID→SF; future_position: MID→SF,the 62 edits (own row),27,played-axis/other,331,224,107
Sam Draper,RUCK,KPF,811,811,1307,496,0,0,0,,,496,year0 bar RUCK→KPF,280,203,77
Rowan Marshall,RUCK,KPF,1813,1813,2291,478,0,0,0,,,478,year0 bar RUCK→KPF; 2026 col-bar row RUCK→col KPF,139,99,40
Ryan Lester,KPD,SD,544,104,106,-438,-440,-440,0,present_position: KPD→SD; future_position: KPD→SD,the 62 edits (own row),2,played-axis/other,366,659,-293
Bailey J. Williams,RUCK,KPF,2057,2057,2493,436,0,0,0,,,436,year0 bar RUCK→KPF,112,86,26
Darcy Byrne-Jones,SD,SF,413,413,846,433,0,0,0,,,433,year0 bar SD→SF,422,279,143
Peter Ladhams,RUCK,KPF,276,276,706,430,0,0,0,,,430,year0 bar RUCK→KPF,523,314,209
Kyle Langford,SF,KPF,299,524,727,428,225,225,0,present_position: SF→KPF,the 62 edits (own row),203,2026 col-bar row MID→col KPF,506,307,199
Harry Sheezel,MID,SF,9653,9647,10079,426,-6,-6,0,,the 62 edits (gfut cohort),432,year0 bar MID→SF,1,1,0
James Rowbottom,MID,SF,998,998,1420,422,0,0,0,,,422,year0 bar MID→SF,241,189,52
Jy Simpkin,MID,SF,982,981,1389,407,-1,-1,0,,the 62 edits (gfut cohort),408,year0 bar MID→SF,244,194,50
Jake Lever,KPD,SD,737,735,339,-398,-2,-2,0,,the 62 edits (gfut cohort),-396,year0 bar KPD→SD,296,478,-182
Tom Sparrow,MID,SF,1394,1392,1790,396,-2,-2,0,,the 62 edits (gfut cohort),398,year0 bar MID→SF; 2026 col-bar row MID→col SF,185,148,37
Joe Berry,SF,SF,1014,1365,1397,383,351,351,0,,the 62 edits (gfut cohort),32,played-axis/other,234,192,42
Jack Ross,MID,SF,2230,2228,2602,372,-2,-2,0,,the 62 edits (gfut cohort),374,year0 bar MID→SF,96,80,16
Justin McInerney,MID,SF,1931,1930,2284,353,-1,-1,0,,the 62 edits (gfut cohort),354,year0 bar MID→SF,126,100,26
Jack Graham,MID,SF,378,378,727,349,0,0,0,,,349,year0 bar MID→SF,447,306,141
Zachary Williams,SD,SF,183,511,524,341,328,328,0,present_position: SD→SF; future_position: SD→SF,the 62 edits (own row),13,played-axis/other,598,379,219
Dion Prestia,MID,SF,173,173,502,329,0,0,0,,,329,year0 bar MID→SF; 2026 col-bar row MID→col SF,608,385,223
Oliver Hollands,MID,SD,1491,1755,1815,324,264,264,0,future_position: SD→MID,the 62 edits (own row),60,year0 bar MID→SD,169,145,24
Jason Horne-Francis,MID,SF,5250,5246,5554,304,-4,-4,0,,the 62 edits (gfut cohort),308,year0 bar MID→SF; 2026 col-bar row MID→col SF,14,13,1
