key,v
aaron-cadman,1876
aaron-naughton,1482
adam-cerra,1125
adam-saad,615
adam-sweid,584
adam-treloar,1149
aidan-corr,51
aidan-johnson,91
aidan-schubert,680
aiden-riddle,449
alex-davies,489
alex-dodson,487
alex-neal-bullen,426
alex-pearce,39
alex-van-wyk,583
aliir-aliir,993
alix-tauru,1571
andrew-brayshaw,3187
andrew-mcgrath,1160
andy-moniz-wakefield,44
angus-anderson,240
angus-clarke,807
angus-hastie,339
angus-sheldrick,838
anthony-caminiti,1155
archer-day-wicks,541
archer-reid,872
archie-ludowyke,425
archie-may,478
archie-perkins,309
archie-roberts,4675
arthur-jones,129
asher-eastham,222
ashton-moir,303
avery-thomas,483
bailey-banfield,13
bailey-dale,2439
bailey-humphrey,2394
bailey-laurie,74
bailey-macdonald,185
bailey-scott,30
bailey-smith,6092
bailey-williams-wb,791
bailey-williams-wc,2493
balyn-o-brien,349
bayley-fritsch,252
beau-addinsall,1321
beau-mccreery,199
ben-ainsworth,319
ben-camporeale,291
ben-jepson,10
ben-keays,449
ben-king,349
ben-long,33
ben-mckay,48
ben-miller,1171
ben-murphy,286
benny-barrett,176
billy-cootee,103
billy-dowling,202
billy-frampton,67
billy-wilson,984
blake-acres,251
blake-hardwick,692
blake-howes,340
blake-thredgold,559
bo-allan,1224
bobby-hill,47
bodhi-uwland,3883
bodie-ryan,341
bradley-close,39
bradley-hill,1371
brady-hough,371
braeden-campbell,377
brandon-starcevich,42
brandon-walker,93
brandon-zerk-thatcher,89
brayden-cook,1128
brayden-fiorini,285
brayden-george,330
brayden-maynard,657
brennan-cox,385
brent-daniels,1418
brodie-grundy,4481
brodie-kemp,753
brody-mihocek,11
bruce-reville,74
buku-khamis,217
caiden-cleary,534
caleb-daniel,1551
caleb-graham,72
caleb-lewis,219
caleb-may,586
caleb-serong,4811
caleb-windsor,1765
callum-ah-chee,90
callum-brown-ire,67
callum-coleman-jones,47
callum-mills,2272
callum-wilkie,3699
calsher-dear,1016
cameron-mackenzie,2064
cameron-nairn,776
cameron-rayner,882
cameron-zurhaar,162
campbell-chesser,357
campbell-gray,271
campbell-lake,220
chad-warner,3624
changkuoth-jiath,31
charlie-ballard,86
charlie-banfield,689
charlie-cameron,295
charlie-comben,1023
charlie-curnow,1626
charlie-edwards,740
charlie-nicholls,365
charlie-spargo,37
charlie-west,610
chayce-jones,52
chris-scerri,407
christian-moraes,984
christian-petracca,2702
christian-salem,569
cillian-bourke,325
cillian-burke,91
clay-hall,352
clayton-oliver,2636
cody-anderson,196
cody-angove,550
cody-curtin,700
