player,pos,club,cat,age,band,pick,live,K,d_live_K,P,d_K_P,R,d_P_R,candidate,d_R_cand,d_live_cand,d_K_cand
Toby Conway,RUCK,Geelong,,23,4,24,503,899,396,1066,167,1066,0,460,-606,-43,-439
Harry Barnett,RUCK,West Coast,,22,4,23,553,740,187,557,-183,656,99,422,-234,-131,-318
Sam Lalor,SF,Richmond,,20,0,1,4087,3456,-631,3060,-396,3395,335,3607,212,-480,151
Charlie Banfield,SF,St Kilda,Father-Son,19,6,41,536,683,147,798,115,798,0,620,-178,84,-63
Zeke Uwland,SD,Gold Coast,Academy,19,0,2,2633,1949,-684,1486,-463,1582,96,1758,176,-875,-191
Josh Gibcus,KPD,Richmond,,23,2,9,254,231,-23,330,99,330,0,176,-154,-78,-55
Aaron Cadman,KPF,GWS,,22,0,1,1769,1814,45,1592,-222,1634,42,1781,147,12,-33
Leo Lombard,SF,Gold Coast,Academy,20,2,9,1957,1557,-400,1540,-17,1540,0,1677,137,-280,120
Jesse Dattoli,SF,Sydney,,20,4,22,318,531,213,617,86,617,0,484,-133,166,-47
Finn O'Sullivan,SD,North Melbourne,,20,0,2,3740,3462,-278,2810,-652,3055,245,3186,131,-554,-276
Jedd Busslinger,KPD,Western Bulldogs,,22,3,13,916,605,-311,671,66,671,0,801,130,-115,196
Harry Kyle,SD,Sydney,Academy,19,3,14,1158,925,-233,841,-84,841,0,965,124,-193,40
Oliver Francou,MID,West Coast,,20,7,3,576,528,-48,661,133,661,0,537,-124,-39,9
Daniel Annable,MID,Brisbane,Academy,19,1,6,1395,1537,142,1115,-422,1340,225,1218,-122,-177,-319
Samuel Grlj,SD,Richmond,,19,2,8,1735,1613,-122,1390,-223,1467,77,1584,117,-151,-29
Xavier Lindsay,SD,Melbourne,,20,2,11,2106,1539,-567,1298,-241,1355,57,1465,110,-641,-74
Elijah Hollands,SF,Carlton,,24,1,7,710,708,-2,708,0,733,25,630,-103,-80,-78
Elijah Tsatas,MID,Essendon,,22,1,5,1240,1078,-162,689,-389,750,61,853,103,-387,-225
Zane Peucker,SF,Richmond,,19,5,31,384,487,103,505,18,505,0,404,-101,20,-83
Jack Dalton,MID,Hawthorn,,19,5,34,437,489,52,557,68,557,0,460,-97,23,-29
Bo Allan,SD,West Coast,,20,3,16,1128,620,-508,472,-148,472,0,563,91,-565,-57
Mitchell Edwards,RUCK,Geelong,,21,5,32,2439,1406,-1033,1237,-169,1237,0,1326,89,-1113,-80
Xavier Taylor,SD,Melbourne,,19,2,11,802,1162,360,950,-212,1001,51,914,-87,112,-248
Jed Walter,KPF,Gold Coast,Academy,21,0,3,1439,1170,-269,857,-313,857,0,942,85,-497,-228
Cameron Nairn,SF,Hawthorn,,19,3,20,606,596,-10,612,16,612,0,528,-84,-78,-68
Jamarra Ugle-Hagan,KPF,Gold Coast,Next Gen,24,0,1,287,534,247,534,0,335,-199,254,-81,-33,-280
Tobie Travaglia,SD,St Kilda,,20,2,8,685,521,-164,276,-245,322,46,403,81,-282,-118
Levi Ashcroft,MID,Brisbane,Father-Son,20,1,5,3519,3365,-154,3471,106,3471,0,3394,-77,-125,29
Charlie Edwards,SD,Adelaide,,21,4,21,624,434,-190,378,-56,393,15,468,75,-156,34
Cooper Hynes,SF,Western Bulldogs,,20,3,20,1543,923,-620,765,-158,765,0,840,75,-703,-83
Taylor Goad,RUCK,North Melbourne,,21,3,20,730,728,-2,590,-138,655,65,728,73,-2,0
Jai Murray,MID,Gold Coast,Academy,19,3,17,1138,940,-198,877,-63,877,0,949,72,-189,9
Max King,KPF,St Kilda,,26,1,4,239,346,107,346,0,319,-27,247,-72,8,-99
Sam Marshall,MID,Brisbane,Academy,20,4,25,704,542,-162,397,-145,421,24,489,68,-215,-53
Max Gruzewski,KPF,GWS,,22,4,22,626,434,-192,318,-116,318,0,385,67,-241,-49
Tanner Bruhn,SD,Geelong,,24,2,12,2214,2018,-196,2018,0,1930,-88,1997,67,-217,-21
Harvey Langford,MID,Melbourne,,20,1,6,2657,2500,-157,2422,-78,2536,114,2470,-66,-187,-30
Jhye Clark,SF,Geelong,,22,2,8,1059,921,-138,569,-352,621,52,681,60,-378,-240
Noah Mraz,KPD,Hawthorn,,20,5,35,1769,2019,250,2089,70,2089,0,2029,-60,260,10
Will Lorenz,MID,Port Adelaide,,21,7,57,284,251,-33,272,21,273,1,217,-56,-67,-34
Latrelle Pickett,SF,Melbourne,,21,2,12,548,446,-102,238,-208,284,46,339,55,-209,-107
Harry O'Farrell,KPD,Carlton,,20,6,40,201,505,304,591,86,591,0,537,-54,336,32
Rhett Bazzo,KPD,West Coast,,23,6,37,476,436,-40,361,-75,361,0,414,53,-62,-22
Lachy Dovaston,SF,North Melbourne,,19,3,16,512,550,38,502,-48,502,0,552,50,40,2
Flynn Riley,RUCK,Carlton,,22,7,4,391,361,-30,408,47,408,0,359,-49,-32,-2
Harry Schoenberg,SF,Adelaide,,25,4,24,50,127,77,127,0,68,-59,19,-49,-31,-108
Jaxon Artemis,SD,Essendon,,20,7,1,520,425,-95,469,44,469,0,420,-49,-100,-5
Karl Worner,SD,Fremantle,,24,7,4,1206,1041,-165,1041,0,1007,-34,1056,49,-150,15
Oliver Hollands,SD,Carlton,,22,2,11,1739,1550,-189,1405,-145,1449,44,1498,49,-241,-52
Archie Ludowyke,KPF,Adelaide,,19,7,50,206,327,121,343,16,343,0,295,-48,89,-32
Jai Culley,MID,Melbourne,,23,7,1,178,206,28,191,-15,205,14,157,-48,-21,-49
Neil Erasmus,MID,Fremantle,,23,2,10,1026,1010,-16,779,-231,793,14,841,48,-185,-169
Jordan Croft,KPF,Western Bulldogs,Father-Son,21,3,15,1048,533,-515,427,-106,427,0,473,46,-575,-60
Alex Van Wyk,RUCK,Port Adelaide,,22,7,14,391,360,-31,390,30,390,0,345,-45,-46,-15
Max Kondogiannis,SD,Essendon,,19,6,36,435,358,-77,312,-46,312,0,357,45,-78,-1
Jake Rogers,SF,Gold Coast,Academy,21,3,14,587,328,-259,184,-144,196,12,240,44,-347,-88
Josh Sinn,SD,Port Adelaide,,23,2,12,266,357,91,73,-284,115,42,159,44,-107,-198
William McCabe,KPD,Hawthorn,Father-Son,21,3,19,599,474,-125,359,-115,410,51,454,44,-145,-20
Harry Rowston,MID,GWS,Academy,22,3,16,787,575,-212,386,-189,399,13,442,43,-345,-133
Koltyn Tholstrup,SF,Melbourne,,21,3,13,1698,1635,-63,1655,20,1700,45,1743,43,45,108
Matthew Jefferson,KPF,Melbourne,,22,3,15,405,297,-108,150,-147,170,20,213,43,-192,-84
Liam McMahon,KPF,Essendon,,24,5,33,135,213,78,213,0,147,-66,188,41,53,-25
Matt Whitlock,KPF,North Melbourne,,20,4,27,372,482,110,336,-146,392,56,351,-41,-21,-131
Cody Angove,SF,GWS,,20,4,24,483,689,206,622,-67,622,0,582,-40,99,-107
Hugh Davies,KPD,Fremantle,,22,5,33,185,260,75,201,-59,227,26,187,-40,2,-73
Will Brodie,MID,Port Adelaide,,28,2,9,773,788,15,788,0,807,19,767,-40,-6,-21
Francis Evans,SF,Carlton,,25,6,40,494,460,-34,460,0,409,-51,447,38,-47,-13
Josh Dolan,SF,Western Bulldogs,,20,5,31,501,281,-220,240,-41,242,2,280,38,-221,-1
Matthew Flynn,RUCK,West Coast,Academy,29,6,41,502,530,28,530,0,543,13,505,-38,3,-25
Noah Roberts-Thomson,MID,Richmond,,19,7,54,213,322,109,290,-32,290,0,252,-38,39,-70
Harry Armstrong,KPF,Richmond,,20,4,23,620,577,-43,454,-123,481,27,518,37,-102,-59
Jonty Faull,KPF,Richmond,,20,3,14,989,639,-350,513,-126,513,0,550,37,-439,-89
Caiden Cleary,SF,Sydney,Academy,21,4,24,471,265,-206,217,-48,221,4,257,36,-214,-8
Ethan Read,KPF,Gold Coast,Academy,21,2,9,1024,627,-397,458,-169,460,2,496,36,-528,-131
Michael Sellwood,SD,Western Bulldogs,,23,7,5,168,187,19,175,-12,175,0,211,36,43,24
Ollie Greeves,MID,Hawthorn,,19,7,5,583,519,-64,512,-7,512,0,476,-36,-107,-43
Peter Ladhams,KPF,Sydney,,28,7,7,493,470,-23,470,0,474,4,438,-36,-55,-32
Alex Davies,MID,Gold Coast,Academy,24,3,17,401,437,36,437,0,352,-85,317,-35,-84,-120
Bailey J. Williams,KPF,West Coast,,26,5,35,2470,2252,-218,2252,0,2208,-44,2243,35,-227,-9
Jay Polkinghorne,KPF,Geelong,,20,6,44,297,258,-39,271,13,271,0,236,-35,-61,-22
Thomas Sims,KPF,Richmond,,20,5,28,583,717,134,702,-15,702,0,737,35,154,20
Will Green,RUCK,Sydney,,21,3,16,604,621,17,673,52,673,0,708,35,104,87
Cooper Simpson,SD,Fremantle,,21,5,35,179,204,25,203,-1,203,0,169,-34,-10,-35
Sid Draper,SF,Adelaide,,20,1,4,1250,1267,17,623,-644,880,257,914,34,-336,-353
Mattaes Phillipou,SF,St Kilda,,22,2,10,2281,2001,-280,1840,-161,1882,42,1915,33,-366,-86
Brayden Cook,SF,Adelaide,,24,4,26,782,710,-72,710,0,594,-116,626,32,-156,-84
Cooper Harvey,SF,North Melbourne,Father-Son,22,7,56,545,331,-214,373,42,373,0,341,-32,-204,10
George Stevens,MID,Geelong,,21,7,58,142,227,85,246,19,246,0,214,-32,72,-13
Oscar Ryan,SD,Adelaide,,21,4,27,305,366,61,387,21,387,0,419,32,114,53
Wil Dawson,KPD,North Melbourne,,21,4,22,525,326,-199,228,-98,230,2,262,32,-263,-64
Edward Allan,MID,Collingwood,,22,3,19,978,700,-278,551,-149,552,1,583,31,-395,-117
