key,name,age,pos,b4,b5,inversion
nick-daicos,"Nick Daicos",23,MID,129.130083,129.433048,0
harry-sheezel,"Harry Sheezel",22,MID,124.528247,125.688671,0
will-ashcroft,"Will Ashcroft",22,MID,121.924999,121.257609,1
nasiah-wanganeen-milera,"Nasiah Wanganeen-Milera",23,MID,124.813880,125.547119,0
luke-jackson,"Luke Jackson",25,RUCK,128.401681,127.922090,1
max-holmes,"Max Holmes",24,MID,124.492347,125.154155,0
bailey-smith,"Bailey Smith",26,MID,122.890337,125.510305,0
zak-butters,"Zak Butters",26,MID,123.951710,125.683374,0
josh-treacy,"Josh Treacy",24,KPF,112.004228,109.235895,1
bodhi-uwland,"Bodhi Uwland",23,SD,115.226703,115.389150,0
jason-horne-francis,"Jason Horne-Francis",23,MID,115.145739,114.359891,1
archie-roberts,"Archie Roberts",21,SD,114.577954,117.241094,0
noah-anderson,"Noah Anderson",25,MID,118.834877,116.769502,1
errol-gulden,"Errol Gulden",24,MID,122.494036,123.791262,0
riley-thilthorpe,"Riley Thilthorpe",24,KPF,104.439917,100.814785,1
tristan-xerri,"Tristan Xerri",27,RUCK,124.820249,128.541318,0
finn-callaghan,"Finn Callaghan",23,MID,119.756873,118.208615,1
mac-andrew,"Mac Andrew",23,KPD,102.448507,102.270066,1
lachlan-ash,"Lachlan Ash",25,SD,123.677667,121.571147,1
nick-watson,"Nick Watson",21,SF,102.037429,106.289281,0
caleb-serong,"Caleb Serong",25,MID,116.854313,119.764252,0
sam-darcy,"Sam Darcy",23,KPF,106.004196,106.490331,0
matt-rowell,"Matt Rowell",25,MID,114.848248,113.444327,1
murphy-reid,"Murphy Reid",20,SF,101.208509,106.505964,0
willem-duursma,"Willem Duursma",19,MID,115.394057,119.100452,0
harry-dean,"Harry Dean",19,KPD,101.592333,101.592333,0
jai-newcombe,"Jai Newcombe",25,MID,118.117972,120.221953,0
brodie-grundy,"Brodie Grundy",32,RUCK,128.018214,126.772498,1
jake-bowey,"Jake Bowey",24,SD,111.776969,112.862224,0
sam-lalor,"Sam Lalor",20,MID,110.443431,112.791594,0
darcy-wilson,"Darcy Wilson",21,SF,96.308916,103.630769,0
harley-reid,"Harley Reid",21,MID,112.367710,114.072151,0
levi-ashcroft,"Levi Ashcroft",20,MID,116.005138,118.448748,0
hugo-garcia,"Hugo Garcia",21,MID,111.458662,117.779554,0
noah-mraz,"Noah Mraz",20,KPD,88.606794,97.483182,0
bailey-williams-wc,"Bailey J. Williams",26,RUCK,100.621192,100.681655,0
jagga-smith,"Jagga Smith",20,MID,118.889480,121.005030,0
sam-durham,"Sam Durham",25,MID,105.700921,105.530044,1
marcus-bontempelli,"Marcus Bontempelli",31,MID,128.086146,125.600785,1
logan-morris,"Logan Morris",21,KPF,97.019092,101.147374,0
chad-warner,"Chad Warner",25,MID,113.535076,115.860956,0
sam-walsh,"Sam Walsh",26,MID,106.874427,106.682482,1
callum-wilkie,"Callum Wilkie",30,KPD,105.978521,104.525374,1
darcy-wilmot,"Darcy Wilmot",23,SD,108.213957,107.215981,1
ryley-sanders,"Ryley Sanders",21,MID,112.156215,117.856207,0
sam-berry,"Sam Berry",24,MID,117.434370,114.729559,1
josh-ward,"Josh Ward",23,MID,107.609406,108.782737,0
kysaiah-pickett,"Kysaiah Pickett",25,SF,109.292232,109.113310,1
max-hall,"Max Hall",24,SF,99.359105,98.357559,1
luke-davies-uniacke,"Luke Davies-Uniacke",27,MID,119.616617,119.947479,0
max-gawn,"Max Gawn",35,RUCK,127.857508,127.134933,1
finn-o-sullivan,"Finn O'Sullivan",20,MID,115.976641,115.976641,0
jack-sinclair,"Jack Sinclair",31,SD,119.034171,119.123845,0
tom-green,"Tom Green",25,MID,122.369896,123.169110,0
isaac-heeney,"Isaac Heeney",30,MID,122.048466,123.346868,0
cooper-duff-tytler,"Cooper Duff-Tytler",19,KPF,93.753447,95.232560,0
colby-mckercher,"Colby McKercher",21,MID,115.017640,117.488278,0
izak-rankine,"Izak Rankine",26,SF,108.831427,110.116241,0
jordan-dawson,"Jordan Dawson",29,MID,116.166359,116.479851,0
ed-richards,"Ed Richards",27,MID,116.582472,116.500881,1
nick-blakey,"Nick Blakey",26,SD,112.493189,114.231270,0
reuben-ginbey,"Reuben Ginbey",22,KPD,92.008029,92.479923,0
connor-macdonald,"Connor MacDonald",23,SF,95.412015,97.306539,0
kieren-briggs,"Kieren Briggs",27,RUCK,103.391690,100.011393,1
zeke-uwland,"Zeke Uwland",19,SD,104.193063,107.030797,0
harvey-thomas,"Harvey Thomas",21,MID,103.743550,112.260199,0
connor-o-sullivan,"Connor O'Sullivan",21,KPD,94.776179,98.749596,0
timothy-english,"Timothy English",29,RUCK,113.000668,110.436492,1
aaron-cadman,"Aaron Cadman",22,KPF,87.427178,86.128019,1
connor-rozee,"Connor Rozee",26,MID,111.923508,112.317301,0
jack-ross,"Jack Ross",26,MID,105.760878,105.820201,0
josh-worrell,"Josh Worrell",25,SD,111.556447,109.756358,1
mitchito-owens,"Mitchito Owens",23,KPF,87.409477,87.217278,1
andrew-brayshaw,"Andrew Brayshaw",27,MID,112.285699,109.162998,1
jed-walter,"Jed Walter",21,KPF,87.013162,87.637667,0
nicholas-martin,"Nicholas Martin",25,MID,116.227636,116.926108,0
zachary-merrett,"Zachary Merrett",31,MID,107.318539,111.059579,0
sam-flanders,"Sam Flanders",25,MID,108.120597,107.475391,1
tim-taranto,"Tim Taranto",28,MID,105.075380,106.691735,0
shannon-neale,"Shannon Neale",24,KPF,89.551099,89.250818,1
dylan-patterson,"Dylan Patterson",19,SD,101.819260,108.744901,0
zac-bailey,"Zac Bailey",27,SF,102.104041,98.845378,1
jye-amiss,"Jye Amiss",23,KPF,82.327086,83.147961,0
jase-burgoyne,"Jase Burgoyne",23,SD,107.118677,104.386334,1
jordan-clark,"Jordan Clark",26,SD,107.763570,107.232294,1
jordon-sweet,"Jordon Sweet",28,RUCK,102.114031,104.549855,0
connor-idun,"Connor Idun",26,SD,102.096133,99.101566,1
sid-draper,"Sid Draper",20,MID,95.951096,106.068908,0
rowan-marshall,"Rowan Marshall",31,RUCK,96.892621,99.947014,0
christian-petracca,"Christian Petracca",30,MID,101.179609,98.903481,1
clayton-oliver,"Clayton Oliver",29,MID,110.786385,109.991330,1
touk-miller,"Touk Miller",30,SF,105.561195,102.645509,1
jacob-farrow,"Jacob Farrow",19,SD,107.575541,112.807569,0
lachie-neale,"Lachie Neale",33,MID,106.414480,110.304542,0
george-wardlaw,"George Wardlaw",22,MID,111.206846,113.445311,0
bailey-dale,"Bailey Dale",30,SD,107.237815,106.878749,1
lachie-whitfield,"Lachie Whitfield",32,SD,113.742003,114.925068,0
lloyd-meek,"Lloyd Meek",28,RUCK,99.227768,94.543418,1
jaspa-fletcher,"Jaspa Fletcher",22,SD,101.854090,105.761115,0
max-king-stk,"Max King",26,KPF,73.655254,67.320918,1
shai-bolton,"Shai Bolton",28,SF,96.159362,94.031762,1
josh-battle,"Josh Battle",28,KPD,89.655972,88.416192,1
logan-mcdonald,"Logan McDonald",24,KPF,81.661774,78.718013,1
toby-nankervis,"Toby Nankervis",32,RUCK,107.658830,106.318700,1
george-hewett,"George Hewett",31,MID,110.217997,107.604211,1
will-day,"Will Day",25,MID,108.310904,107.591961,1
justin-mcinerney,"Justin McInerney",26,MID,102.839315,101.717349,1
wayne-milera,"Wayne Milera",29,SD,100.366987,100.717003,0
alix-tauru,"Alix Tauru",20,KPD,84.533122,91.957911,0
jacob-van-rooyen,"Jacob Van Rooyen",23,KPF,85.875310,86.739356,0
callum-mills,"Callum Mills",29,SD,105.711827,102.451266,1
john-noble,"John Noble",29,SD,108.607119,104.249677,1
daniel-annable,"Daniel Annable",19,MID,101.734608,116.349342,0
jack-ginnivan,"Jack Ginnivan",24,SF,95.324757,94.427963,1
xavier-taylor,"Xavier Taylor",19,SD,94.047965,105.800111,0
ollie-dempsey,"Ollie Dempsey",23,MID,107.022482,108.760826,0
harris-andrews,"Harris Andrews",30,KPD,86.440408,86.985258,0
tom-mccartin,"Tom McCartin",27,KPD,88.536984,85.329853,1
josh-daicos,"Josh Daicos",28,SD,102.030158,102.984957,0
joel-freijah,"Joel Freijah",21,MID,106.300935,113.718089,0
daniel-curtin,"Daniel Curtin",21,MID,106.563019,109.960718,0
harvey-langford,"Harvey Langford",20,MID,111.707808,116.215679,0
nate-caddy,"Nate Caddy",21,KPF,88.686268,95.489667,0
tanner-bruhn,"Tanner Bruhn",24,MID,103.781183,102.076876,1
aaron-naughton,"Aaron Naughton",27,KPF,79.664739,77.385720,1
tom-powell,"Tom Powell",24,MID,97.737520,97.950331,0
sullivan-robey,"Sullivan Robey",19,MID,110.544075,116.341877,0
tobie-travaglia,"Tobie Travaglia",20,SD,82.738307,95.239070,0
sam-cumming,"Sam Cumming",19,MID,109.840934,116.588417,0
tom-sparrow,"Tom Sparrow",26,MID,96.240811,95.025641,1
leo-lombard,"Leo Lombard",20,SF,92.606017,102.505557,0
jordan-de-goey,"Jordan De Goey",30,SF,89.453404,85.306144,1
hugh-mccluggage,"Hugh McCluggage",28,MID,102.594771,100.209202,1
dyson-sharp,"Dyson Sharp",19,MID,109.670842,118.170200,0
josh-rachele,"Josh Rachele",23,SF,88.890795,90.287472,0
james-sicily,"James Sicily",31,SD,99.226533,97.253490,1
tom-mccarthy,"Tom McCarthy",26,SD,96.584152,92.444405,1
patrick-cripps,"Patrick Cripps",31,MID,103.558521,99.429330,1
karl-worner,"Karl Worner",24,SD,95.779107,94.628193,1
samuel-grlj,"Samuel Grlj",19,MID,108.448310,114.008906,0
nick-madden,"Nick Madden",22,RUCK,97.708622,105.146581,0
koltyn-tholstrup,"Koltyn Tholstrup",21,SD,98.258736,103.797009,0
josh-lindsay,"Josh Lindsay",19,SD,103.507382,113.097235,0
josh-smillie,"Josh Smillie",20,MID,102.012779,111.047634,0
jake-soligo,"Jake Soligo",23,MID,100.623580,101.158637,0
peter-wright,"Peter Wright",30,KPF,86.058205,83.178556,1
luke-parker,"Luke Parker",34,SD,104.770566,99.635630,1
tim-kelly,"Tim Kelly",32,MID,90.068920,94.041818,0
darcy-cameron,"Darcy Cameron",31,RUCK,104.964761,103.195663,1
isaac-kako,"Isaac Kako",20,SF,85.052368,90.511910,0
latrelle-pickett,"Latrelle Pickett",21,SF,76.001211,80.553325,0
caleb-daniel,"Caleb Daniel",30,SD,100.058030,96.739981,1
ethan-read,"Ethan Read",21,KPF,77.729891,82.000844,0
jonty-faull,"Jonty Faull",20,KPF,80.821596,88.819277,0
taj-hotton,"Taj Hotton",20,MID,102.502063,109.917723,0
xavier-lindsay,"Xavier Lindsay",20,MID,105.554957,110.233589,0
bradley-hill,"Bradley Hill",33,SF,88.567659,85.977874,1
mitch-georgiades,"Mitch Georgiades",25,KPF,83.407890,82.055083,1
zane-duursma,"Zane Duursma",21,SF,73.026091,81.190177,0
trent-rivers,"Trent Rivers",25,SD,100.446591,96.616112,1
luke-trainor,"Luke Trainor",20,KPD,87.537914,93.632362,0
charlie-curnow,"Charlie Curnow",29,KPF,83.242084,79.530748,1
marcus-herbert,"Marcus Herbert",24,SD,85.306009,83.354872,1
jack-steele,"Jack Steele",31,MID,94.308421,97.161630,0
phoenix-gothard,"Phoenix Gothard",21,SF,93.595240,98.739638,0
bailey-humphrey,"Bailey Humphrey",22,MID,101.318869,102.362033,0
harry-mckay,"Harry McKay",29,KPF,86.683611,82.645471,1
mattaes-phillipou,"Mattaes Phillipou",22,MID,102.239729,101.142995,1
dan-houston,"Dan Houston",29,SD,95.609946,92.305501,1
paul-curtis,"Paul Curtis",23,SF,87.883470,86.407297,1
joshua-weddle,"Joshua Weddle",22,SD,97.694978,100.303937,0
luke-ryan,"Luke Ryan",30,SD,100.310853,101.414575,0
thomas-stewart,"Thomas Stewart",33,SD,99.489810,100.228358,0
gryan-miers,"Gryan Miers",27,SF,94.415781,90.687954,1
dylan-moore,"Dylan Moore",27,SF,87.822036,84.268783,1
patrick-voss,"Patrick Voss",23,KPF,86.413401,85.438003,1
harry-kyle,"Harry Kyle",19,SD,95.061960,103.004805,0
jy-simpkin,"Jy Simpkin",28,MID,92.626849,91.251988,1
brent-daniels,"Brent Daniels",27,SF,87.209286,84.649702,1
hayden-young,"Hayden Young",25,MID,101.503956,96.948873,1
lawson-humphries,"Lawson Humphries",23,SD,102.583667,97.810802,1
beau-addinsall,"Beau Addinsall",19,MID,102.447470,115.777291,0
josh-dunkley,"Josh Dunkley",29,MID,97.550330,99.868567,0
taylor-goad,"Taylor Goad",21,RUCK,106.478510,112.571042,0
massimo-d-ambrosio,"Massimo D'Ambrosio",23,MID,102.859726,103.208943,0
oskar-taylor,"Oskar Taylor",19,SD,97.395738,106.848073,0
adam-treloar,"Adam Treloar",33,SF,86.446226,81.667056,1
jai-murray,"Jai Murray",19,MID,98.642372,110.746109,0
caleb-windsor,"Caleb Windsor",21,MID,101.354629,103.895137,0
will-green,"Will Green",21,RUCK,86.290062,110.538304,0
lachlan-carmichael,"Lachlan Carmichael",19,SD,91.501358,105.452214,0
james-rowbottom,"James Rowbottom",26,MID,92.380737,89.558849,1
lachlan-mcandrew,"Lachlan McAndrew",26,RUCK,94.740365,91.033105,1
will-graham,"Will Graham",21,MID,98.135969,103.522291,0
cooper-sharman,"Cooper Sharman",26,KPF,75.116628,72.244345,1
mark-keane,"Mark Keane",26,KPD,85.731110,84.465633,1
harry-armstrong,"Harry Armstrong",20,KPF,80.491814,90.500453,0
dayne-zorko,"Dayne Zorko",37,SD,105.428684,104.357785,1
ned-moyle,"Ned Moyle",24,RUCK,108.296953,104.344426,1
mason-redman,"Mason Redman",29,SD,97.690452,96.000546,1
mitchell-marsh,"Mitchell Marsh",19,KPF,78.146625,88.791463,0
jobe-shanahan,"Jobe Shanahan",20,KPF,93.630787,97.172149,0
aidan-schubert,"Aidan Schubert",19,KPF,82.471461,92.033723,0
louis-emmett,"Louis Emmett",19,KPF,77.617754,92.504797,0
adam-cerra,"Adam Cerra",27,MID,97.552205,92.382541,1
thomas-liberatore,"Thomas Liberatore",34,MID,98.546861,98.892181,0
reilly-o-brien,"Reilly O'Brien",31,RUCK,94.645618,96.379077,0
joe-richards,"Joe Richards",27,SF,83.699378,79.412674,1
joe-berry,"Joe Berry",20,SF,89.229140,92.123934,0
jacob-weitering,"Jacob Weitering",29,KPD,85.966612,78.462439,1
cooper-trembath,"Cooper Trembath",21,KPF,96.210401,99.628808,0
jake-riccardi,"Jake Riccardi",27,KPF,70.542990,68.437348,1
cameron-nairn,"Cameron Nairn",19,SF,83.644533,92.110494,0
cameron-mackenzie,"Cameron Mackenzie",22,MID,104.742079,108.132789,0
zach-reid,"Zach Reid",24,KPD,77.878183,76.052837,1
harley-barker,"Harley Barker",19,MID,96.299922,111.199158,0
matt-whitlock,"Matt Whitlock",20,KPF,73.429183,86.389784,0
jayden-short,"Jayden Short",30,SD,95.602970,91.601471,1
jarman-impey,"Jarman Impey",31,SD,92.629788,88.356368,1
toby-greene,"Toby Greene",33,SF,82.601122,80.667045,1
harrison-oliver,"Harrison Oliver",20,SD,82.350750,96.914853,0
jedd-busslinger,"Jedd Busslinger",22,KPD,79.277293,82.987655,0
wil-dawson,"Wil Dawson",21,KPD,71.627322,81.534004,0
thomas-sims,"Thomas Sims",20,KPF,87.767984,91.061167,0
adam-sweid,"Adam Sweid",19,SF,83.260749,90.065708,0
shaun-mannagh,"Shaun Mannagh",29,SF,85.587014,76.095664,1
oliver-hollands,"Oliver Hollands",22,MID,102.476334,102.567232,0
cooper-hynes,"Cooper Hynes",20,MID,96.227165,105.301736,0
aliir-aliir,"Aliir Aliir",32,KPD,83.353698,79.828867,1
sam-draper,"Sam Draper",28,RUCK,91.620761,85.318519,1
marcus-windhager,"Marcus Windhager",23,MID,102.585025,103.135826,0
blake-thredgold,"Blake Thredgold",19,KPD,86.858577,94.456975,0
elijah-tsatas,"Elijah Tsatas",22,MID,97.584982,100.461015,0
zane-peucker,"Zane Peucker",19,SF,84.074969,89.909981,0
darcy-jones,"Darcy Jones",22,SF,86.734738,89.742761,0
lachy-dovaston,"Lachy Dovaston",19,SF,80.215762,87.783152,0
bo-allan,"Bo Allan",20,SD,90.249306,98.950566,0
avery-thomas,"Avery Thomas",19,SD,90.842962,101.883037,0
jack-whitlock,"Jack Whitlock",20,KPF,88.493525,93.871977,0
sam-allen,"Sam Allen",19,MID,98.995614,109.901693,0
daniel-turner,"Daniel Turner",24,KPD,87.507478,83.357648,1
ed-langdon,"Ed Langdon",30,SD,86.396522,82.682996,1
kane-farrell,"Kane Farrell",27,SD,97.594288,93.580059,1
seth-campbell,"Seth Campbell",22,SF,86.464697,87.459373,0
jordan-croft,"Jordan Croft",21,KPF,77.327799,84.256934,0
thomas-matthews,"Thomas Matthews",19,SF,84.396144,88.885573,0
jesse-dattoli,"Jesse Dattoli",20,SF,81.638410,94.155323,0
oliver-hannaford,"Oliver Hannaford",20,SF,73.597260,87.174251,0
kai-lohmann,"Kai Lohmann",23,SF,81.999286,82.683065,0
tyan-prindable,"Tyan Prindable",19,MID,95.125813,107.414433,0
william-mccabe,"William McCabe",21,KPF,74.810013,89.431424,0
ty-gallop,"Ty Gallop",20,KPF,87.699019,95.159562,0
harry-barnett,"Harry Barnett",22,RUCK,104.236582,105.974789,0
riley-bice,"Riley Bice",26,SD,81.380726,77.633653,1
james-barrat,"James Barrat",20,KPD,84.558464,91.934078,0
hunter-holmes,"Hunter Holmes",19,MID,94.994610,107.414433,0
tom-de-koning,"Tom De Koning",27,RUCK,104.695951,97.431142,1
ned-bowman,"Ned Bowman",20,SF,79.584966,91.764272,0
cody-angove,"Cody Angove",20,MID,93.441773,107.299417,0
jake-rogers,"Jake Rogers",21,SF,74.188270,78.406202,0
charlie-nicholls,"Charlie Nicholls",20,KPF,78.699337,90.580941,0
darcy-byrne-jones,"Darcy Byrne-Jones",31,SD,80.541939,79.635915,1
jevan-phillipou,"Jevan Phillipou",19,SF,81.846896,88.869908,0
sam-marshall,"Sam Marshall",20,MID,88.805066,103.146466,0
rory-laird,"Rory Laird",33,SD,97.455986,97.236629,1
sam-taylor,"Sam Taylor",27,KPD,80.858959,78.876596,1
harry-o-farrell,"Harry O'Farrell",20,KPD,83.779988,93.642490,0
ned-long,"Ned Long",23,MID,97.878198,94.044072,1
darcy-fogarty,"Darcy Fogarty",27,KPF,77.348766,75.077489,1
lachie-jaques,"Lachie Jaques",20,SD,89.312673,100.980715,0
kayle-gerreyn,"Kayle Gerreyn",20,KPF,78.098659,90.580941,0
jake-waterman,"Jake Waterman",28,KPF,81.050381,79.659713,1
koby-evans,"Koby Evans",19,SF,83.489666,89.323886,0
caiden-cleary,"Caiden Cleary",21,SF,70.973018,82.485512,0
samuel-collins,"Samuel Collins",32,KPD,80.079992,78.130308,1
matthew-roberts,"Matthew Roberts",23,SD,97.691851,99.703124,0
riley-hardeman,"Riley Hardeman",21,SD,81.114477,91.864954,0
lewis-hayes,"Lewis Hayes",22,KPD,71.683878,74.007486,0
jordan-ridley,"Jordan Ridley",28,SD,86.300875,80.257694,1
charlie-edwards,"Charlie Edwards",21,MID,94.785509,102.339792,0
joshua-kelly,"Joshua Kelly",31,MID,88.709172,87.311706,1
tylah-williams,"Tylah Williams",19,SF,84.617939,89.323886,0
ben-miller,"Ben Miller",27,KPD,79.333491,78.654603,1
jack-gunston,"Jack Gunston",35,KPF,87.850110,79.129099,1
cody-curtin,"Cody Curtin",19,KPF,76.800920,91.519104,0
james-leake,"James Leake",21,SD,82.845442,96.206118,0
tobyn-murray,"Tobyn Murray",21,SF,68.391606,80.888386,0
oliver-florent,"Oliver Florent",28,SD,89.255364,88.710714,1
andrew-mcgrath,"Andrew McGrath",28,SD,100.862642,90.189128,1
nic-newman,"Nic Newman",33,SD,93.337089,89.904889,1
james-peatling,"James Peatling",26,MID,98.505917,94.892110,1
wil-powell,"Wil Powell",27,SD,89.639703,87.772548,1
billy-wilson,"Billy Wilson",21,SD,92.643447,101.609032,0
joel-jeffrey,"Joel Jeffrey",24,SD,100.425315,95.114778,1
josh-gibcus,"Josh Gibcus",23,KPD,67.710260,69.002313,0
angus-clarke,"Angus Clarke",20,SD,90.990254,100.797834,0
miles-bergman,"Miles Bergman",25,SD,91.120991,90.312844,1
samuel-swadling,"Samuel Swadling",19,MID,93.354087,107.243508,0
patrick-lipinski,"Patrick Lipinski",28,SF,86.139510,80.213055,1
jack-dalton,"Jack Dalton",19,SF,82.210055,88.869908,0
joseph-fonti,"Joseph Fonti",22,SD,91.158843,91.789376,0
ryan-maric,"Ryan Maric",22,MID,101.130502,101.861193,0
jhye-clark,"Jhye Clark",22,MID,93.976243,92.676935,1
jye-caldwell,"Jye Caldwell",26,MID,96.000931,92.443135,1
ben-king,"Ben King",26,KPF,71.607800,68.245396,1
max-michalanney,"Max Michalanney",22,SD,85.943397,89.649164,0
toby-conway,"Toby Conway",23,RUCK,101.598198,106.003214,0
ollie-murphy,"Ollie Murphy",21,KPD,78.420289,90.264481,0
bailey-williams-wb,"Bailey Williams",29,SD,88.493784,87.286704,1
hugh-davies,"Hugh Davies",22,KPD,72.449188,75.137878,0
sean-darcy,"Sean Darcy",28,RUCK,89.694160,82.578045,1
archer-reid,"Archer Reid",21,KPF,73.716985,81.049829,0
jeremy-cameron,"Jeremy Cameron",33,KPF,81.796868,83.636330,0
lachlan-schultz,"Lachlan Schultz",29,SF,89.261796,80.585339,1
mitchell-edwards,"Mitchell Edwards",21,RUCK,112.087319,119.290487,0
max-kondogiannis,"Max Kondogiannis",19,SD,86.529244,96.149871,0
lachlan-cowan,"Lachlan Cowan",22,SD,90.752882,92.504103,0
luke-lloyd,"Luke Lloyd",21,KPD,78.202620,89.796667,0
logan-evans,"Logan Evans",21,SD,100.195643,105.182589,0
christian-moraes,"Christian Moraes",20,MID,93.987665,99.818446,0
talor-byrne,"Talor Byrne",19,SF,88.068756,94.349988,0
josh-dolan,"Josh Dolan",20,SF,75.170063,82.412439,0
charlie-banfield,"Charlie Banfield",19,MID,92.721117,106.855213,0
keidean-coleman,"Keidean Coleman",26,SD,92.462175,86.537047,1
jack-graham,"Jack Graham",28,MID,89.293344,85.996177,1
oscar-ryan,"Oscar Ryan",21,SD,83.132138,92.547229,0
tai-hayes,"Tai Hayes",22,SF,62.120467,70.448759,0
darcy-parish,"Darcy Parish",29,MID,91.275644,84.681641,1
jack-silvagni,"Jack Silvagni",29,KPD,77.581531,75.211464,1
elijah-hewett,"Elijah Hewett",22,MID,90.189279,89.300334,1
harry-demattia,"Harry DeMattia",21,MID,92.877943,101.972723,0
jed-adams,"Jed Adams",22,KPD,72.159468,74.904940,0
jack-ough,"Jack Ough",20,MID,88.143145,104.224955,0
matthew-jefferson,"Matthew Jefferson",22,KPF,68.760084,73.562320,0
kane-mcauliffe,"Kane McAuliffe",21,MID,100.216915,107.217705,0
billy-cootee,"Billy Cootee",24,MID,65.243038,59.875586,1
jacob-konstanty,"Jacob Konstanty",22,SF,65.833062,67.902451,0
max-gruzewski,"Max Gruzewski",22,KPF,74.642126,79.569565,0
josh-sinn,"Josh Sinn",23,SD,76.743008,77.837180,0
kade-chandler,"Kade Chandler",26,SF,82.127124,80.519087,1
jack-viney,"Jack Viney",32,MID,87.818656,88.255774,0
brayden-maynard,"Brayden Maynard",30,SD,85.204994,83.012903,1
edward-allan,"Edward Allan",22,MID,96.023203,95.967278,1
jack-buckley,"Jack Buckley",29,KPD,75.872515,71.654387,1
lance-collard,"Lance Collard",21,SF,69.437363,78.009202,0
daniel-rioli,"Daniel Rioli",29,SD,92.730947,87.710346,1
willem-drew,"Willem Drew",28,MID,93.070818,89.235426,1
ben-camporeale,"Ben Camporeale",20,MID,90.578335,105.437062,0
will-brodie,"Will Brodie",28,MID,83.086007,73.089328,1
ashton-moir,"Ashton Moir",21,SF,70.278058,82.627739,0
will-setterfield,"Will Setterfield",28,MID,91.271258,83.988566,1
koby-coulson,"Koby Coulson",19,MID,89.446226,106.379855,0
blake-hardwick,"Blake Hardwick",29,SD,83.712387,85.282053,0
matt-johnson-1,"Matt Johnson",23,MID,100.001049,95.390494,1
lachlan-smith,"Lachlan Smith",21,RUCK,94.535731,105.644343,0
francis-evans,"Francis Evans",25,SF,79.320926,75.706678,1
neil-erasmus,"Neil Erasmus",23,MID,99.733307,93.862118,1
cameron-rayner,"Cameron Rayner",27,SF,77.432254,76.497770,1
kyle-langford,"Kyle Langford",30,KPF,71.963126,69.991366,1
joel-cochran,"Joel Cochran",20,KPD,81.385023,92.540180,0
max-knobel,"Max Knobel",22,RUCK,92.219809,98.197691,0
tew-jiath,"Tew Jiath",21,SD,79.974698,92.666240,0
hugo-mikunda,"Hugo Mikunda",19,SF,80.864774,90.251989,0
archie-ludowyke,"Archie Ludowyke",19,KPF,76.810799,92.454314,0
jai-serong,"Jai Serong",23,SD,94.058196,90.647709,1
angus-hastie,"Angus Hastie",21,SD,76.051177,86.618993,0
cooper-lord,"Cooper Lord",21,MID,102.776644,108.030830,0
sam-davidson,"Sam Davidson",25,SF,68.671503,64.942161,1
hugh-boxshall,"Hugh Boxshall",20,MID,96.570464,107.035062,0
jamarra-ugle-hagan,"Jamarra Ugle-Hagan",24,KPF,71.827870,66.365284,1
charlie-west,"Charlie West",20,KPF,77.794849,90.509792,0
angus-sheldrick,"Angus Sheldrick",23,MID,95.348740,91.968042,1
max-king-syd,"Maxwell King",19,SF,80.864774,90.251989,0
lukas-cooke,"Lukas Cooke",23,KPD,73.460159,74.914151,0
mitch-podhajski,"Mitch Podhajski",27,KPF,65.194634,59.320950,1
cooper-simpson,"Cooper Simpson",21,SD,76.289735,92.303989,0
archie-may,"Archie May",22,KPF,76.819469,81.062634,0
cooper-bell,"Cooper Bell",20,KPD,82.635204,92.540180,0
brodie-kemp,"Brodie Kemp",25,KPF,72.684734,74.150488,0
flynn-riley,"Flynn Riley",22,RUCK,92.544589,97.458014,0
alex-van-wyk,"Alex Van Wyk",22,RUCK,91.422359,97.001420,0
liam-fawcett,"Liam Fawcett",21,KPF,71.259725,80.441808,0
clay-hall,"Clay Hall",21,MID,95.944074,103.588804,0
anthony-caminiti,"Anthony Caminiti",23,KPF,83.989244,80.099508,1
oliver-griffin,"Oliver Griffin",19,SF,85.191853,97.906020,0
harrison-coe,"Harrison Coe",27,RUCK,82.560431,69.952857,1
caleb-may,"Caleb May",21,RUCK,93.999334,106.572357,0
max-beattie,"Max Beattie",23,SF,66.798047,68.848398,0
max-mapley,"Max Mapley",21,RUCK,93.999334,106.572357,0
harrison-ramm,"Harrison Ramm",20,KPD,84.697256,93.936416,0
peter-ladhams,"Peter Ladhams",28,RUCK,84.892315,72.688814,1
jack-ison,"Jack Ison",19,SF,80.631439,91.057057,0
