key,name,age,pos,b4,b5,inversion
nick-daicos,"Nick Daicos",23,MID,129.130083,130.071406,0
harry-sheezel,"Harry Sheezel",22,MID,124.528247,125.960944,0
will-ashcroft,"Will Ashcroft",22,MID,121.924999,121.924999,0
nasiah-wanganeen-milera,"Nasiah Wanganeen-Milera",23,MID,124.813880,126.422691,0
luke-jackson,"Luke Jackson",25,RUCK,128.401681,128.401681,0
max-holmes,"Max Holmes",24,MID,124.492347,126.260262,0
bailey-smith,"Bailey Smith",26,MID,122.890337,127.332126,0
zak-butters,"Zak Butters",26,MID,123.951710,126.959299,0
josh-treacy,"Josh Treacy",24,KPF,112.004228,112.004228,0
bodhi-uwland,"Bodhi Uwland",23,SD,115.226703,119.881191,0
jason-horne-francis,"Jason Horne-Francis",23,MID,115.145739,115.145739,0
archie-roberts,"Archie Roberts",21,SD,114.577954,118.426851,0
noah-anderson,"Noah Anderson",25,MID,118.834877,119.275528,0
errol-gulden,"Errol Gulden",24,MID,122.494036,125.599459,0
riley-thilthorpe,"Riley Thilthorpe",24,KPF,104.439917,104.439917,0
tristan-xerri,"Tristan Xerri",27,RUCK,124.820249,130.425346,0
finn-callaghan,"Finn Callaghan",23,MID,119.756873,119.849574,0
mac-andrew,"Mac Andrew",23,KPD,102.448507,105.681747,0
lachlan-ash,"Lachlan Ash",25,SD,123.677667,126.509617,0
nick-watson,"Nick Watson",21,SF,102.037429,107.938637,0
caleb-serong,"Caleb Serong",25,MID,116.854313,123.084629,0
sam-darcy,"Sam Darcy",23,KPF,106.004196,109.573159,0
matt-rowell,"Matt Rowell",25,MID,114.848248,114.848248,0
murphy-reid,"Murphy Reid",20,SF,101.208509,106.505964,0
willem-duursma,"Willem Duursma",19,MID,115.394057,119.100452,0
harry-dean,"Harry Dean",19,KPD,101.592333,101.592333,0
jai-newcombe,"Jai Newcombe",25,MID,118.117972,124.820543,0
brodie-grundy,"Brodie Grundy",32,RUCK,128.018214,128.163184,0
jake-bowey,"Jake Bowey",24,SD,111.776969,116.832997,0
sam-lalor,"Sam Lalor",20,MID,110.443431,112.791594,0
darcy-wilson,"Darcy Wilson",21,SF,96.308916,105.768564,0
harley-reid,"Harley Reid",21,MID,112.367710,115.315538,0
levi-ashcroft,"Levi Ashcroft",20,MID,116.005138,118.448748,0
hugo-garcia,"Hugo Garcia",21,MID,111.458662,120.233662,0
noah-mraz,"Noah Mraz",20,KPD,88.606794,97.483182,0
bailey-williams-wc,"Bailey J. Williams",26,RUCK,100.621192,106.623972,0
jagga-smith,"Jagga Smith",20,MID,118.889480,121.005030,0
sam-durham,"Sam Durham",25,MID,105.700921,113.359232,0
marcus-bontempelli,"Marcus Bontempelli",31,MID,128.086146,129.455754,0
logan-morris,"Logan Morris",21,KPF,97.019092,103.487963,0
chad-warner,"Chad Warner",25,MID,113.535076,120.663325,0
sam-walsh,"Sam Walsh",26,MID,106.874427,108.678961,0
callum-wilkie,"Callum Wilkie",30,KPD,105.978521,106.581294,0
darcy-wilmot,"Darcy Wilmot",23,SD,108.213957,110.662306,0
ryley-sanders,"Ryley Sanders",21,MID,112.156215,119.851660,0
sam-berry,"Sam Berry",24,MID,117.434370,120.138373,0
josh-ward,"Josh Ward",23,MID,107.609406,114.540585,0
kysaiah-pickett,"Kysaiah Pickett",25,SF,109.292232,113.552754,0
max-hall,"Max Hall",24,SF,99.359105,103.266283,0
