player,position,draft_age,pick,draft_year,type,v0_before,v0_after,v0_delta,board_price_before,board_price_after,price_delta,engine_ev_before,engine_ev_after
Daniel Annable,MID,18,6,2025,ND,2041.97,2123.16,81.19,1452,1476,24,1528,1553
Xavier Taylor,SD,18,11,2025,ND,1115.19,1060.06,-55.13,942,924,-18,991,972
Josh Sinn,SD,18,12,2021,ND,1166.47,1060.06,-106.41,144,131,-13,152,138
Will Green,RUCK,18,16,2023,ND,1031.59,1053.56,21.96,659,670,11,694,705
Josh Smillie,MID,18,7,2024,ND,2141.93,2123.16,-18.78,962,953,-9,1012,1003
Taylor Goad,RUCK,18,20,2023,ND,1080.31,1053.56,-26.76,1040,1032,-8,1094,1086
Jackson Macrae,MID,18,8,2012,ND,2185.57,2123.16,-62.41,104,101,-3,109,106
Hunter Clark,SD,18,7,2017,ND,992.81,1060.06,67.25,48,50,2,50,53
Chayce Jones,SD,18,9,2018,ND,1023.1,1060.06,36.97,48,50,2,51,53
Callum Ah Chee,SF,18,8,2015,ND,1375.74,1343.76,-31.98,66,64,-2,69,67
Nicholas Coffield,SD,18,8,2017,ND,1028.12,1060.06,31.95,48,50,2,51,53
Luke McDonald,SD,18,8,2013,ND,1028.12,1060.06,31.95,48,50,2,51,53
William McCabe,KPF,18,19,2023,ND,815.24,804.36,-10.87,625,623,-2,658,656
Jacob Hopper,MID,18,7,2015,ND,2141.93,2123.16,-18.78,102,101,-1,107,106
Callum Coleman-Jones,KPF,18,20,2017,ND,815.04,804.36,-10.68,39,38,-1,41,40
Jake Melksham,KPF,18,10,2009,ND,1047.13,1057.24,10.11,49,50,1,52,53
Cameron Rayner,SF,18,1,2017,ND,2281.1,2400.89,119.79,463,463,0,487,487
Jack Lukosius,SF,18,2,2018,ND,2520.67,2400.89,-119.79,469,469,0,494,494
Jaspa Fletcher,SD,18,12,2022,ND,1166.47,1060.06,-106.41,2649,2649,0,2788,2788
Liam Duggan,SD,18,12,2014,ND,1166.47,1060.06,-106.41,212,212,0,223,223
Nick Vlastuin,SD,18,12,2012,ND,1166.47,1060.06,-106.41,84,84,0,88,88
Lachie Whitfield,SD,18,1,2012,ND,2278.39,2375.89,97.5,2257,2257,0,2375,2375
Andrew McGrath,SD,18,1,2016,ND,2278.39,2375.89,97.5,1038,1038,0,1092,1092
Zeke Uwland,SD,18,2,2025,ND,2473.4,2375.89,-97.5,2660,2660,0,2799,2799
Ryley Sanders,MID,18,6,2023,ND,2041.97,2123.16,81.19,3932,3932,0,4138,4138
Harvey Langford,MID,18,6,2024,ND,2041.97,2123.16,81.19,2514,2514,0,2646,2646
Bailey Humphrey,MID,18,6,2022,ND,2041.97,2123.16,81.19,2572,2572,0,2707,2707
Aaron Cadman,KPF,18,1,2022,ND,2149.14,2225.01,75.88,1756,1756,0,1848,1848
Jamarra Ugle-Hagan,KPF,18,1,2020,ND,2149.14,2225.01,75.88,277,277,0,291,291
Riley Thilthorpe,KPF,18,2,2020,ND,2300.89,2225.01,-75.88,4664,4664,0,4908,4908
Sam Darcy,KPF,18,2,2021,ND,2300.89,2225.01,-75.88,5350,5350,0,5630,5630
Jack Scrimshaw,SD,18,7,2016,ND,992.81,1060.06,67.25,90,90,0,95,95
Caleb Serong,MID,18,8,2019,ND,2185.57,2123.16,-62.41,5097,5097,0,5364,5364
Daniel Curtin,MID,18,8,2023,ND,2185.57,2123.16,-62.41,2451,2451,0,2579,2579
Samuel Grlj,MID,18,8,2025,ND,2185.57,2123.16,-62.41,1765,1765,0,1857,1857
Jhye Clark,MID,18,8,2022,ND,2185.57,2123.16,-62.41,1074,1074,0,1130,1130
Koltyn Tholstrup,SD,18,13,2023,ND,1119.03,1060.06,-58.97,1717,1717,0,1807,1807
Isaac Quaynor,SD,18,13,2018,ND,1119.03,1060.06,-58.97,604,604,0,636,636
Wayne Milera,SD,18,11,2015,ND,1115.19,1060.06,-55.13,1826,1826,0,1922,1922
Oliver Florent,SD,18,11,2016,ND,1115.19,1060.06,-55.13,743,743,0,782,782
Jordan De Goey,SF,18,6,2014,ND,1304.16,1343.76,39.6,1453,1453,0,1529,1529
Josh Rachele,SF,18,6,2021,ND,1304.16,1343.76,39.6,2032,2032,0,2138,2138
Christian Salem,SD,18,9,2013,ND,1023.1,1060.06,36.97,93,93,0,98,98
Tobie Travaglia,SD,18,8,2024,ND,1028.12,1060.06,31.95,753,753,0,792,792
Ben King,KPF,18,6,2018,ND,1064.01,1089.66,25.65,232,232,0,244,244
Jye Amiss,KPF,18,8,2021,ND,1108.83,1089.66,-19.16,1508,1508,0,1587,1587
Nikolas Cox,KPF,18,8,2020,ND,1108.83,1089.66,-19.16,135,135,0,142,142
