cell,position,draft_age,pick_1,pick_2,pick_3,pick_4,pick_5,pick_6,pick_7,pick_8,pick_9,pick_10,pick_11,pick_12,pick_13,pick_14,pick_15,pick_16,pick_17,pick_18,pick_19,pick_20,pick_21,pick_22,pick_23,pick_24,pick_25,pick_26,pick_27,pick_28,pick_29,pick_30,pick_31,pick_32,pick_33,pick_34,pick_35,pick_36,pick_37,pick_38,pick_39,pick_40,pick_41,pick_42,pick_43,pick_44,pick_45,pick_46,pick_47,pick_48,pick_49,pick_50,pick_51,pick_52,pick_53,pick_54,pick_55,pick_56,pick_57,pick_58,pick_59,pick_60,pick_61,pick_62,pick_63,pick_64
KPD|16,KPD,16,2494.928,2475.076,2320.733,1941.286,1501.262,1226.83,1203.793,1174.963,1098.952,1092.571,1092.571,1092.571,1041.322,913.422,813.585,793.711,789.8,784.014,778.062,765.396,725.901,682.861,644.36,614.565,592.341,576.672,564.292,554.33,543.587,530.43,516.435,501.61,487.593,476.068,467.099,461.589,457.918,456.113,454.458,452.027,446.954,439.08,429.15,416.107,401.662,387.625,373.993,361.74,350.908,342.538,337.704,329.453,321.77,314.685,306.172,297.262,286.942,275.228,262.148,247.738,233.082,218.226,204.254,191.203
KPD|17,KPD,17,2494.929,2476.615,2326.8,1951.026,1509.772,1232.611,1208.232,1178.58,1101.503,1092.904,1092.904,1092.904,1040.887,913.6,814.609,795.792,793.085,788.545,783.827,772.282,733.523,690.981,652.838,623.347,601.401,586.004,573.867,564.121,553.525,540.423,526.426,511.544,497.456,485.882,476.895,471.419,467.807,466.088,464.509,462.124,457.027,449.052,438.962,425.675,410.943,396.618,382.697,370.179,359.11,350.553,345.611,337.167,329.302,322.045,313.324,304.195,293.621,281.621,268.222,253.463,238.451,223.237,208.929,195.563
KPD|18,KPD,18,2494.929,2477.613,2330.832,1958.137,1516.874,1237.98,1212.358,1181.452,1103.098,1092.841,1092.841,1092.841,1040.537,913.81,815.529,797.598,795.919,792.47,788.871,778.388,740.39,698.424,660.75,631.693,610.166,595.188,583.441,574.057,563.745,550.822,536.929,522.082,507.997,496.437,487.485,482.093,478.581,476.983,475.508,473.191,468.078,459.999,449.737,436.184,421.135,406.491,392.251,379.439,368.105,359.341,354.277,345.618,337.55,330.102,321.152,311.781,300.929,288.614,274.866,259.724,244.325,228.719,214.043,200.335
KPF|16,KPF,16,2224.554,2224.554,1928.643,1592.2,1262.135,1079.005,1079.005,1079.005,1034.828,1027.523,1027.523,1027.523,973.788,856.788,772.313,772.313,772.313,772.313,772.313,772.313,751.412,714.64,679.453,650.538,627.078,608.331,591.149,574.921,556.656,535.103,512.288,488.574,465.839,445.829,428.629,415.031,403.516,394.08,385.228,376.221,365.588,353.316,340.086,325.115,309.777,295.439,282.029,270.211,259.936,251.898,246.804,239.523,232.946,227.058,220.367,213.596,205.989,197.534,188.225,178.06,167.789,157.421,147.718,138.69
KPF|17,KPF,17,2224.833,2224.833,1929.922,1578.336,1249.064,1084.47,1084.47,1084.47,1047.552,1043.864,1043.864,1043.864,991.847,873.388,787.666,787.666,787.666,787.666,787.666,787.666,765.485,727.625,691.415,661.632,637.438,618.073,600.329,583.58,564.788,542.683,519.32,495.069,471.831,451.372,433.775,419.837,408.017,398.31,389.203,379.949,369.066,356.538,343.06,327.84,312.267,297.717,284.119,272.138,261.724,253.574,248.398,241.03,234.38,228.431,221.684,214.862,207.207,198.706,189.351,179.137,168.821,158.41,148.667,139.606
KPF|18,KPF,18,2225.014,2225.014,1932.217,1574.002,1244.367,1089.661,1089.661,1089.661,1057.241,1057.241,1057.241,1057.241,1007.8,888.635,804.364,804.364,804.364,804.364,804.364,804.364,783.834,745.481,708.741,678.53,654.011,634.415,616.459,599.502,580.422,557.91,534.075,509.293,485.521,464.578,446.552,432.265,420.134,410.156,400.773,391.219,379.969,367.011,353.061,337.312,321.193,306.126,292.037,279.612,268.801,260.316,254.888,247.214,240.281,234.073,227.052,219.963,212.029,203.238,193.583,183.063,172.449,161.749,151.742,142.441
MID|16,MID,16,3463.952,3444.713,3334.432,2879.076,2341.731,2124.055,2124.055,2124.055,2069.92,2023.402,1996.995,1976.178,1811.014,1554.073,1363.021,1318.792,1310.243,1306.036,1306.036,1298.465,1245.579,1184.821,1129.071,1085.329,1051.704,1026.592,1004.418,983.898,959.689,929.373,896.241,860.799,826.294,795.846,769.684,749.323,732.107,718.089,704.586,690.264,672.433,651.071,627.463,600.201,571.874,545.064,519.696,497.037,477.036,460.983,450.176,435.262,421.551,409.028,395.032,380.893,365.3,348.28,329.868,310.104,290.337,270.598,252.205,235.163
MID|17,MID,17,3473.149,3447.24,3330.007,2871.759,2335.279,2123.808,2123.808,2123.808,2076.019,2031.515,2006.578,1986.701,1821.042,1562.427,1369.58,1323.884,1313.62,1307.171,1305.442,1295.39,1240.503,1178.086,1120.999,1076.173,1041.679,1015.886,993.236,972.433,948.172,918.039,885.262,850.315,816.378,786.512,760.93,741.118,724.443,710.953,697.986,684.213,666.959,646.19,623.17,596.493,568.722,542.424,517.524,495.287,475.667,459.956,449.456,434.836,421.394,409.12,395.349,381.415,366.004,349.139,330.855,311.191,291.5,271.814,253.457,236.44
MID|18,MID,18,3484.6,3448.898,3327.075,2866.536,2330.459,2123.155,2123.155,2123.155,2079.664,2036.645,2012.874,1993.826,1828.007,1568.356,1374.315,1327.605,1316.096,1308.134,1304.705,1292.869,1236.357,1172.553,1114.314,1068.52,1033.225,1006.777,983.645,962.529,938.162,908.142,875.643,841.112,807.671,778.329,753.282,733.988,717.836,704.864,692.428,679.204,662.524,642.341,619.9,593.792,566.559,540.754,516.304,494.474,475.222,459.845,449.655,435.318,422.137,410.1,396.542,382.795,367.542,350.804,332.614,313.011,293.354,273.679,255.318,238.286
RUCK|16,RUCK,16,3636.388,3636.388,3557.263,2909.914,2197.179,1789.005,1769.745,1739.647,1619.682,1565.637,1535.086,1514.829,1389.504,1197.312,1057.021,1051.279,1051.279,1051.279,1051.279,1051.279,1051.279,1026.453,1001.296,985.104,976.141,973.023,970.569,967.55,958.698,941.475,919.162,892.378,864.659,839.532,817.532,800.53,785.917,773.911,761.752,748.089,730.078,707.759,682.597,653.132,622.252,592.83,564.839,539.698,517.383,499.311,486.893,470.026,454.47,440.219,424.415,408.504,391.091,372.216,351.929,330.283,308.718,287.27,267.329,248.896
RUCK|17,RUCK,17,3636.388,3636.388,3557.263,2909.914,2197.178,1788.987,1769.658,1739.418,1619.246,1564.911,1534.042,1513.54,1388.246,1196.338,1056.395,1052.002,1052.002,1052.002,1052.002,1052.002,1052.002,1028.684,1003.93,988.147,979.607,976.936,974.939,972.387,963.984,947.168,925.225,898.767,871.346,846.512,824.804,808.113,793.809,782.112,770.234,756.805,738.943,716.683,691.503,661.922,630.863,601.243,573.037,547.692,525.186,506.965,494.466,477.431,461.714,447.308,431.312,415.198,397.546,378.401,357.81,335.832,313.93,292.14,271.878,253.146
RUCK|18,RUCK,18,3636.388,3636.388,3557.263,2909.914,2197.177,1788.959,1769.521,1739.063,1618.58,1563.836,1532.578,1511.9,1386.9,1195.603,1056.269,1053.555,1053.555,1053.555,1053.555,1053.555,1053.555,1031.737,1007.364,991.957,983.785,981.474,979.817,977.583,969.453,952.848,931.075,904.746,877.433,852.713,831.132,814.595,800.456,788.938,777.228,763.941,746.166,723.931,698.725,669.047,637.85,608.082,579.721,554.231,531.594,513.277,500.74,483.597,467.775,453.27,437.144,420.886,403.06,383.709,362.884,340.642,318.468,296.4,275.875,256.897
SD|16,SD,16,2375.575,2375.575,2194.044,1648.939,1189.666,1056.148,1056.148,1056.148,1056.148,1056.148,1056.148,1056.148,1056.148,992.356,889.638,870.567,866.98,860.047,852.073,836.137,790.5,740.783,695.823,660.078,632.24,611.135,593.243,577.644,561.048,541.898,521.951,501.325,481.742,464.88,450.765,440.208,431.601,424.932,418.582,411.719,402.698,391.458,378.734,363.649,347.749,332.602,318.177,305.266,293.86,284.775,278.842,270.284,262.394,255.173,246.965,238.606,229.277,218.992,207.775,195.651,183.471,171.261,159.856,149.269
SD|17,SD,17,2375.77,2375.77,2198.561,1656.486,1193.669,1058.938,1058.938,1058.938,1058.938,1058.938,1058.938,1058.938,1058.938,994.389,892.43,874.504,872.277,866.77,860.224,845.58,800.738,751.53,706.916,671.463,643.885,623.023,605.318,589.851,573.273,554.001,533.838,512.916,493.006,475.836,461.443,450.667,441.865,435.031,428.511,421.458,412.19,400.646,387.583,372.103,355.792,340.255,325.46,312.217,300.515,291.191,285.092,276.312,268.217,260.808,252.393,243.826,234.269,223.739,212.258,199.854,187.395,174.908,163.246,152.421
SD|18,SD,18,2375.892,2375.892,2201.413,1662.371,1198.094,1060.063,1060.063,1060.063,1060.063,1060.063,1060.063,1060.063,1060.063,994.183,892.834,875.622,874.216,869.58,863.919,850.104,805.847,757.066,712.779,677.609,650.284,629.658,612.148,596.834,580.336,561.055,540.82,519.771,499.709,482.392,467.867,456.989,448.098,441.191,434.593,427.448,418.051,406.342,393.09,377.387,360.839,345.077,330.067,316.632,304.761,295.302,289.114,280.208,271.997,264.482,255.948,247.259,237.567,226.889,215.246,202.668,190.034,177.371,165.545,154.567
SF|16,SF,16,2401.853,2401.853,2253.988,1873.566,1527.338,1367.602,1367.602,1367.602,1341.279,1334.151,1334.151,1334.151,1232.29,1056.096,918.85,877.068,856.292,836.703,819.976,798.821,751.986,703.315,660.51,627.279,602.042,583.481,568.112,554.975,540.851,524.184,506.631,488.291,470.839,455.931,443.628,434.762,427.779,422.691,417.904,412.589,405.084,395.301,383.954,370.129,355.372,341.278,327.816,315.811,305.268,297.056,292.071,284.276,277.11,270.582,262.939,255.056,246.053,235.934,224.711,212.402,199.922,187.301,175.457,164.415
