surface,cell,position,draft_age,rising_steps_1_64_BEFORE,rising_steps_1_64_AFTER,rising_steps_full_grid_BEFORE,rising_steps_full_grid_AFTER,v0_pick1_BEFORE,v0_pick1_AFTER,v0_pick64_BEFORE,v0_pick64_AFTER
_c18,KPD|16,KPD,16,2,0,28,0,2494.93,2494.93,191.2,191.2
_c18,KPD|17,KPD,17,2,0,28,0,2494.93,2494.93,195.56,195.56
_c18,KPD|18,KPD,18,2,0,28,0,2494.93,2494.93,200.33,200.33
_c18,KPF|16,KPF,16,8,0,34,0,2149.14,2224.55,138.69,138.69
_c18,KPF|17,KPF,17,8,0,34,0,2149.14,2224.83,139.61,139.61
_c18,KPF|18,KPF,18,8,0,34,0,2149.14,2225.01,142.44,142.44
_c18,MID|16,MID,16,3,0,29,0,3463.95,3463.95,235.16,235.16
_c18,MID|17,MID,17,2,0,28,0,3473.15,3473.15,236.44,236.44
_c18,MID|18,MID,18,2,0,28,0,3484.6,3484.6,238.29,238.29
_c18,RUCK|16,RUCK,16,5,0,31,0,3491.5,3636.39,248.9,248.9
_c18,RUCK|17,RUCK,17,5,0,31,0,3491.5,3636.39,253.15,253.15
_c18,RUCK|18,RUCK,18,5,0,31,0,3491.5,3636.39,256.9,256.9
_c18,SD|16,SD,16,6,0,32,0,2278.39,2375.58,149.27,149.27
_c18,SD|17,SD,17,6,0,32,0,2278.39,2375.77,152.42,152.42
_c18,SD|18,SD,18,6,0,32,0,2278.39,2375.89,154.57,154.57
_c18,SF|16,SF,16,5,0,31,0,2298.1,2401.85,164.42,164.42
_c18,SF|17,SF,17,5,0,31,0,2287.07,2400.85,161.53,161.53
_c18,SF|18,SF,18,5,0,31,0,2281.1,2400.89,159.48,159.48
_surfN,KPD|19,KPD,19,2,0,28,0,2494.93,2494.93,207.36,207.36
_surfN,KPD|20,KPD,20,5,0,31,0,2494.93,2494.93,220.31,220.31
_surfN,KPD|21,KPD,21,6,0,32,0,2494.93,2494.93,234.06,234.06
_surfN,KPD|22,KPD,22,6,0,32,0,2494.93,2494.93,226.98,226.98
_surfN,KPD|23,KPD,23,7,0,33,0,2494.93,2494.93,219.5,219.5
