player,afl_club,pos,rank_r21,rank_r22,rank_change,value_r21,value_r22,delta,pct,key
Izak Rankine,Adelaide,SF,50,23,27,3558,4748,1190,33.446,izak-rankine
Timothy English,Western Bulldogs,RUCK,32,47,-15,4220,3584,-636,-15.071,timothy-english
Matt Rowell,Gold Coast,MID,30,20,10,4259,4837,578,13.571,matt-rowell
Luke Davies-Uniacke,North Melbourne,MID,49,36,13,3580,4127,547,15.279,luke-davies-uniacke
Luke Jackson,Fremantle,RUCK,3,3,0,9860,10347,487,4.939,luke-jackson
Sam Lalor,Richmond,SF,23,34,-11,4638,4155,-483,-10.414,sam-lalor
Errol Gulden,Sydney,MID,10,8,2,6891,7338,447,6.487,errol-gulden
Noah Anderson,Gold Coast,MID,15,16,-1,5776,5329,-447,-7.739,noah-anderson
Chad Warner,Sydney,SF,36,26,10,4038,4472,434,10.748,chad-warner
Oscar Ryan,Adelaide,SD,422,289,133,304,701,397,130.592,oscar-ryan
Dyson Sharp,Essendon,SF,69,60,9,2794,3182,388,13.887,dyson-sharp
Will Day,Hawthorn,MID,70,87,-17,2777,2418,-359,-12.928,will-day
Shannon Neale,Geelong,KPF,86,72,14,2413,2748,335,13.883,shannon-neale
Nick Watson,Hawthorn,SF,33,41,-8,4212,3889,-323,-7.669,nick-watson
Touk Miller,Gold Coast,SF,115,88,27,2089,2411,322,15.414,touk-miller
Lachlan Ash,GWS,SD,14,14,0,6130,5813,-317,-5.171,lachlan-ash
Jai Serong,Sydney,KPD,224,185,39,981,1290,309,31.498,jai-serong
Noah Mraz,Hawthorn,KPD,40,49,-9,3847,3555,-292,-7.59,noah-mraz
Thomas Liberatore,Western Bulldogs,MID,184,223,-39,1324,1032,-292,-22.054,thomas-liberatore
Jordan Clark,Fremantle,SD,48,55,-7,3591,3312,-279,-7.769,jordan-clark
Christian Petracca,Gold Coast,SF,93,115,-22,2324,2066,-258,-11.102,christian-petracca
Murphy Reid,Fremantle,SF,25,33,-8,4441,4188,-253,-5.697,murphy-reid
Francis Evans,Carlton,SF,457,346,111,254,500,246,96.85,francis-evans
Paul Curtis,North Melbourne,SF,174,151,23,1382,1627,245,17.728,paul-curtis
Kysaiah Pickett,Melbourne,SF,35,30,5,4064,4307,243,5.979,kysaiah-pickett
Jhye Clark,Geelong,SF,258,216,42,834,1074,240,28.777,jhye-clark
Tom De Koning,St Kilda,RUCK,114,127,-13,2090,1856,-234,-11.196,tom-de-koning
Kai Lohmann,Brisbane,SF,293,251,42,661,888,227,34.342,kai-lohmann
Charlie West,Collingwood,KPF,364,294,70,446,671,225,50.448,charlie-west
Nick Madden,GWS,RUCK,107,123,-16,2142,1917,-225,-10.504,nick-madden
Cameron Rayner,Brisbane,SF,288,361,-73,687,463,-224,-32.606,cameron-rayner
Logan Morris,Brisbane,KPF,61,56,5,3085,3308,223,7.229,logan-morris
Jagga Smith,Carlton,SF,18,19,-1,5086,4877,-209,-4.109,jagga-smith
Lachie Neale,Brisbane,MID,103,89,14,2171,2380,209,9.627,lachie-neale
Dylan Stephens,North Melbourne,MID,380,307,73,423,628,205,48.463,dylan-stephens
Sam Berry,Adelaide,MID,41,37,4,3843,4048,205,5.334,sam-berry
James Peatling,Adelaide,MID,186,212,-26,1318,1116,-202,-15.326,james-peatling
Harry Sheezel,North Melbourne,SF,1,1,0,12124,11925,-199,-1.641,harry-sheezel
Willem Duursma,West Coast,MID,29,35,-6,4338,4149,-189,-4.357,willem-duursma
Ned Moyle,Gold Coast,RUCK,121,103,18,2053,2236,183,8.914,ned-moyle
Jase Burgoyne,Port Adelaide,SD,88,78,10,2403,2581,178,7.407,jase-burgoyne
Riley Thilthorpe,Adelaide,KPF,22,24,-2,4840,4664,-176,-3.636,riley-thilthorpe
Harvey Thomas,GWS,SF,102,92,10,2171,2346,175,8.061,harvey-thomas
Tristan Xerri,North Melbourne,RUCK,6,6,0,8109,7934,-175,-2.158,tristan-xerri
Matt Johnson,Fremantle,MID,229,209,20,969,1141,172,17.75,matt-johnson-1
Jack Silvagni,St Kilda,KPD,265,309,-44,792,624,-168,-21.212,jack-silvagni
Tyler Sonsie,Richmond,SF,193,214,-21,1262,1098,-164,-12.995,tyler-sonsie
Marcus Herbert,West Coast,MID,199,218,-19,1223,1060,-163,-13.328,marcus-herbert
Mabior Chol,Hawthorn,KPF,400,494,-94,367,209,-158,-43.052,mabior-chol
Mason Redman,Essendon,SD,177,203,-26,1352,1194,-158,-11.686,mason-redman
Cameron Mackenzie,Hawthorn,MID,112,101,11,2094,2247,153,7.307,cameron-mackenzie
Bailey Humphrey,Gold Coast,SF,85,79,6,2422,2572,150,6.193,bailey-humphrey
Callum Wilkie,St Kilda,KPD,42,44,-2,3826,3679,-147,-3.842,callum-wilkie
Levi Ashcroft,Brisbane,MID,55,50,5,3350,3493,143,4.269,levi-ashcroft
Christian Salem,Melbourne,SD,479,633,-154,232,93,-139,-59.914,christian-salem
Tim Taranto,Richmond,MID,79,84,-5,2596,2457,-139,-5.354,tim-taranto
