key,name,pk,games,shipped,b0,landed,stage1_storelag_engine,stage2_curve_surface,total,stage2_channel
harry-sheezel,"Harry Sheezel",3,79,10079,11881,11912,1802,31,1833,ruled_curve
nick-daicos,"Nick Daicos",4,106,9214,10705,10733,1491,28,1519,ruled_curve
luke-jackson,"Luke Jackson",3,131,8735,10073,10099,1338,26,1364,ruled_curve
nasiah-wanganeen-milera,"Nasiah Wanganeen-Milera",11,95,8375,9577,9602,1202,25,1227,ruled_curve
tristan-xerri,"Tristan Xerri",71,85,7414,8332,8354,918,22,940,pool_levels
max-holmes,"Max Holmes",21,115,7452,8366,8387,914,21,935,ruled_curve
will-ashcroft,"Will Ashcroft",2,71,6380,7032,7051,652,19,671,ruled_curve
zak-butters,"Zak Butters",12,151,6473,7057,7075,584,18,602,ruled_curve
josh-treacy,"Josh Treacy",4,92,6157,6665,6681,508,16,524,ruled_curve
dylan-patterson,"Dylan Patterson",5,0,1137,1659,1659,522,0,522,
bailey-smith,"Bailey Smith",7,139,6092,6581,6597,489,16,505,ruled_curve
daniel-annable,"Daniel Annable",6,1,1890,1434,1413,-456,-21,-477,year_zero_lens
lachy-dovaston,"Lachy Dovaston",16,6,1061,587,589,-474,2,-472,year_zero_lens
lachlan-ash,"Lachlan Ash",4,138,5682,6136,6153,454,17,471,ruled_curve
finn-callaghan,"Finn Callaghan",3,84,5592,6031,6046,439,15,454,ruled_curve
jason-horne-francis,"Jason Horne-Francis",1,92,5554,5960,5975,406,15,421,ruled_curve
errol-gulden,"Errol Gulden",34,105,5511,5908,5924,397,16,413,ruled_curve
sam-darcy,"Sam Darcy",2,51,4929,5291,5304,362,13,375,ruled_curve
samuel-grlj,"Samuel Grlj",8,12,2142,1775,1779,-367,4,-363,year_zero_lens
noah-anderson,"Noah Anderson",2,140,5257,5574,5589,317,15,332,ruled_curve
joe-berry,"Joe Berry",15,24,1397,1076,1078,-321,2,-319,year_zero_lens
jonty-faull,"Jonty Faull",14,26,1255,950,953,-305,3,-302,year_zero_lens
will-darcy,"Will Darcy",58,0,491,219,200,-272,-19,-291,year_zero_lens
jagga-smith,"Jagga Smith",3,12,4573,4842,4856,269,14,283,year_zero_lens
josh-smillie,"Josh Smillie",7,0,1276,1019,997,-257,-22,-279,year_zero_lens
caleb-windsor,"Caleb Windsor",7,47,1765,1496,1499,-269,3,-266,ruled_curve
zac-mccarthy,"Zac McCarthy",55,0,422,170,157,-252,-13,-265,year_zero_lens
archie-ludowyke,"Archie Ludowyke",50,0,434,192,180,-242,-12,-254,year_zero_lens
ty-gallop,"Ty Gallop",42,17,1598,1353,1357,-245,4,-241,year_zero_lens
caleb-serong,"Caleb Serong",8,137,4811,5033,5047,222,14,236,ruled_curve
harris-andrews,"Harris Andrews",60,249,1961,1721,1727,-240,6,-234,ruled_curve
harry-armstrong,"Harry Armstrong",23,11,1031,797,799,-234,2,-232,year_zero_lens
liam-reidy,"Liam Reidy",4,6,543,313,311,-230,-2,-232,year_zero_lens
colby-mckercher,"Colby McKercher",2,51,4073,4286,4297,213,11,224,ruled_curve
dayne-zorko,"Dayne Zorko",38,311,1250,1025,1027,-225,2,-223,ruled_curve
thomas-liberatore,"Thomas Liberatore",24,261,1607,1380,1384,-227,4,-223,ruled_curve
archie-roberts,"Archie Roberts",54,40,4675,4883,4895,208,12,220,ruled_curve
bradley-hill,"Bradley Hill",42,290,1371,1149,1151,-222,2,-220,ruled_curve
jack-gunston,"Jack Gunston",29,292,1187,965,967,-222,2,-220,ruled_curve
luke-parker,"Luke Parker",42,327,1670,1447,1451,-223,4,-219,ruled_curve
zach-reid,"Zach Reid",10,32,1434,1213,1216,-221,3,-218,ruled_curve
jordan-de-goey,"Jordan De Goey",6,193,1722,1502,1506,-220,4,-216,ruled_curve
adam-treloar,"Adam Treloar",14,262,1149,932,934,-217,2,-215,ruled_curve
alex-dodson,"Alex Dodson",53,1,499,306,284,-193,-22,-215,year_zero_lens
jack-steele,"Jack Steele",21,215,1689,1470,1474,-219,4,-215,ruled_curve
peter-wright,"Peter Wright",10,162,1767,1548,1552,-219,4,-215,ruled_curve
josh-dunkley,"Josh Dunkley",25,207,1431,1213,1217,-218,4,-214,ruled_curve
samuel-swadling,"Samuel Swadling",37,0,953,737,739,-216,2,-214,year_zero_lens
caleb-daniel,"Caleb Daniel",46,227,1551,1334,1338,-217,4,-213,ruled_curve
george-hewett,"George Hewett",32,210,1937,1719,1724,-218,5,-213,ruled_curve
james-rowbottom,"James Rowbottom",25,153,1420,1203,1207,-217,4,-213,ruled_curve
thomas-stewart,"Thomas Stewart",40,203,1271,1055,1058,-216,3,-213,ruled_curve
willem-duursma,"Willem Duursma",1,12,4498,4699,4711,201,12,213,year_zero_lens
aliir-aliir,"Aliir Aliir",44,190,993,779,781,-214,2,-212,ruled_curve
darcy-cameron,"Darcy Cameron",48,131,1588,1372,1376,-216,4,-212,ruled_curve
jacob-weitering,"Jacob Weitering",1,214,1232,1017,1020,-215,3,-212,ruled_curve
patrick-cripps,"Patrick Cripps",13,242,1881,1666,1670,-215,4,-211,ruled_curve
tom-mccarthy,"Tom McCarthy",1,22,1633,1418,1422,-215,4,-211,year_zero_lens
luke-ryan,"Luke Ryan",65,190,1608,1394,1398,-214,4,-210,pool_levels
charlie-west,"Charlie West",50,3,612,404,403,-208,-1,-209,year_zero_lens
jacob-molier,"Jacob Molier",52,0,502,315,293,-187,-22,-209,year_zero_lens
jayden-short,"Jayden Short",9,202,1306,1095,1097,-211,2,-209,ruled_curve
will-brodie,"Will Brodie",9,55,1038,827,829,-211,2,-209,ruled_curve
josh-battle,"Josh Battle",39,161,2273,2059,2065,-214,6,-208,ruled_curve
sam-draper,"Sam Draper",1,90,1307,1097,1099,-210,2,-208,ruled_curve
jeremy-cameron,"Jeremy Cameron",12,292,1021,812,814,-209,2,-207,ruled_curve
tom-mccartin,"Tom McCartin",33,162,1937,1726,1730,-211,4,-207,ruled_curve
brent-daniels,"Brent Daniels",27,120,1418,1211,1212,-207,1,-206,ruled_curve
james-sicily,"James Sicily",52,190,1910,1700,1705,-210,5,-205,ruled_curve
tom-green,"Tom Green",10,115,4682,4876,4887,194,11,205,ruled_curve
toby-greene,"Toby Greene",17,274,1040,833,836,-207,3,-204,ruled_curve
jarman-impey,"Jarman Impey",21,233,1134,929,931,-205,2,-203,ruled_curve
mason-redman,"Mason Redman",30,149,1636,1429,1433,-207,4,-203,ruled_curve
jevan-phillipou,"Jevan Phillipou",35,0,494,298,292,-196,-6,-202,year_zero_lens
joe-richards,"Joe Richards",48,43,1120,916,918,-204,2,-202,ruled_curve
dan-houston,"Dan Houston",30,201,1357,1153,1156,-204,3,-201,ruled_curve
finnegan-davis,"Finnegan Davis",51,0,382,192,181,-190,-11,-201,year_zero_lens
ed-langdon,"Ed Langdon",54,215,1080,878,880,-202,2,-200,ruled_curve
hugh-mccluggage,"Hugh McCluggage",3,218,1791,1586,1591,-205,5,-200,ruled_curve
lachie-whitfield,"Lachie Whitfield",1,269,2232,2027,2032,-205,5,-200,ruled_curve
rory-laird,"Rory Laird",8,279,955,754,755,-201,1,-200,ruled_curve
wayne-milera,"Wayne Milera",11,135,2003,1799,1803,-204,4,-200,ruled_curve
tim-kelly,"Tim Kelly",24,176,1377,1175,1178,-202,3,-199,ruled_curve
jordan-ridley,"Jordan Ridley",22,107,904,704,706,-200,2,-198,ruled_curve
blake-thredgold,"Blake Thredgold",26,0,571,382,374,-189,-8,-197,year_zero_lens
charlie-curnow,"Charlie Curnow",12,161,1626,1425,1429,-201,4,-197,ruled_curve
dylan-moore,"Dylan Moore",66,137,1396,1196,1199,-200,3,-197,pool_levels
sam-taylor,"Sam Taylor",28,133,1479,1279,1282,-200,3,-197,ruled_curve
toby-nankervis,"Toby Nankervis",35,181,2197,1995,2000,-202,5,-197,ruled_curve
ben-miller,"Ben Miller",62,82,1171,972,975,-199,3,-196,ruled_curve
lachie-neale,"Lachie Neale",66,307,2353,2152,2157,-201,5,-196,pool_levels
darcy-byrne-jones,"Darcy Byrne-Jones",50,233,846,650,651,-196,1,-195,ruled_curve
harry-mckay,"Harry McKay",10,151,1872,1672,1677,-200,5,-195,ruled_curve
jake-waterman,"Jake Waterman",76,125,1421,1223,1226,-198,3,-195,pool_levels
sean-darcy,"Sean Darcy",38,132,947,750,753,-197,3,-194,ruled_curve
jy-simpkin,"Jy Simpkin",12,185,1389,1193,1196,-196,3,-193,ruled_curve
samuel-collins,"Samuel Collins",54,161,814,620,621,-194,1,-193,ruled_curve
touk-miller,"Touk Miller",29,226,2370,2171,2177,-199,6,-193,ruled_curve
thomas-matthews,"Thomas Matthews",30,0,551,366,359,-185,-7,-192,year_zero_lens
wil-powell,"Wil Powell",19,141,956,762,764,-194,2,-192,ruled_curve
jack-silvagni,"Jack Silvagni",53,141,906,713,715,-193,2,-191,ruled_curve
sam-de-koning,"Sam De Koning",19,98,1045,852,854,-193,2,-191,ruled_curve
