== ALL picks 1-64, classes 2004-2022 cohort n=1197 classes 2004-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 | 1197     0 |    839.3     839.3  1.000 |    1004.7
   1 | 1197     0 |    942.7     839.3  1.123 |    1128.4
   2 | 1197     0 |   1152.8     839.3  1.373 |    1379.9
   3 | 1197   141 |   1264.5     839.3  1.506 |    1513.6
   4 | 1197   258 |   1319.3     839.3  1.572 |    1579.2
   5 | 1139   334 |   1308.2     835.3  1.566 |    1490.1
   6 | 1075   391 |   1267.4     834.4  1.519 |    1362.4
   7 | 1014   430 |   1101.1     835.4  1.318 |    1116.5
   8 |  950   452 |    901.4     831.5  1.084 |     856.3
   9 |  886   457 |    697.4     830.6  0.840 |     617.9
== 2020 draft class only cohort n=61 classes 2020-2020
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |   61     0 |    818.2     818.2  1.000 |      49.9
   1 |   61     0 |    821.8     818.2  1.004 |      50.1
   2 |   61     0 |    908.1     818.2  1.110 |      55.4
   3 |   61     7 |    942.0     818.2  1.151 |      57.5
   4 |   61    14 |    764.3     818.2  0.934 |      46.6
   5 |   61    19 |    825.4     818.2  1.009 |      50.4
   6 |   61    22 |    776.6     818.2  0.949 |      47.4
2020 class picks present: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] ...
== last 10 classes (2013-2022) cohort n=627 classes 2013-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  627     0 |    840.2     840.2  1.000 |     526.8
   1 |  627     0 |    954.5     840.2  1.136 |     598.5
   2 |  627     0 |   1142.0     840.2  1.359 |     716.0
   3 |  627    75 |   1234.2     840.2  1.469 |     773.8
   4 |  627   133 |   1242.6     840.2  1.479 |     779.1
   5 |  569   158 |   1235.2     832.2  1.484 |     702.8
   6 |  505   177 |   1216.3     829.9  1.466 |     614.2
   7 |  444   180 |   1105.3     831.5  1.329 |     490.8
== last 12 (2011-2022) cohort n=752 classes 2011-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  752     0 |    833.6     833.6  1.000 |     626.9
   1 |  752     0 |    955.1     833.6  1.146 |     718.2
   2 |  752     0 |   1142.5     833.6  1.371 |     859.2
   3 |  752    90 |   1245.7     833.6  1.494 |     936.8
   4 |  752   162 |   1251.5     833.6  1.501 |     941.2
   5 |  694   201 |   1242.4     826.5  1.503 |     862.2
   6 |  630   228 |   1228.9     824.0  1.491 |     774.2
   7 |  569   244 |   1092.4     824.7  1.325 |     621.6
== last 15 (2008-2022) cohort n=944 classes 2008-2022
  yr |    n  zero | mean_yrN  mean_yr0  ratio | total_yrN(k)
   0 |  944     0 |    836.9     836.9  1.000 |     790.0
   1 |  944     0 |    966.9     836.9  1.155 |     912.7
   2 |  944     0 |   1165.4     836.9  1.393 |    1100.1
   3 |  944   111 |   1269.6     836.9  1.517 |    1198.5
   4 |  944   201 |   1318.2     836.9  1.575 |    1244.4
   5 |  886   250 |   1290.7     831.6  1.552 |    1143.6
   6 |  822   291 |   1248.0     830.1  1.504 |    1025.9
   7 |  761   317 |   1099.1     831.0  1.323 |     836.4
