  pick        KPD fit/in        KPF fit/in        MID fit/in       RUCK fit/in         SD fit/in         SF fit/in
     1         2727/2729         2372/2376         3273/3283         2802/2701         2697/2707         2574/2574
     2         2531/2532         2180/2183         2869/2878         2801/2854         2454/2463         2421/2420
     3         2316/2317         2035/2038         2729/2737         2800/2890         2281/2290         2331/2331
     4         1866/1865         1765/1767         2479/2486         2542/2547         1923/1930         1975/1973
     5         1451/1449         1487/1487         2062/2067         2073/2077         1595/1601         1583/1579
     6         1050/1046         1149/1148         1579/1551         1500/1501         1292/1247         1161/1155
     7         1009/1005         1148/1147         1578/1524         1414/1415         1291/1275         1108/1103
     8           963/959         1126/1125         1577/1561         1321/1321         1290/1275         1047/1041
     9           927/923         1112/1111         1576/1590         1253/1253         1289/1269          1005/999
    10           912/907         1111/1106         1575/1595         1219/1219         1288/1279           983/977
    11           911/906         1110/1109         1574/1618         1218/1217         1287/1312           977/969
    12           910/908         1109/1118         1573/1621         1217/1222         1286/1346           976/971
    13           838/834         1022/1022         1445/1448         1116/1116         1243/1247           891/885
    14           705/700           856/856         1174/1176          1078/948         1040/1044           736/729
    15           651/619           759/751           978/979          1077/855           904/907           634/627
    16           650/635           758/759           956/957          1076/907           899/902           626/619
    17           649/657           757/765           927/919          1075/966           889/892           616/609
    18           648/660           756/758           926/910         1074/1005           862/865           595/588
    19           647/647           730/731           925/930         1073/1032           813/816           563/555
    20           644/635           726/721           924/936         1072/1076           784/786           546/539
    21           643/643           725/732           923/929         1071/1148           775/777           538/531
    22           634/629           722/723           896/896         1070/1189           742/745           521/513
    23           590/585           682/683           855/856         1069/1165           677/680           478/470
    24           548/543           645/645           843/841         1068/1130           612/614           441/433
    25           519/514           614/615           842/842         1067/1107           561/563           428/408
    26           503/498           604/604           841/845         1066/1110           524/525           427/398
    27           496/490           601/602           840/842         1065/1114           494/496           426/397
    28           493/488           590/591           824/825         1064/1114           464/466           425/408
    29           487/482           581/581           792/793         1063/1123           438/439           424/412
    30           486/482           564/565           755/756         1062/1108           411/413           423/416
    31           480/475           548/548           713/714         1061/1087           392/394           422/418
    32           474/469           529/529           678/679         1060/1075           378/379           421/421
    33           471/466           508/508           650/651         1059/1085           367/368           420/421
    34           463/458           489/490           634/635         1058/1078           358/359           419/421
    35           454/449           471/471           632/629         1057/1061           348/349           418/419
    36           443/437           450/450           631/625         1015/1019           346/347           417/428
    37           434/429           433/433           630/631           958/961           337/338           416/423
    38           427/421           416/416           629/637           897/900           327/328           415/414
    39           416/410           396/396           628/634           826/828           312/313           414/413
    40           407/401           377/377           627/629           758/761           311/312           390/389
    41           398/393           362/362           619/621           696/699           296/297           366/364
    42           391/386           344/344           600/602           637/639           278/278           340/338
    43           387/381           328/328           574/576           582/584           259/259           317/316
    44           382/376           312/311           540/542           530/532           239/239           298/296
    45           381/372           296/295           500/501           480/481           227/227           282/281
    46           380/370           282/281           461/463           435/436           204/204           281/272
    47           379/370           269/268           425/426           394/395           182/182           280/269
    48           378/369           258/257           393/395           358/359           174/164           279/271
    49           377/370           247/246           363/365           325/326           173/148           278/275
    50           376/373           238/237           339/340           297/298           172/137           277/280
    51           375/374           229/228           317/318           274/275           171/131           276/284
    52           374/374           221/220           297/298           254/255           170/128           275/286
    53           373/370           216/215           280/281           237/238           169/129           274/285
    54           372/365           215/209           265/265           223/223           168/132           273/279
    55           371/359           214/204           249/250           209/210           167/137           268/268
    56           370/350           213/200           234/234           195/196           166/143           252/252
    57           369/342           212/196           216/217           182/182           165/149           230/231
    58           368/339           211/193           200/200           164/164           164/157           208/208
    59           367/336           210/193           183/184           153/154           163/166           183/183
    60           366/348           209/196           168/169           135/135           162/179           158/159
    61           365/364           208/208           154/154           128/129           161/198           134/134
    62           364/407           207/224           140/140           106/106           160/222           108/108
    63           363/441           206/234           116/116            101/88           159/244           101/101
    64           362/499           205/257            100/89            100/88           158/274            100/65
