key,Y,type,pos,age,games,tenure,peak_fwd,dv_fwd,pred_raw,b4,b2,b5_raw,b5_tap,asc,in_trainpool,pickless
jed-anderson,2012,ND,MID,18.0,0,0,91.1,666.2,115.46,102.76,79.14,115.46,115.46,1.0,1,0
jed-anderson,2013,ND,MID,19.0,5,1,91.1,759.5,114.0,100.7,74.38,114.0,114.0,1.0,1,0
jed-anderson,2014,ND,MID,20.0,5,2,91.1,865.8,108.53,95.87,71.7,108.53,108.53,1.0,1,0
jed-anderson,2015,ND,MID,21.0,9,3,91.1,987.0,105.16,92.3,65.02,105.16,100.34,0.88,1,0
jed-anderson,2016,ND,MID,22.0,18,4,91.1,1125.2,95.29,81.88,50.7,95.29,84.59,0.76,1,0
jed-anderson,2017,ND,MID,23.0,23,5,91.1,1279.9,91.92,82.0,51.27,91.92,78.51,0.67,1,0
jed-anderson,2018,ND,MID,24.0,44,6,91.1,1129.7,107.62,100.12,81.79,107.62,96.77,0.58,1,0
jed-anderson,2019,ND,MID,25.0,61,7,91.1,1016.1,106.17,102.49,88.09,106.17,97.6,0.526,1,0
matt-rowell,2019,ND,MID,18.0,0,0,107.54,2351.8,116.37,113.28,101.48,116.37,116.37,1.0,1,0
noah-anderson,2019,ND,MID,18.0,0,0,108.33,2368.2,119.95,118.28,101.21,119.95,119.95,1.0,1,0
luke-jackson,2019,ND,RUCK,18.0,0,0,109.6,2821.3,119.6,111.54,95.5,119.6,119.6,1.0,1,0
lachlan-ash,2019,ND,SD,18.0,0,0,97.93,1002.7,113.79,113.92,95.01,113.92,113.92,1.0,1,0
dylan-stephens,2019,ND,MID,18.0,0,0,68.3,27.5,118.89,109.43,88.04,118.89,118.89,1.0,1,0
fischer-mcasey,2019,ND,KPD,18.0,0,0,37.1,0.0,94.96,89.6,69.34,94.96,94.96,1.0,1,0
hayden-young,2019,ND,MID,18.0,0,0,96.47,1202.6,114.98,107.99,84.99,114.98,114.98,1.0,1,0
caleb-serong,2019,ND,MID,18.0,0,0,111.47,2490.8,115.51,108.17,82.98,115.51,115.51,1.0,1,0
liam-henry,2019,ND,SF,18.0,0,0,59.43,84.4,104.69,94.55,72.13,104.69,104.69,1.0,1,0
tom-green,2019,ND,MID,18.0,0,0,109.43,1938.7,115.75,104.8,82.61,115.75,115.75,1.0,1,0
sam-flanders,2019,ND,MID,18.0,0,0,101.03,1452.0,115.75,104.8,82.61,115.75,115.75,1.0,1,0
kysaiah-pickett,2019,ND,SF,18.0,0,0,87.93,824.6,102.77,94.89,70.09,102.77,102.77,1.0,1,0
will-day,2019,ND,MID,18.0,0,0,95.87,1022.1,115.75,103.08,83.3,115.75,115.75,1.0,1,0
miles-bergman,2019,ND,SD,18.0,0,0,77.37,156.5,106.85,98.19,77.14,106.85,106.85,1.0,1,0
cody-weightman,2019,ND,SF,18.0,0,0,64.67,49.6,93.63,89.89,67.52,93.63,93.63,1.0,1,0
cooper-stephens,2019,ND,MID,18.0,0,0,38.3,0.0,115.46,102.76,79.14,115.46,115.46,1.0,1,0
brodie-kemp,2019,ND,KPF,18.0,0,0,68.0,211.9,88.79,77.37,49.44,88.79,88.79,1.0,1,0
mitch-georgiades,2019,ND,KPF,18.0,0,0,71.59,340.1,88.79,78.63,49.51,88.79,88.79,1.0,1,0
sam-de-koning,2019,ND,KPD,18.0,0,0,67.67,205.7,95.11,89.05,69.89,95.11,95.11,1.0,1,0
sam-philp,2019,ND,MID,18.0,0,0,45.5,0.0,114.29,100.4,69.86,114.29,114.29,1.0,1,0
thomson-dow,2019,ND,MID,18.0,0,0,62.8,5.5,114.56,100.71,68.41,114.56,114.56,1.0,1,0
deven-robertson,2019,ND,MID,18.0,0,0,54.6,62.9,116.67,100.34,67.36,116.67,116.67,1.0,1,0
dylan-williams,2019,ND,SD,18.0,0,0,65.6,19.1,102.59,91.28,66.0,102.59,102.59,1.0,1,0
harry-schoenberg,2019,ND,MID,18.0,0,0,63.03,99.0,111.2,97.68,64.73,111.2,111.2,1.0,1,0
jackson-mead,2019,ND,SF,18.0,0,0,53.27,1.8,90.07,83.68,57.9,90.07,90.07,1.0,1,0
will-gould,2019,ND,SD,18.0,0,0,35.8,0.0,101.24,87.96,64.48,101.24,101.24,1.0,1,0
jeremy-sharp,2019,ND,MID,18.0,0,0,61.87,5.2,108.54,94.56,62.89,108.54,108.54,1.0,1,0
josh-worrell,2019,ND,SD,18.0,0,0,90.66,900.3,101.88,91.23,65.68,101.88,101.88,1.0,1,0
