key,loop_index,draft_year,type,pick,games,sibling_board_v,correct_v_asof2026,delta,pct,board_equals_BASE_REF_2028,canonical_board_v
cooper-harvey,582,2022,ND,56,17,311,341,30,9.646,True,341
seth-campbell,243,2022,RD,3,62,862,928,66,7.657,True,928
aaron-cadman,68,2022,ND,1,73,1667,1781,114,6.839,True,1781
nick-madden,140,2022,PDA,,8,996,1064,68,6.827,True,1064
steely-green,565,2022,ND,55,42,36,38,2,5.556,True,38
jhye-clark,302,2022,ND,8,31,646,681,35,5.418,True,681
billy-dowling,466,2022,ND,43,11,149,157,8,5.369,True,157
jai-serong,364,2021,ND,53,28,827,868,41,4.958,True,868
zac-taylor,526,2021,ND,44,43,142,149,7,4.93,True,149
joshua-weddle,170,2022,ND,18,75,1373,1437,64,4.661,True,1437
campbell-gray,542,2024,MSD,15,12,198,207,9,4.545,True,207
harry-rowston,393,2022,ND,16,25,423,442,19,4.492,True,442
joseph-fonti,300,2023,ND,44,40,477,498,21,4.403,True,498
oliver-hollands,226,2022,ND,11,76,1435,1498,63,4.39,True,1498
kai-lohmann,248,2021,ND,20,72,789,823,34,4.309,True,823
jye-amiss,82,2021,ND,8,90,1342,1399,57,4.247,True,1399
mattaes-phillipou,167,2022,ND,10,61,1838,1915,77,4.189,True,1915
cameron-mackenzie,213,2022,ND,7,63,1865,1942,77,4.129,True,1942
ryan-maric,301,2023,MSD,1,62,1238,1289,51,4.12,True,1289
edward-allan,342,2022,ND,19,29,560,583,23,4.107,True,583
elijah-hewett,329,2022,ND,14,40,440,458,18,4.091,True,458
bailey-humphrey,165,2022,ND,6,79,2213,2303,90,4.067,True,2303
archie-may,376,2025,MSD,6,17,333,346,13,3.904,True,346
patrick-voss,175,2021,RD,5,45,1245,1293,48,3.855,True,1293
noah-long,638,2022,ND,57,36,53,55,2,3.774,True,55
elijah-tsatas,232,2022,ND,5,22,822,853,31,3.771,True,853
jaspa-fletcher,98,2022,ND,12,87,2368,2456,88,3.716,True,2456
lachlan-cowan,316,2022,ND,30,56,598,620,22,3.679,True,620
jacob-van-rooyen,109,2021,ND,19,76,1660,1719,59,3.554,True,1719
mitchito-owens,72,2021,ND,33,88,1818,1880,62,3.41,True,1880
reuben-ginbey,61,2022,ND,9,76,2074,2144,70,3.375,True,2144
isaiah-dudley,412,2024,SSP,,35,185,191,6,3.243,True,191
max-michalanney,305,2022,ND,17,85,375,387,12,3.2,True,387
campbell-chesser,510,2021,ND,14,39,189,195,6,3.175,True,195
ned-long,267,2021,RD,3,54,1146,1182,36,3.141,True,1182
arthur-jones,581,2021,ND,43,32,64,66,2,3.125,True,66
jedd-busslinger,221,2022,ND,13,14,777,801,24,3.089,True,801
