Player,2026 R24
Jack Williams,181
Tom Brown,169
Ed Langdon,157
Josaia Delana,151
Zeke Uwland,148
Josh Lai,144
Sam Cumming,141
Karl Worner,140
Sam Switkowski,139
Xavier Taylor,137
Kysaiah Pickett,136
Braeden Campbell,135
Darcy Wilson,135
Bradley Close,134
Tom McCarthy,134
Oskar Taylor,133
Trent Rivers,131
Cameron Nairn,130
Clayton Oliver,128
Darcy Gardiner,128
Jack Dalton,127
Bayley Fritsch,125
Jaxon Artemis,125
Charlie Banfield,124
Joel Hamling,124
Willem Duursma,124
Thomas Stewart,123
Chris Scerri,122
Nick Watson,122
Cody Curtin,121
Blake Hardwick,120
Cody Angove,120
Mabior Chol,119
Cody Weightman,118
Dan Houston,118
Jack Ison,118
Patrick Cripps,116
Tristan Xerri,116
Daniel Annable,115
Will Darcy,115
Jacob Weitering,114
Matthew Jefferson,114
Nate Caddy,114
Ned Long,114
Jack Steele,113
James Worpel ,113
Hayden Young,112
Bodhi Uwland,111
Leo Lombard,111
Sam Berry,111
Mattaes Phillipou,110
Beau McCreery,109
Ned Moyle,109
Oisin Mullin,109
Harrison Jones,107
Mykelti Lefau,107
Nick Daicos,107
Todd Marshall,107
Tom Atkins,107
Ryan Lester,106
Campbell Lake,105
Eric Hipwood,105
Shai Bolton,105
Harry Sharp,104
Lachlan McAndrew,104
Tom Green,104
Zachary Merrett,104
Josh Dolan,102
Charlie Ballard,101
Liam Baker,101
Max Beattie,101
Oliver Florent,101
Harley Reid,100
Xavier Bamert,100
Elliot Yeo,98
Francis Evans,98
Griffin Logue,98
Jay Polkinghorne,98
Josh Rachele,98
Lachlan Cowan,98
Rhett Bazzo,98
Isaac Kako,97
Ryan Angwin,97
Thomas Liberatore,97
Willem Drew,97
Dylan Moore,94
Harry Rowston,94
Jack Crisp,94
Marc Pittonet,94
Matt Rowell,94
Lachlan Jones,93
Mason Cox,93
Archie Perkins,92
Mark Blicavs,92
Heath Chapman,91
Kai Lohmann,91
Luke Kennedy,91
Luke Ryan,91
Toby Greene,91
Arthur Jones,90
Bailey Laurie,90
Jake Lloyd,90
Jordan Clark,90
Liam Stocker,90
Luke Trainor,90
Toby Nankervis,90
Harry Kyle,89
Joe Richards,89
Judson Clarke,89
Luke Parker,89
Matt Johnson,89
Sam Wicks,89
Toby McMullin,89
Wade Derksen,88
Tom McDonald,87
Will Hayes,87
Aidan Corr,86
Bailey Smith,86
Charlie Comben,86
Jake Lever,86
Max Michalanney,86
Archer Day-Wicks,85
Bailey J. Williams,85
Harvey Langford,85
Jake Waterman,85
James Borlase,85
Milan Murdock,85
Jake Rogers,84
Mark Keane,84
Ryley Sanders,84
Tanner Bruhn,83
Tom Barrass,83
Zach Guthrie,83
Bailey Humphrey,82
Ben Ainsworth,82
Cooper Hynes,82
Cooper Trembath,82
Dylan Stephens,82
Harvey Harrison,82
Tom McCartin,82
Edward Allan,81
Oscar McDonald,81
Tom Lynch,81
Will Green,81
Hugh Boxshall,80
Jack Silvagni,80
Jase Burgoyne,80
Jordan Dawson,80
Marcus Herbert,80
Brayden Cook,79
Harris Andrews,79
Tim Taranto,79
Colby McKercher,78
Jacob Van Rooyen ,78
Josh Worrell,78
Lachlan Schultz,78
Samuel Swadling,78
Zach Reid,78
Lachie Neale,77
Tim Membrey,77
Zac Banch,77
Adam Cerra,76
Bailey Williams,76
Caleb Daniel,76
Caleb Serong,76
Ethan Read,76
Hugo Garcia,76
Jake Stringer,76
Jye Caldwell,76
Massimo D'Ambrosio,76
Mitch Zadow,76
Peter Wright,76
Rhylee West,76
Harrison Himmelberg,75
Matthew Roberts,75
Dane Rampe,74
Kieren Briggs,74
Mark O'Connor,74
Touk Miller,74
Charlie Cameron,73
Daniel McStay,73
Gryan Miers,73
Josh Battle,73
Josh Ward,73
Ryan Byrnes,73
Andrew Brayshaw,72
Brodie Grundy,72
Darcy Wilmot,72
Joel Freijah,72
Sam Davidson,72
Seth Campbell,72
Will Ashcroft,72
Dayne Zorko,71
James Sicily,71
Luke Jackson,71
Sam Taylor,71
Talor Byrne,71
Brodie Kemp,70
Isaac Quaynor ,70
Jack Higgins,70
Jai Serong,70
Liam Duggan,70
Nathan O'Driscoll,70
Noah Howes,70
Connor O'Sullivan,69
Jack Whitlock,69
Jarrod Berry,69
Paul Curtis,69
Tobie Travaglia,69
Angus Anderson,68
Daniel Turner,68
George Wardlaw,68
Jacob Farrow,68
Joel Fitzgerald,68
Josh Daicos,68
Charlie Curnow,67
Cooper Lord,67
George Hewett,67
Billy Wilson,66
Cameron Mackenzie,66
Harry Dean,66
Jack Henry,66
Lloyd Meek,66
Nick Madden,66
Alix Tauru,65
Cooper Duff-Tytler,65
Harrison Petty,65
Jobe Shanahan,65
Nick Larkey,65
Patrick Dangerfield,65
Cameron Rayner,64
Max Gruzewski,64
Tim Kelly,64
Will Day,64
Zac Bailey,64
Angus Clarke,63
Connor Rozee,63
Corey Durdin,63
Lachlan Carmichael,63
Miles Bergman,63
Roan Steele,63
Sam Clohesy,63
Dion Prestia,62
Lachie Jaques,62
Ed Richards,61
Jake Bowey,61
James Peatling ,61
Jed Walter,61
Lachlan Gulbin,61
Oliver Wines,61
Sam Walsh,61
Taj Hotton,61
Tom Anastasopoulos,61
Blake Acres,60
John Noble,60
Jordan De Goey,60
Lawson Humphries,60
Liam O'Connell,60
Tom Papley,60
Conor Stone,59
Darcy Cameron,59
Hugo Ralphsmith,59
Tom De Koning,59
Archie Roberts,58
Callum Wilkie,58
Connor MacDonald,58
Dante Visentini,58
Hamish Davis,58
Kye Annand,58
Mitch Georgiades,58
Zac Taylor,58
Buku Khamis,57
Charlie West,57
Joel Jeffrey,57
Jy Simpkin,57
Mitchell Lewis,57
Riley Hardeman,57
Connor Idun,56
Luke Nankervis,56
Matthew Kennedy,56
Nick Vlastuin,56
Noah Answerth,56
Callum Ah Chee,55
Christian Petracca ,55
Christian Salem,55
Daniel Rioli,55
Jai Newcombe,55
Jaspa Fletcher,55
Mitch McGovern,55
Neil Erasmus,55
Patrick Retschko,55
Riley Bice ,55
Stephen Coniglio,55
Wil Dawson,55
Will Setterfield,55
Harry Morrison,54
Sam Lalor ,54
Tom Blamires,54
Alex Van Wyk,53
Logan Morris,53
Brandon Starcevich,52
Callum Brown,52
Conor McKenna,52
Hugo Hall-Kahan,52
Mitchito Owens,52
Shaun Mannagh,52
Vigo Visentini,52
Caleb Windsor,51
Isaiah Dudley,51
Jarman Impey,51
Josh Dunkley,51
Nick Bryan,51
Patrick Voss,51
Aaron Cadman,50
Bailey Macdonald,50
Charlie Spargo,50
Darcy Fogarty,50
Harrison Ramm,50
Rory Laird,50
Rory Lobb,50
Jason Horne-Francis ,49
Koltyn Tholstrup,49
Michael Sellwood,49
Noah Anderson,49
Brennan Cox,48
Harvey Thomas,48
Jhye Clark,48
Joe Berry,48
Matt Cottrell,48
Shannon Neale,48
Tom Cole,48
Tylar Young,48
Callum Mills,47
Dyson Sharp,47
Ollie Dempsey,47
Rhys Unwin,47
Ben King,46
Billy Frampton,46
Jake Soligo,46
Jayden Short,46
Riley Thilthorpe,46
Joshua Weddle,45
Sam Banks,45
Changkuoth Jiath,44
Daniel Butler,44
Darcy Fort,44
Karl Amon,44
Oliver Henry,44
Oscar Allen,44
Toby Murray,44
Ben Miller,43
Jack Gunston,43
Lachie Whitfield,43
Isaac Cumming,42
Mitchell Edwards,42
Nick Haynes ,42
Scott Pendlebury,42
Beau Addinsall,41
Josh Treacy,41
Aaron Naughton,40
Brady Hough,40
Daniel Curtin,40
Jesse Dattoli,40
Logan McDonald,40
Luke Davies-Uniacke,40
Cameron Zurhaar,39
Jack Graham,38
Jagga Smith,38
James O'Donnell,38
Jye Amiss,38
Marcus Windhager,38
Riley Hamilton,38
Jacob Wehr,37
Lachlan Bramble,37
Mason Redman,36
Angus Hastie,35
Will Hayward ,35
Tom Sparrow,34
Cooper Sharman,33
Harry McKay,33
Nathan Broad,33
Josh Lindsay,32
Jack Darling,31
Max Hall,31
Jack Ginnivan,30
Samuel Grlj,30
Jaxon Prior,29
Rowan Marshall,29
Ben Keays,28
Finn O'Sullivan,28
Izak Rankine,28
Michael Frederick,28
Sam Draper,28
Errol Gulden,26
Joseph Fonti,26
Kyle Langford,26
Jack Ross,24
Lachlan Ash,24
Ben Long,23
Levi Ashcroft,22
Tom Gross,22
Max Gawn,21
Balyn O'Brien,20
Max Kondogiannis,20
Kade Chandler,19
Mac Andrew,19
Isaac Heeney ,17
Andrew McGrath,16
Chad Warner ,15
Billy Cootee,13
Nick Blakey ,12
