==============================================================================================================
Max Kondogiannis
   sc      avg         v    price6    raw_ev      prod   lvl_eff | bb (6 quantiles)
    0   32.940    384.76    383.30    457.68    470.65   44.9891 |  38.59  48.41  57.48  70.33  85.37  97.35
    2   33.140    384.97    384.56    459.09    471.12   45.0840 |  38.59  48.41  57.48  70.33  85.43  97.35
    4   33.340    384.97    384.56    459.09    471.12   45.1788 |  38.59  48.41  57.48  70.33  85.43  97.35
    6   33.540    384.88    384.56    459.09    470.92   45.2736 |  38.59  48.41  57.48  70.33  85.43  97.35
    8   33.740    384.79    384.20    458.49    470.72   45.3685 |  38.00  48.41  57.48  69.95  85.43  97.35
   10   33.940    390.75    417.32    498.25    483.97   45.4633 |  38.00  48.41  57.48  69.95  87.13  97.35
   12   34.140    391.67    422.32    504.42    486.03   45.5581 |  38.00  48.41  57.48  69.95  87.13  97.62
   14   34.340    391.23    419.92    501.50    485.05   45.6530 |  36.73  48.41  57.48  69.95  87.13  97.49
   16   34.540    391.56    420.46    502.31    485.79   45.7478 |  36.77  48.41  58.10  70.36  87.13  97.49
   18   34.740    388.95    420.10    502.11    479.97   45.8426 |  36.77  48.41  58.10  70.36  87.12  97.49
   20   34.940    389.13    421.18    503.32    480.37   45.9375 |  37.84  48.41  58.10  71.06  87.12  97.49
   22   35.140    395.29    421.18    503.32    494.08   46.0323 |  37.84  48.41  58.10  71.06  87.12  97.49
   24   35.340    392.65    421.18    503.32    488.22   46.1271 |  38.73  48.41  58.10  71.06  87.12  97.49
   26   35.540    398.61    442.42    528.75    501.49   46.2220 |  38.73  48.41  58.10  71.06  88.12  97.49
   28   35.740    398.64    442.42    528.75    501.56   46.3168 |  38.73  48.41  58.10  71.06  88.12  97.49
   30   35.940    396.15    442.42    528.75    496.01   46.4116 |  38.70  48.41  58.10  71.06  88.12  97.49
   32   36.140    395.88    442.42    528.75    495.40   46.5065 |  38.70  48.41  57.99  71.06  88.12  97.49
   34   36.340    394.52    442.42    528.75    492.37   46.6013 |  38.70  48.41  57.99  71.06  88.12  97.49
   36   36.540    394.36    442.42    528.75    492.03   46.6961 |  38.96  48.41  57.99  71.06  88.12  97.49
   38   36.740    394.36    442.42    528.75    492.03   46.7910 |  38.96  48.41  57.99  71.06  88.12  97.49
   40   36.940    398.97    442.42    528.75    502.28   46.8858 |  38.96  48.41  57.99  71.06  88.12  97.49
   42   37.140    396.34    427.84    511.19    496.43   46.9806 |  38.96  48.41  57.99  71.06  87.43  97.49
   44   37.340    396.34    427.84    511.19    496.43   47.0755 |  38.96  48.41  57.99  71.06  87.43  97.49
   46   37.540    390.70    413.74    493.59    483.86   47.1703 |  38.96  48.41  57.99  71.06  87.43  96.70
   48   37.740    386.81    413.74    493.59    475.20   47.2651 |  38.69  48.41  57.99  71.06  87.43  96.70
   50   37.940    388.47    422.74    504.69    478.90   47.3600 |  38.69  48.78  57.99  70.91  87.88  96.70
   52   38.140    385.62    422.74    504.69    472.55   47.4548 |  38.69  48.78  57.99  70.91  87.88  96.70
   54   38.340    374.60    407.44    486.12    448.02   47.5496 |  38.69  48.78  57.99  69.76  87.22  96.70
   56   38.540    361.96    399.18    475.98    419.86   47.6445 |  38.69  48.90  57.99  69.76  87.12  96.35
   58   38.740    363.97    398.28    474.97    424.36   47.7393 |  38.69  48.90  57.99  69.76  87.07  96.35
   60   38.940    365.75    398.28    474.97    428.30   47.8341 |  38.69  49.12  57.99  69.76  87.07  96.35
   62   39.140    369.75    401.88    479.41    437.23   47.9290 |  39.41  49.12  57.99  69.76  87.25  96.35
   64   39.340    367.17    401.88    479.41    431.48   48.0238 |  39.41  50.09  58.93  69.72  87.25  96.35
   66   39.540    365.63    401.88    479.41    428.05   48.1186 |  39.41  51.23  59.22  69.72  87.25  96.35
   68   39.740    360.32    374.48    445.10    416.21   48.2135 |  39.21  51.23  59.22  69.76  86.93  95.11
   70   39.940    358.78    364.04    432.58    412.78   48.3083 |  39.19  51.23  59.46  69.76  86.40  95.11
   72   40.140    356.82    347.94    413.25    408.42   48.4031 |  39.19  51.23  59.46  69.92  85.93  94.69
   74   40.340    352.23    318.14    376.36    398.21   48.4980 |  39.19  51.23  59.46  69.92  85.93  92.79
   76   40.540    339.39    245.60    290.37    369.62   48.5928 |  39.57  51.23  58.65  69.92  81.43  92.79
   78   40.740    334.37    245.60    290.37    358.45   48.6876 |  39.57  51.23  58.65  69.92  81.43  92.79
   80   40.940    335.93    264.68    312.78    361.91   48.7825 |  39.57  51.23  58.65  69.92  82.79  92.79
   82   41.140    332.88    264.68    312.78    355.13   48.8773 |  39.57  51.23  58.65  69.92  82.79  92.79
   84   41.340    313.81    264.50    312.78    312.66   48.9722 |  39.57  51.23  59.66  69.83  82.79  92.79
   86   41.540    321.52    264.50    312.78    329.81   49.0672 |  39.57  51.23  59.82  69.83  82.79  92.79
   88   41.740    321.15    266.48    315.00    328.99   49.1621 |  39.57  51.23  59.82  69.83  82.92  92.79
   90   41.940    324.32    267.38    316.01    336.06   49.2570 |  39.57  51.23  60.02  70.58  82.92  92.79
   92   42.140    325.17    271.88    321.45    337.94   49.3519 |  40.21  51.23  60.02  71.57  83.10  92.79
   94   42.340    327.00    272.78    322.46    342.02   49.4469 |  40.21  51.23  59.87  72.06  83.10  92.79
   96   42.540    327.39    272.78    322.46    342.89   49.5418 |  40.21  51.23  59.77  72.06  83.10  92.79
   98   42.740    327.72    273.32    323.07    343.63   49.6367 |  40.21  51.23  60.73  72.29  83.10  92.79
  100   42.940    330.81    273.32    323.07    350.51   49.7316 |  40.21  51.23  60.73  72.29  83.10  92.79
  102   43.140    339.72    311.62    370.39    370.36   49.8266 |  40.21  51.23  60.90  71.85  83.10  95.25
  104   43.340    346.30    307.84    365.75    385.02   49.9215 |  40.21  51.23  60.53  71.85  82.85  95.25
  106   43.540    346.39    304.94    362.27    385.21   50.0164 |  40.21  51.23  60.53  71.85  82.85  95.08
  108   43.740    347.94    304.94    362.27    388.66   50.1113 |  40.21  51.23  60.53  71.85  82.85  95.08
  110   43.940    358.60    313.94    373.44    412.39   50.2062 |  40.21  51.23  60.53  71.85  83.09  95.40
  112   44.140    360.52    314.12    373.64    416.68   50.3012 |  40.21  51.23  60.53  71.99  83.09  95.40
  114   44.340    359.99    314.12    373.64    415.49   50.3961 |  40.21  51.23  60.51  71.94  83.09  95.40
  116   44.540    362.58    334.96    398.72    421.28   50.4910 |  41.13  51.48  60.93  73.37  83.70  95.86
  118   44.740    374.57    375.52    447.05    447.98   50.5859 |  41.13  51.48  61.11  73.37  85.87  96.00
  120   44.940    380.41    377.86    449.67    460.98   50.6808 |  42.52  52.01  62.77  74.03  85.87  96.00
  122   45.140    384.63    386.32    459.97    470.37   50.7757 |  42.52  51.47  62.89  73.43  86.41  96.00
  124   45.340    397.67    408.82    486.81    499.41   50.8706 |  43.53  53.58  64.69  73.87  87.43  96.00
  126   45.540    397.91    408.82    486.81    499.94   50.9655 |  44.37  54.00  64.69  73.87  87.43  96.00
  128   45.740    397.82    408.82    486.81    499.75   51.0604 |  44.37  53.96  64.18  73.87  87.43  96.00
  130   45.940    403.41    419.30    499.49    512.20   51.1553 |  44.51  54.38  65.41  75.66  87.11  96.53
  132   46.140    411.01    451.24    539.05    529.10   51.2502 |  44.51  54.38  65.41  75.66  87.00  98.41
  134   46.340    412.80    451.24    539.05    533.10   51.3451 |  44.51  54.38  65.41  75.66  87.00  98.41
  136   46.540    422.43    452.86    540.86    554.55   51.4400 |  44.51  54.76  65.41  75.93  87.00  98.41
  138   46.740    422.27    452.86    540.86    554.18   51.5349 |  44.51  53.40  65.41  75.93  87.00  98.41
  140   46.940    428.67    453.86    542.28    568.45   51.6298 |  44.51  58.19  65.48  75.93  87.08  98.37
  142   47.140    431.49    447.92    535.21    574.71   51.7246 |  44.51  58.19  65.06  74.71  87.08  98.37
  144   47.340    433.71    447.56    534.81    579.67   51.8195 |  44.72  56.39  64.69  74.71  87.08  98.37
  146   47.540    433.99    499.22    596.98    580.28   51.9144 |  44.72  56.39  66.03  76.86  88.91  98.37
  148   47.740    423.70    449.54    537.03    557.36   52.0093 |  44.72  56.39  66.03  76.61  86.67  98.37
  150   47.940    443.14    490.40    586.28    600.65   52.1042 |  44.72  56.39  66.03  77.00  88.48  98.37
==============================================================================================================
Josh Dolan
   sc      avg         v    price6    raw_ev      prod   lvl_eff | bb (6 quantiles)
    0   45.081    296.96    295.34    333.24    333.24   46.8682 |  44.04  51.65  57.41  62.44  76.85  82.43
    2   45.281    288.50    281.84    317.94    317.94   46.9478 |  44.39  51.65  57.41  62.44  76.17  82.43
    4   45.481    288.51    281.84    317.94    317.94   47.0274 |  44.39  51.65  57.41  62.44  76.17  82.43
    6   45.681    288.51    281.84    317.94    317.94   47.1070 |  44.39  51.65  57.41  62.44  76.17  82.43
    8   45.881    295.20    292.54    330.04    330.04   47.1866 |  44.39  51.65  57.41  62.44  76.17  83.11
   10   46.081    295.20    292.54    330.04    330.04   47.2662 |  44.12  51.65  57.41  62.44  76.17  83.11
   12   46.281    300.67    301.18    339.94    339.94   47.3458 |  44.12  52.08  57.41  62.44  76.61  83.11
   14   46.481    300.58    300.82    339.76    339.76   47.4254 |  44.12  52.08  57.41  62.29  76.61  83.11
   16   46.681    294.80    291.82    329.32    329.32   47.5050 |  44.12  52.08  57.41  62.29  76.14  83.11
   18   46.881    294.80    291.82    329.32    329.32   47.5846 |  44.12  52.08  57.41  62.29  76.14  83.11
   20   47.081    294.80    291.82    329.32    329.32   47.6643 |  44.12  52.19  57.41  62.29  76.14  83.11
   22   47.281    294.39    290.92    328.42    328.42   47.7439 |  44.12  52.19  57.41  62.29  76.10  83.11
   24   47.481    294.39    290.92    328.42    328.42   47.8235 |  44.12  52.41  57.41  62.29  76.10  83.11
   26   47.681    296.98    295.06    333.10    333.10   47.9031 |  44.84  52.41  57.79  62.67  76.27  83.11
   28   47.881    297.78    296.32    334.54    334.54   47.9827 |  44.84  52.49  58.74  63.15  76.27  83.11
   30   48.081    297.58    295.96    334.18    334.18   48.0623 |  44.84  52.80  58.74  63.00  76.27  83.11
   32   48.281    298.11    296.70    335.14    335.14   48.1419 |  44.81  52.80  59.09  63.00  76.52  82.84
   34   48.481    288.85    281.94    318.40    318.40   48.2215 |  44.63  52.80  59.09  63.04  75.74  82.84
   36   48.681    283.08    272.76    307.96    307.96   48.3011 |  44.61  52.80  59.33  63.04  75.22  82.84
   38   48.881    283.08    272.76    307.96    307.96   48.3807 |  44.61  52.80  59.33  63.04  75.22  82.84
   40   49.081    261.19    237.94    268.44    268.44   48.4604 |  44.61  52.80  59.33  63.20  75.22  80.52
   42   49.281    235.21    196.36    221.46    221.46   48.5400 |  44.61  52.80  58.58  63.20  72.54  80.52
   44   49.481    235.22    196.36    221.46    221.46   48.6196 |  44.20  52.80  58.58  63.20  72.54  80.52
   46   49.681    235.24    196.36    221.46    221.46   48.6992 |  44.20  52.80  58.58  63.20  72.54  80.52
   48   49.881    247.18    215.44    243.06    243.06   48.7788 |  44.20  52.80  58.58  63.20  73.88  80.52
