key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,17,18,PLAYED,48.0,2739,2635,-104,-3.8,68,70,-2,5,5,0
aaron-naughton,Aaron Naughton,Western Bulldogs,Sydney Swans,Key Fwd,17,18,PLAYED,86.0,1419,1504,85,5.99,172,164,8,19,18,1
adam-cerra,Adam Cerra,Carlton,Adelaide Crows,Mid,17,18,PLAYED,114.0,1134,1189,55,4.85,208,200,8,83,81,2
adam-saad,Adam Saad,Carlton,Geelong Cats,Def,17,18,DNP,DNP,631,626,-5,-0.79,314,315,-1,70,67,3
adam-sweid,Adam Sweid,Fremantle,Sydney Swans,Fwd,17,18,DNP,DNP,605,592,-13,-2.15,322,330,-8,38,41,-3
adam-treloar,Adam Treloar,Western Bulldogs,West Coast Eagles,Mid,17,18,DNP,DNP,660,644,-16,-2.42,304,311,-7,113,114,-1
aidan-corr,Aidan Corr,North Melbourne,Geelong Cats,Key Def,17,18,PLAYED,78.0,49,49,0,0.0,726,724,2,80,80,0
aidan-johnson,Aidan Johnson,Melbourne,Free agents,Key Fwd,17,18,PLAYED,34.0,80,74,-6,-7.5,691,699,-8,90,90,0
aidan-schubert,Aidan Schubert,Hawthorn,Fremantle Dockers,Key Fwd,17,18,DNP,DNP,652,638,-14,-2.15,307,314,-7,43,45,-2
aiden-riddle,Aiden Riddle,Fremantle,Fremantle Dockers,Ruck,17,18,DNP,DNP,459,452,-7,-1.53,391,392,-1,39,39,0
alex-davies,Alex Davies,Gold Coast,Western Bulldogs,Mid,17,18,DNP,DNP,489,487,-2,-0.41,377,379,-2,128,130,-2
alex-dodson,Alex Dodson,St Kilda,Hawthorn Hawks,Ruck,17,18,DNP,DNP,468,462,-6,-1.28,389,388,1,38,38,0
alex-neal-bullen,Alex Neal-Bullen,Adelaide,West Coast Eagles,Fwd,17,18,PLAYED,58.0,511,453,-58,-11.35,363,391,-28,46,51,-5
alex-pearce,Alex Pearce,Fremantle,Geelong Cats,Key Def,17,18,PLAYED,65.0,38,38,0,0.0,745,744,1,84,84,0
