Player Name,AFFL Team,Position/s,AFL Club
Aaron Cadman,Richmond Tigers,"G-FWD,K-FWD",GWS
Aaron Naughton,Sydney Swans,"G-FWD,K-FWD",WB
Adam Cerra,Adelaide Crows,MID,CAR
Adam Saad,Geelong Cats,G-DEF,CAR
Adam Sweid,Sydney Swans,MID,FRE
Adam Treloar,West Coast Eagles,"MID,G-FWD",WB
Aidan Corr,Geelong Cats,"G-DEF,K-DEF",NM
Aidan Johnson,Free agents,"K-FWD,G-FWD",
Aidan Schubert,Fremantle Dockers,"RUCK,G-FWD,K-FWD",HAW
Aiden Riddle,Fremantle Dockers,RUCK,FRE
Alex Davies,Western Bulldogs,MID,GCS
Alex Dodson,Hawthorn Hawks,K-FWD,STK
Alex Neal-Bullen,West Coast Eagles,G-FWD,ADE
Alex Pearce,Geelong Cats,"G-DEF,K-DEF",FRE
Alex Van Wyk,Adelaide Crows,RUCK,PA
Aliir Aliir,North Melbourne Kangaroos,"G-DEF,K-DEF",PA
Alix Tauru,Western Bulldogs,"G-DEF,K-DEF,K-FWD,G-FWD",STK
Andrew Brayshaw,St Kilda Saints,MID,FRE
Andrew McGrath,Geelong Cats,G-DEF,ESS
Andy Moniz-Wakefield,West Coast Eagles,G-DEF,MEL
Angus Anderson,North Melbourne Kangaroos,MID,COL
Angus Clarke,Carlton Blues,"G-DEF,MID",ESS
Angus Hastie,Richmond Tigers,G-DEF,STK
Angus Sheldrick,Western Bulldogs,MID,SYD
Anthony Caminiti,Collingwood Magpies,"G-DEF,K-DEF,K-FWD,G-FWD",STK
Archer Day-Wicks,Adelaide Crows,"G-FWD,MID",ESS
Archer Reid,Melbourne Demons,"G-FWD,K-FWD",WCE
Archie Ludowyke,Fremantle Dockers,"G-FWD,K-FWD",ADE
Archie May,Western Bulldogs,K-FWD,ESS
Archie Perkins,Melbourne Demons,G-FWD,ESS
Archie Roberts,St Kilda Saints,G-DEF,ESS
Arthur Jones,Adelaide Crows,"MID,G-FWD",WB
Asher Eastham,Free agents,G-FWD,
Ashton Moir,St Kilda Saints,G-FWD,CAR
Avery Thomas,Melbourne Demons,G-DEF,GCS
Bailey Banfield,St Kilda Saints,G-DEF,FRE
Bailey Dale,Geelong Cats,G-DEF,WB
Bailey Humphrey,Western Bulldogs,"MID,G-FWD",GCS
Bailey J. Williams,Sydney Swans,"RUCK,G-FWD,K-FWD",WCE
Bailey Laurie,Free agents,G-FWD,
Bailey MacDonald,Western Bulldogs,G-DEF,HAW
Bailey Scott,Free agents,MID,
Bailey Smith,Geelong Cats,MID,GEE
Bailey Williams,Collingwood Magpies,"G-DEF,MID",WB
Balyn O'Brien,Free agents,G-DEF,
Bayley Fritsch,Geelong Cats,G-FWD,MEL
Beau Addinsall,Fremantle Dockers,MID,GCS
Beau McCreery,West Coast Eagles,G-FWD,COL
Ben Ainsworth,Brisbane Lions,G-FWD,CAR
Ben Camporeale,Fremantle Dockers,MID,CAR
Ben Jepson,Free agents,MID,
Ben Keays,Adelaide Crows,G-FWD,ADE
Ben King,Sydney Swans,"G-FWD,K-FWD",GCS
Ben Long,Richmond Tigers,G-FWD,GCS
Ben McKay,West Coast Eagles,"G-DEF,K-DEF",ESS
Ben Miller,Sydney Swans,"G-DEF,K-DEF",RIC
Ben Murphy,North Melbourne Kangaroos,G-DEF,BRI
Benny Barrett,Free agents,G-FWD,
Billy Cootee,Essendon Bombers,MID,SYD
Billy Dowling,Essendon Bombers,"MID,G-FWD",ADE
Billy Frampton,Brisbane Lions,"G-DEF,K-DEF",COL
Billy Wilson,Western Bulldogs,G-DEF,CAR
Blake Acres,Brisbane Lions,MID,CAR
Blake Hardwick,Port Adelaide Power,G-DEF,HAW
Blake Howes,Essendon Bombers,G-DEF,MEL
Blake Thredgold,Fremantle Dockers,"G-DEF,K-DEF",NM
Bo Allan,Melbourne Demons,"G-DEF,MID",WCE
Bobby Hill,West Coast Eagles,G-FWD,COL
Bodhi Uwland,Port Adelaide Power,G-DEF,GCS
Bodie Ryan,Collingwood Magpies,G-DEF,HAW
Bradley Close,Geelong Cats,G-FWD,GEE
Bradley Hill,Port Adelaide Power,"MID,G-FWD",STK
Brady Hough,Essendon Bombers,"G-DEF,MID",WCE
Braeden Campbell,Essendon Bombers,G-FWD,SYD
Brandon Starcevich,Melbourne Demons,G-DEF,WCE
Brandon Walker,Port Adelaide Power,G-DEF,FRE
Brandon Zerk-Thatcher,Free agents,"K-DEF,G-DEF",
Brayden Cook,North Melbourne Kangaroos,"MID,G-FWD",ADE
Brayden Fiorini,Brisbane Lions,MID,ESS
Brayden George,Richmond Tigers,G-FWD,NM
Brayden Maynard,North Melbourne Kangaroos,G-DEF,COL
Brennan Cox,Sydney Swans,"G-DEF,K-DEF",FRE
Brent Daniels,Essendon Bombers,"G-FWD,MID",GWS
Brodie Grundy,St Kilda Saints,RUCK,SYD
Brodie Kemp,Geelong Cats,"G-FWD,K-FWD",CAR
Brody Mihocek,Brisbane Lions,"G-FWD,K-FWD",MEL
Bruce Reville,North Melbourne Kangaroos,MID,BRI
Buku Khamis,Brisbane Lions,"G-DEF,G-FWD,K-FWD,K-DEF",WB
Caiden Cleary,Carlton Blues,G-FWD,SYD
Caleb Daniel,Port Adelaide Power,G-DEF,NM
Caleb Graham,Free agents,"K-DEF,G-DEF",
Caleb Lewis,Free agents,"K-FWD,G-FWD",
Caleb May,Melbourne Demons,RUCK,WB
Caleb Serong,Western Bulldogs,MID,FRE
Caleb Windsor,Western Bulldogs,"G-DEF,MID",MEL
Callum Ah Chee,Geelong Cats,G-FWD,ADE
Callum Coleman-Jones,Free agents,RUCK,
Callum M. Brown,St Kilda Saints,G-FWD,GWS
Callum Mills,Collingwood Magpies,G-DEF,SYD
Callum Wilkie,North Melbourne Kangaroos,"G-DEF,K-DEF",STK
