# IMPORTED AT store b0c39d78 -> 340a7a32 (branch claude/store-identity-job-v2-9-kuers3, 2026-07-13, item 20 store-identity job); NOT A SOURCE — do not read as current. The store (engine/rl_after/rl_model_data.json) is the SOLE carrier of every club, ID and eligibility. Raw pre-normalization eligibilities + legacy_afl_club are preserved HERE for recovery only. SSI: stamped, read-only, disposable.
source_row,stable_player_id,legacy_key,player_name,affl_team,eligibilities,legacy_name,legacy_afl_club,legacy_eligibilities,identity_evidence_json
609,afl-player-v1-4e4aba980a507c437f78,aaron-cadman,Aaron Cadman,Richmond Tigers,"G-FWD,K-FWD",Aaron Cadman,GWS,K-FWD,"{""birth_date"":""2004-03-03"",""birth_year"":2004,""draft_pick"":1,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""aaron-cadman""}"
705,afl-player-v1-8f3aa1080752eb0e534b,aaron-naughton,Aaron Naughton,Sydney Swans,"G-FWD,K-FWD",Aaron Naughton,Western Bulldogs,K-FWD,"{""birth_date"":""1999-11-30"",""birth_year"":1999,""draft_pick"":9,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""aaron-naughton""}"
23,afl-player-v1-87957120b42751e30451,adam-cerra,Adam Cerra,Adelaide Crows,MID,Adam Cerra,Carlton,MID,"{""birth_date"":""1999-10-07"",""birth_year"":1999,""draft_pick"":5,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""adam-cerra""}"
360,afl-player-v1-fd3e3de35948b76d59d1,adam-saad,Adam Saad,Geelong Cats,G-DEF,Adam Saad,Carlton,G-DEF,"{""birth_date"":""1994-07-23"",""birth_year"":1994,""draft_pick"":23,""draft_type"":""RD"",""draft_year"":2014,""legacy_key"":""adam-saad""}"
711,afl-player-v1-963c8126427fc70e52df,adam-sweid,Adam Sweid,Sydney Swans,MID,Adam Sweid,Fremantle,G-FWD,"{""birth_date"":""2007-09-14"",""birth_year"":2007,""draft_pick"":25,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""adam-sweid""}"
735,afl-player-v1-f4e0edae401d0ec0c617,adam-treloar,Adam Treloar,West Coast Eagles,"MID,G-FWD",Adam Treloar,Western Bulldogs,MID,"{""birth_date"":""1993-03-09"",""birth_year"":1993,""draft_pick"":15,""draft_type"":""ND"",""draft_year"":2011,""legacy_key"":""adam-treloar""}"
357,afl-player-v1-4296b7b2f29741debd64,aidan-corr,Aidan Corr,Geelong Cats,"G-DEF,K-DEF",Aidan Corr,North Melbourne,K-DEF,"{""birth_date"":""1994-05-17"",""birth_year"":1994,""draft_pick"":18,""draft_type"":""ND"",""draft_year"":2012,""legacy_key"":""aidan-corr""}"
265,afl-player-v1-0a02f9846d125256999b,aidan-johnson,Aidan Johnson,Free agents,"K-FWD,G-FWD",Aidan Johnson,Melbourne,K-FWD,"{""birth_date"":""2000-03-09"",""birth_year"":2000,""draft_pick"":68,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""aidan-johnson""}"
328,afl-player-v1-1bb3cfdf101d072c0ae7,aidan-schubert,Aidan Schubert,Fremantle Dockers,"RUCK,G-FWD,K-FWD",Aidan Schubert,Hawthorn,K-FWD,"{""birth_date"":""2007-12-21"",""birth_year"":2007,""draft_pick"":23,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""aidan-schubert""}"
324,afl-player-v1-97846257ceb7f668dd47,aiden-riddle,Aiden Riddle,Fremantle Dockers,RUCK,Aiden Riddle,Fremantle,RUCK,"{""birth_date"":""2005-12-27"",""birth_year"":2005,""draft_pick"":3,""draft_type"":""RD"",""draft_year"":2024,""legacy_key"":""aiden-riddle""}"
760,afl-player-v1-64427a9d50f9d2e02896,alex-davies,Alex Davies,Western Bulldogs,MID,Alex Davies,Gold Coast,MID,"{""birth_date"":""2002-03-18"",""birth_year"":2002,""draft_pick"":17,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""alex-davies""}"
435,afl-player-v1-5324fc165b53ca98463b,alex-dodson,Alex Dodson,Hawthorn Hawks,K-FWD,Alex Dodson,St Kilda,RUCK,"{""birth_date"":""2006-06-15"",""birth_year"":2006,""draft_pick"":53,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""alex-dodson""}"
75,afl-player-v1-e85a86a8692f0a831933,alex-neal-bullen,Alex Neal-Bullen,West Coast Eagles,G-FWD,Alex Neal-Bullen,Adelaide,G-FWD,"{""birth_date"":""1996-01-09"",""birth_year"":1996,""draft_pick"":40,""draft_type"":""ND"",""draft_year"":2014,""legacy_key"":""alex-neal-bullen""}"
380,afl-player-v1-e8789b39cd0b6f475b7d,alex-pearce,Alex Pearce,Geelong Cats,"G-DEF,K-DEF",Alex Pearce,Fremantle,K-DEF,"{""birth_date"":""1995-06-09"",""birth_year"":1995,""draft_pick"":37,""draft_type"":""ND"",""draft_year"":2013,""legacy_key"":""alex-pearce""}"
39,afl-player-v1-2dfeb757c9c20d8e6638,alex-van-wyk,Alex Van Wyk,Adelaide Crows,RUCK,Alex Van Wyk,Port Adelaide,RUCK,"{""birth_date"":""2004-07-01"",""birth_year"":2004,""draft_pick"":14,""draft_type"":""MSD"",""draft_year"":2026,""legacy_key"":""alex-van-wyk""}"
520,afl-player-v1-331b344b0d63646c51eb,aliir-aliir,Aliir Aliir,North Melbourne Kangaroos,"G-DEF,K-DEF",Aliir Aliir,Port Adelaide,K-DEF,"{""birth_date"":""1994-09-05"",""birth_year"":1994,""draft_pick"":44,""draft_type"":""ND"",""draft_year"":2013,""legacy_key"":""aliir-aliir""}"
779,afl-player-v1-adec4d952bcbc52767f5,alix-tauru,Alix Tauru,Western Bulldogs,"G-DEF,K-DEF,K-FWD,G-FWD",Alix Tauru,St Kilda,K-DEF,"{""birth_date"":""2006-11-16"",""birth_year"":2006,""draft_pick"":10,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""alix-tauru""}"
645,afl-player-v1-ae2d3d03fdab9cf63599,andrew-brayshaw,Andrew Brayshaw,St Kilda Saints,MID,Andrew Brayshaw,Fremantle,MID,"{""birth_date"":""1999-11-08"",""birth_year"":1999,""draft_pick"":2,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""andrew-brayshaw""}"
391,afl-player-v1-569acef3f5da1997d202,andrew-mcgrath,Andrew McGrath,Geelong Cats,G-DEF,Andrew McGrath,Essendon,G-DEF,"{""birth_date"":""1998-06-02"",""birth_year"":1998,""draft_pick"":1,""draft_type"":""ND"",""draft_year"":2016,""legacy_key"":""andrew-mcgrath""}"
736,afl-player-v1-43dcbfbd3dd8420f2e63,andy-moniz-wakefield,Andy Moniz-Wakefield,West Coast Eagles,G-DEF,Andy Moniz-Wakefield,Melbourne,G-DEF,"{""birth_date"":""2003-10-26"",""birth_year"":2003,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2021,""legacy_key"":""andy-moniz-wakefield""}"
492,afl-player-v1-8a57f5aab690623a7315,angus-anderson,Angus Anderson,North Melbourne Kangaroos,"MID,G-FWD",Angus Anderson,Collingwood,MID,"{""birth_date"":""2003-05-25"",""birth_year"":2003,""draft_pick"":57,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""angus-anderson""}"
129,afl-player-v1-c399795725e17c13dffb,angus-clarke,Angus Clarke,Carlton Blues,"G-DEF,MID",Angus Clarke,Essendon,G-DEF,"{""birth_date"":""2006-05-08"",""birth_year"":2006,""draft_pick"":39,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""angus-clarke""}"
600,afl-player-v1-451ddd8089a5671d27bd,angus-hastie,Angus Hastie,Richmond Tigers,G-DEF,Angus Hastie,St Kilda,G-DEF,"{""birth_date"":""2005-09-19"",""birth_year"":2005,""draft_pick"":33,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""angus-hastie""}"
785,afl-player-v1-d4b6cf07e125634be42d,angus-sheldrick,Angus Sheldrick,Western Bulldogs,MID,Angus Sheldrick,Sydney,MID,"{""birth_date"":""2003-11-07"",""birth_year"":2003,""draft_pick"":18,""draft_type"":""ND"",""draft_year"":2021,""legacy_key"":""angus-sheldrick""}"
152,afl-player-v1-0c5db9d8bac56d9b7fa4,anthony-caminiti,Anthony Caminiti,Collingwood Magpies,"G-DEF,K-DEF,K-FWD,G-FWD",Anthony Caminiti,St Kilda,K-FWD,"{""birth_date"":""2003-12-09"",""birth_year"":2003,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2022,""legacy_key"":""anthony-caminiti""}"
32,afl-player-v1-bccb2c78d58984d7d91d,archer-day-wicks,Archer Day-Wicks,Adelaide Crows,"G-FWD,MID",Archer Day-Wicks,Essendon,G-FWD,"{""birth_date"":""2006-05-13"",""birth_year"":2006,""draft_pick"":2,""draft_type"":""RD"",""draft_year"":2024,""legacy_key"":""archer-day-wicks""}"
452,afl-player-v1-5543420881712362758e,archer-reid,Archer Reid,Melbourne Demons,"G-FWD,K-FWD",Archer Reid,West Coast,K-FWD,"{""birth_date"":""2005-09-19"",""birth_year"":2005,""draft_pick"":30,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""archer-reid""}"
309,afl-player-v1-d5ca041c63ab84bc8fd8,archie-ludowyke,Archie Ludowyke,Fremantle Dockers,"G-FWD,K-FWD",Archie Ludowyke,Adelaide,K-FWD,"{""birth_date"":""2007-11-19"",""birth_year"":2007,""draft_pick"":50,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""archie-ludowyke""}"
802,afl-player-v1-1aa8748ab5223765d500,archie-may,Archie May,Western Bulldogs,K-FWD,Archie May,Essendon,K-FWD,"{""birth_date"":""2004-08-27"",""birth_year"":2004,""draft_pick"":6,""draft_type"":""MSD"",""draft_year"":2025,""legacy_key"":""archie-may""}"
440,afl-player-v1-8891d0951120f190af2c,archie-perkins,Archie Perkins,Melbourne Demons,G-FWD,Archie Perkins,Essendon,G-FWD,"{""birth_date"":""2002-03-26"",""birth_year"":2002,""draft_pick"":9,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""archie-perkins""}"
646,afl-player-v1-0f0c9d6196abee42b21e,archie-roberts,Archie Roberts,St Kilda Saints,G-DEF,Archie Roberts,Essendon,G-DEF,"{""birth_date"":""2005-11-18"",""birth_year"":2005,""draft_pick"":54,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""archie-roberts""}"
18,afl-player-v1-6ed18956cf1378582d16,arthur-jones,Arthur Jones,Adelaide Crows,"MID,G-FWD",Arthur Jones,Western Bulldogs,G-FWD,"{""birth_date"":""2003-07-18"",""birth_year"":2003,""draft_pick"":43,""draft_type"":""ND"",""draft_year"":2021,""legacy_key"":""arthur-jones""}"
250,afl-player-v1-18e32886c9bf159f469a,asher-eastham,Asher Eastham,Free agents,G-FWD,Asher Eastham,Gold Coast,G-FWD,"{""birth_date"":""2006-05-13"",""birth_year"":2006,""draft_pick"":8,""draft_type"":""RD"",""draft_year"":2024,""legacy_key"":""asher-eastham""}"
669,afl-player-v1-65ff4f73303faae38263,ashton-moir,Ashton Moir,St Kilda Saints,G-FWD,Ashton Moir,Carlton,G-FWD,"{""birth_date"":""2005-04-15"",""birth_year"":2005,""draft_pick"":29,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""ashton-moir""}"
467,afl-player-v1-4a22ace5803958977c40,avery-thomas,Avery Thomas,Melbourne Demons,G-DEF,Avery Thomas,Gold Coast,G-DEF,"{""birth_date"":""2007-09-20"",""birth_year"":2007,""draft_pick"":28,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""avery-thomas""}"
649,afl-player-v1-32fef89bc6c5dfeda8b7,bailey-banfield,Bailey Banfield,St Kilda Saints,G-DEF,Bailey Banfield,Fremantle,G-DEF,"{""birth_date"":""1998-02-26"",""birth_year"":1998,""draft_pick"":4,""draft_type"":""RD"",""draft_year"":2017,""legacy_key"":""bailey-banfield""}"
384,afl-player-v1-bfc840f8e0f59fc24641,bailey-dale,Bailey Dale,Geelong Cats,G-DEF,Bailey Dale,Western Bulldogs,G-DEF,"{""birth_date"":""1996-07-22"",""birth_year"":1996,""draft_pick"":45,""draft_type"":""ND"",""draft_year"":2014,""legacy_key"":""bailey-dale""}"
773,afl-player-v1-9f45e63fb7a10ebbb1d4,bailey-humphrey,Bailey Humphrey,Western Bulldogs,"MID,G-FWD",Bailey Humphrey,Gold Coast,G-FWD,"{""birth_date"":""2004-09-11"",""birth_year"":2004,""draft_pick"":6,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""bailey-humphrey""}"
682,afl-player-v1-d8c86c5bdaf14f79a1b2,bailey-williams-wc,Bailey J. Williams,Sydney Swans,"RUCK,G-FWD,K-FWD",Bailey J. Williams,West Coast,RUCK,"{""birth_date"":""2000-04-17"",""birth_year"":2000,""draft_pick"":35,""draft_type"":""ND"",""draft_year"":2018,""legacy_key"":""bailey-williams-wc""}"
270,afl-player-v1-a5ad8398bbd215b116e2,bailey-laurie,Bailey Laurie,Free agents,G-FWD,Bailey Laurie,Melbourne,G-FWD,"{""birth_date"":""2002-03-24"",""birth_year"":2002,""draft_pick"":23,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""bailey-laurie""}"
790,afl-player-v1-c65a1c9c023c7d79a8c1,bailey-macdonald,Bailey MacDonald,Western Bulldogs,G-DEF,Bailey Macdonald,Hawthorn,G-DEF,"{""birth_date"":""2004-08-04"",""birth_year"":2004,""draft_pick"":51,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""bailey-macdonald""}"
288,afl-player-v1-07c750d057076538133f,bailey-scott,Bailey Scott,Free agents,MID,Bailey Scott,North Melbourne,MID,"{""birth_date"":""2000-07-09"",""birth_year"":2000,""draft_pick"":49,""draft_type"":""ND"",""draft_year"":2018,""legacy_key"":""bailey-scott""}"
388,afl-player-v1-729b0a603a18a0d56369,bailey-smith,Bailey Smith,Geelong Cats,MID,Bailey Smith,Geelong,MID,"{""birth_date"":""2000-12-07"",""birth_year"":2000,""draft_pick"":7,""draft_type"":""ND"",""draft_year"":2018,""legacy_key"":""bailey-smith""}"
141,afl-player-v1-2bb1c4575ccd8c7ba202,bailey-williams-wb,Bailey Williams,Collingwood Magpies,"G-DEF,MID",Bailey Williams,Western Bulldogs,G-DEF,"{""birth_date"":""1997-10-10"",""birth_year"":1997,""draft_pick"":48,""draft_type"":""ND"",""draft_year"":2015,""legacy_key"":""bailey-williams-wb""}"
284,afl-player-v1-1717ec616a9d2f0c642e,balyn-o-brien,Balyn O'Brien,Free agents,G-DEF,Balyn O'Brien,Port Adelaide,G-DEF,"{""birth_date"":""2007-01-26"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2025,""legacy_key"":""balyn-o-brien""}"
376,afl-player-v1-232efdaede6c4306886a,bayley-fritsch,Bayley Fritsch,Geelong Cats,G-FWD,Bayley Fritsch,Melbourne,G-FWD,"{""birth_date"":""1996-12-06"",""birth_year"":1996,""draft_pick"":31,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""bayley-fritsch""}"
