Player,2026 FW1
Marcus Bontempelli,134
Matthew Kennedy,103
Joel Freijah,112
Ed Richards,94
Ryley Sanders,87
Bailey Dale,93
Lachlan Bramble,98
Rhylee West,88
Timothy English,112
Cooper Hynes,63
Sam Davidson,68
Bailey Williams,68
Arthur Jones,109
Aaron Naughton,110
Cody Weightman,53
Luke Kennedy,51
Rory Lobb,43
Connor Budarick,38
James O'Donnell,56
Josh Dolan,39
Michael Sellwood,30
Buku Khamis,41
Ryan Gardner,24
Samuel Swadling,100
Nick Daicos,126
Josh Daicos,96
Patrick Lipinski,60
Beau McCreery,68
Jack Crisp,88
Darcy Cameron,108
Isaac Quaynor,66
Ned Long,91
Jeremy Howe,67
Jordan De Goey,61
Dan Houston,71
Lachlan Schultz,70
Roan Steele,57
Edward Allan,53
Tim Membrey,70
Daniel McStay,92
Billy Frampton,69
Steele Sidebottom,43
Harvey Harrison,45
Charlie West,12
Angus Anderson,47
Will Hayes,27
Jake Bowey,102
Jack Steele,90
Harvey Langford,90
Kysaiah Pickett,72
Max Gawn,119
Ed Langdon,70
Trent Rivers,76
Changkuoth Jiath,66
Kade Chandler,76
Xavier Lindsay,66
Daniel Turner,93
Koltyn Tholstrup,55
Joel Fitzgerald,55
Jack Viney,55
Caleb Windsor,49
Bayley Fritsch,57
Tom Sparrow,52
Harry Sharp,40
Jake Melksham,26
Harrison Petty,43
Xavier Taylor,27
Bailey Laurie,20
Tom McDonald,26
Sam Walsh,125
Jagga Smith,124
Adam Cerra,107
Oliver Florent,84
Patrick Cripps,81
Ben Ainsworth,106
George Hewett,72
Matt Cottrell,97
Harry Dean,99
Nick Haynes,102
Jacob Weitering,116
Oliver Hollands,85
Blake Acres,57
Cooper Lord,70
Lachlan Cowan,67
Brodie Kemp,72
Billy Wilson,52
Marc Pittonet,82
Harry McKay,78
Francis Evans,67
Mitch McGovern,42
Lewis Young,44
Talor Byrne,46
