key,old_scar,new_scar,delta_pct,cause
riley-onley,2,463,23050.0,dob-age (_by 2000->2007)
fred-rodriguez,3,502,16633.333,dob-age (_by 2000->2007)
nick-driscoll,5,547,10840.0,dob-age (_by 2000->2007)
leon-kickett,4,358,8850.0,dob-age (_by 2000->2006)
lachlan-mcandrew,1039,1176,13.186,dob-age (_by 1999->2000)
taylor-adams,75,,,retirement (mid-season; _retired=True)
josh-treacy,6297,6299,0.032,retirement hairline ripple (adams left the position pool)
thomas-sims,1114,1116,0.18,retirement hairline ripple (adams left the position pool)
will-brodie,1082,1083,0.092,retirement hairline ripple (adams left the position pool)
logan-morris,3171,3172,0.032,retirement hairline ripple (adams left the position pool)
thomas-liberatore,1973,1974,0.051,retirement hairline ripple (adams left the position pool)
hayden-young,2777,2778,0.036,retirement hairline ripple (adams left the position pool)
john-noble,2683,2684,0.037,retirement hairline ripple (adams left the position pool)
zak-butters,6059,6060,0.017,retirement hairline ripple (adams left the position pool)
matt-johnson-1,637,638,0.157,retirement hairline ripple (adams left the position pool)
jack-ross,1734,1735,0.058,retirement hairline ripple (adams left the position pool)
lachlan-ash,5187,5188,0.019,retirement hairline ripple (adams left the position pool)
will-graham,1191,1192,0.084,retirement hairline ripple (adams left the position pool)
josh-smillie,1301,1302,0.077,retirement hairline ripple (adams left the position pool)
kieren-briggs,2221,2222,0.045,retirement hairline ripple (adams left the position pool)
tyler-sonsie,796,797,0.126,retirement hairline ripple (adams left the position pool)
peter-ladhams,477,476,-0.21,retirement hairline ripple (adams left the position pool)
milan-murdock,860,861,0.116,retirement hairline ripple (adams left the position pool)
sam-durham,1615,1616,0.062,retirement hairline ripple (adams left the position pool)
mattaes-phillipou,1107,1108,0.09,retirement hairline ripple (adams left the position pool)
tom-sparrow,506,507,0.198,retirement hairline ripple (adams left the position pool)
oliver-hollands,1527,1528,0.065,retirement hairline ripple (adams left the position pool)
oskar-taylor,817,818,0.122,retirement hairline ripple (adams left the position pool)
timothy-english,3349,3350,0.03,retirement hairline ripple (adams left the position pool)
max-holmes,6269,6270,0.016,retirement hairline ripple (adams left the position pool)
tyan-prindable,745,746,0.134,retirement hairline ripple (adams left the position pool)
talor-byrne,532,531,-0.188,retirement hairline ripple (adams left the position pool)
mitchell-marsh,711,712,0.141,retirement hairline ripple (adams left the position pool)
rory-lobb,377,378,0.265,retirement hairline ripple (adams left the position pool)
alex-neal-bullen,516,515,-0.194,retirement hairline ripple (adams left the position pool)
daniel-annable,2020,2021,0.05,retirement hairline ripple (adams left the position pool)
angus-sheldrick,844,845,0.118,retirement hairline ripple (adams left the position pool)
louis-emmett,1177,1178,0.085,retirement hairline ripple (adams left the position pool)
lachie-whitfield,2294,2295,0.044,retirement hairline ripple (adams left the position pool)
conor-stone,84,85,1.19,retirement hairline ripple (adams left the position pool)
tobie-travaglia,792,791,-0.126,retirement hairline ripple (adams left the position pool)
thomas-stewart,1091,1092,0.092,retirement hairline ripple (adams left the position pool)
kane-farrell,1503,1504,0.067,retirement hairline ripple (adams left the position pool)
dylan-moore,1500,1501,0.067,retirement hairline ripple (adams left the position pool)
jack-payne,228,229,0.439,retirement hairline ripple (adams left the position pool)
jake-bowey,3096,3097,0.032,retirement hairline ripple (adams left the position pool)
willem-duursma,4429,4430,0.023,retirement hairline ripple (adams left the position pool)
jedd-busslinger,760,761,0.132,retirement hairline ripple (adams left the position pool)
mitch-georgiades,1345,1346,0.074,retirement hairline ripple (adams left the position pool)
jye-amiss,1260,1261,0.079,retirement hairline ripple (adams left the position pool)
jake-soligo,2174,2175,0.046,retirement hairline ripple (adams left the position pool)
mitchell-edwards,1634,1635,0.061,retirement hairline ripple (adams left the position pool)
caleb-serong,4701,4702,0.021,retirement hairline ripple (adams left the position pool)
colby-mckercher,3829,3830,0.026,retirement hairline ripple (adams left the position pool)
kysaiah-pickett,3496,3497,0.029,retirement hairline ripple (adams left the position pool)
bailey-dale,2009,2010,0.05,retirement hairline ripple (adams left the position pool)
hugo-garcia,2160,2161,0.046,retirement hairline ripple (adams left the position pool)
izak-rankine,2768,2769,0.036,retirement hairline ripple (adams left the position pool)
bailey-williams-wb,613,614,0.163,retirement hairline ripple (adams left the position pool)
harry-sheezel,8115,8116,0.012,retirement hairline ripple (adams left the position pool)
jack-darling,397,398,0.252,retirement hairline ripple (adams left the position pool)
josh-lai,352,353,0.284,retirement hairline ripple (adams left the position pool)
cameron-mackenzie,1546,1547,0.065,retirement hairline ripple (adams left the position pool)
darcy-jones,1560,1561,0.064,retirement hairline ripple (adams left the position pool)
brent-daniels,1385,1386,0.072,retirement hairline ripple (adams left the position pool)
jye-caldwell,1530,1531,0.065,retirement hairline ripple (adams left the position pool)
wayne-milera,1774,1775,0.056,retirement hairline ripple (adams left the position pool)
finn-callaghan,5442,5443,0.018,retirement hairline ripple (adams left the position pool)
sam-taylor,1867,1868,0.054,retirement hairline ripple (adams left the position pool)
luke-jackson,7799,7800,0.013,retirement hairline ripple (adams left the position pool)
matthew-roberts,1756,1757,0.057,retirement hairline ripple (adams left the position pool)
will-ashcroft,5155,5156,0.019,retirement hairline ripple (adams left the position pool)
sid-draper,1520,1521,0.066,retirement hairline ripple (adams left the position pool)
nic-newman,920,921,0.109,retirement hairline ripple (adams left the position pool)
brennan-cox,539,540,0.186,retirement hairline ripple (adams left the position pool)
sam-draper,657,658,0.152,retirement hairline ripple (adams left the position pool)
jaspa-fletcher,2008,2009,0.05,retirement hairline ripple (adams left the position pool)
connor-macdonald,2433,2434,0.041,retirement hairline ripple (adams left the position pool)
cameron-nairn,806,807,0.124,retirement hairline ripple (adams left the position pool)
jack-graham,319,320,0.313,retirement hairline ripple (adams left the position pool)
jack-whitlock,1302,1303,0.077,retirement hairline ripple (adams left the position pool)
levi-ashcroft,3193,3194,0.031,retirement hairline ripple (adams left the position pool)
riley-thilthorpe,3818,3819,0.026,retirement hairline ripple (adams left the position pool)
jai-newcombe,4495,4496,0.022,retirement hairline ripple (adams left the position pool)
nick-larkey,575,576,0.174,retirement hairline ripple (adams left the position pool)
nasiah-wanganeen-milera,6606,6607,0.015,retirement hairline ripple (adams left the position pool)
jed-walter,1589,1590,0.063,retirement hairline ripple (adams left the position pool)
matthew-jefferson,578,579,0.173,retirement hairline ripple (adams left the position pool)
christian-petracca,2845,2846,0.035,retirement hairline ripple (adams left the position pool)
daniel-curtin,2243,2244,0.045,retirement hairline ripple (adams left the position pool)
samson-ryan,636,637,0.157,retirement hairline ripple (adams left the position pool)
jackson-macrae,257,258,0.389,retirement hairline ripple (adams left the position pool)
aaron-naughton,1736,1737,0.058,retirement hairline ripple (adams left the position pool)
josh-lindsay,1782,1783,0.056,retirement hairline ripple (adams left the position pool)
