key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,the-sheet-recut-20-8,23,PLAYED,89.0,1839,2056,217,11.8,118,103,15,10,9,1
aaron-naughton,Aaron Naughton,Western Bulldogs,Brisbane Lions,Key Fwd,the-sheet-recut-20-8,23,PLAYED,57.0,1172,1170,-2,-0.17,182,183,-1,22,22,0
adam-cerra,Adam Cerra,Carlton,Adelaide Crows,Mid,the-sheet-recut-20-8,23,PLAYED,74.0,1133,1085,-48,-4.24,190,198,-8,47,51,-4
adam-saad,Adam Saad,Carlton,Geelong Cats,Def,the-sheet-recut-20-8,23,DNP,DNP,446,439,-7,-1.57,343,344,-1,84,85,-1
adam-sweid,Adam Sweid,Fremantle,Sydney Swans,Mid,the-sheet-recut-20-8,23,DNP,DNP,253,247,-6,-2.37,451,451,0,102,103,-1
adam-treloar,Adam Treloar,Western Bulldogs,West Coast Eagles,Fwd,the-sheet-recut-20-8,23,DNP,DNP,850,839,-11,-1.29,233,238,-5,56,59,-3
aidan-corr,Aidan Corr,North Melbourne,Geelong Cats,Key Def,the-sheet-recut-20-8,23,PLAYED,50.0,18,12,-6,-33.33,763,774,-11,75,77,-2
aidan-johnson,Aidan Johnson,Melbourne,Free agents,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,85,81,-4,-4.71,630,635,-5,106,106,0
aidan-schubert,Aidan Schubert,Hawthorn,Fremantle Dockers,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,560,556,-4,-0.71,299,298,1,41,41,0
aiden-riddle,Aiden Riddle,Fremantle,Fremantle Dockers,Ruck,the-sheet-recut-20-8,23,DNP,DNP,211,211,0,0.0,489,490,-1,37,37,0
alex-davies,Alex Davies,Gold Coast,Western Bulldogs,Mid,the-sheet-recut-20-8,23,DNP,DNP,436,426,-10,-2.29,345,349,-4,83,83,0
alex-dodson,Alex Dodson,St Kilda,Hawthorn Hawks,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,96,90,-6,-6.25,613,627,-14,103,105,-2
alex-neal-bullen,Alex Neal-Bullen,Adelaide,West Coast Eagles,Fwd,the-sheet-recut-20-8,23,DNP,DNP,370,368,-2,-0.54,374,378,-4,85,84,1
alex-pearce,Alex Pearce,Fremantle,Geelong Cats,Key Def,the-sheet-recut-20-8,23,PLAYED,3.0,14,12,-2,-14.29,773,775,-2,77,78,-1
alex-van-wyk,Alex Van Wyk,Port Adelaide,Adelaide Crows,Ruck,the-sheet-recut-20-8,23,PLAYED,28.0,345,311,-34,-9.86,392,410,-18,28,31,-3
aliir-aliir,Aliir Aliir,Port Adelaide,North Melbourne Kangaroos,Key Def,the-sheet-recut-20-8,23,DNP,DNP,758,754,-4,-0.53,251,256,-5,19,18,1
alix-tauru,Alix Tauru,St Kilda,Hawthorn Hawks,Key Fwd,the-sheet-recut-20-8,23,PLAYED,35.0,907,875,-32,-3.53,229,231,-2,29,28,1
andrew-brayshaw,Andrew Brayshaw,Fremantle,Geelong Cats,Mid,the-sheet-recut-20-8,23,PLAYED,116.0,3052,3071,19,0.62,58,58,0,23,22,1
andrew-mcgrath,Andrew McGrath,Essendon,Geelong Cats,Def,the-sheet-recut-20-8,23,PLAYED,78.0,1130,1071,-59,-5.22,191,201,-10,50,51,-1
andy-moniz-wakefield,Andy Moniz-Wakefield,Melbourne,West Coast Eagles,Def,the-sheet-recut-20-8,23,DNP,DNP,68,67,-1,-1.47,665,665,0,142,141,1
angus-anderson,Angus Anderson,Collingwood,St Kilda Saints,Fwd,the-sheet-recut-20-8,23,PLAYED,49.0,264,262,-2,-0.76,445,437,8,101,100,1
angus-clarke,Angus Clarke,Essendon,Carlton Blues,Def,the-sheet-recut-20-8,23,PLAYED,23.0,532,466,-66,-12.41,314,333,-19,78,82,-4
angus-hastie,Angus Hastie,St Kilda,Richmond Tigers,Def,the-sheet-recut-20-8,23,PLAYED,65.0,130,170,40,30.77,572,528,44,122,115,7
angus-sheldrick,Angus Sheldrick,Sydney,Western Bulldogs,Mid,the-sheet-recut-20-8,23,DNP,DNP,694,693,-1,-0.14,269,270,-1,62,64,-2
anthony-caminiti,Anthony Caminiti,St Kilda,Collingwood Magpies,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,963,961,-2,-0.21,216,214,2,27,25,2
archer-day-wicks,Archer Day-Wicks,Essendon,Adelaide Crows,Fwd,the-sheet-recut-20-8,23,PLAYED,50.0,330,342,12,3.64,399,392,7,91,89,2
archer-reid,Archer Reid,West Coast,Melbourne Demons,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,378,373,-5,-1.32,369,375,-6,56,58,-2
