name,key,pos,PREVIOUS,CONTROL_strip,S34_strip_plus_34,FINAL,delta_PREV_to_FINAL
Harry Sheezel,harry-sheezel,MID,7163,7202,7151,7151,-12
Nick Daicos,nick-daicos,MID,7002,6952,7002,7002,0
Luke Jackson,luke-jackson,RUC,6943,6802,6803,6803,-140
Tristan Xerri,tristan-xerri,RUC,5818,5800,5795,5795,-23
Nasiah Wanganeen-Milera,nasiah-wanganeen-milera,MID,5905,5795,5794,5794,-111
Max Holmes,max-holmes,MID,5424,5440,5386,5386,-38
Josh Treacy,josh-treacy,KEY_FWD,5299,5309,5312,5312,13
Errol Gulden,errol-gulden,MID,5222,5227,5256,5256,34
Zak Butters,zak-butters,MID,5185,5171,5174,5174,-11
Finn Callaghan,finn-callaghan,MID,4917,4927,4904,4904,-13
Will Ashcroft,will-ashcroft,MID,4780,4758,4768,4768,-12
Bailey Smith,bailey-smith,MID,4743,4741,4715,4715,-28
Archie Roberts,archie-roberts,GEN_DEF,4555,4678,4668,4668,113
Lachlan Ash,lachlan-ash,GEN_DEF,4607,4616,4611,4611,4
Tom Green,tom-green,MID,4417,4435,4424,4424,7
Caleb Serong,caleb-serong,MID,4161,4153,4170,4170,9
Sam Darcy,sam-darcy,KEY_FWD,4130,4136,4144,4144,14
Willem Duursma,willem-duursma,MID,4139,4143,4155,4110,-29
Noah Anderson,noah-anderson,MID,4089,4090,4091,4091,2
Jai Newcombe,jai-newcombe,MID,4001,4047,3974,3974,-27
Ryley Sanders,ryley-sanders,MID,4187,4897,3926,3926,-261
Matt Rowell,matt-rowell,MID,3747,3749,3752,3752,5
Murphy Reid,murphy-reid,GEN_FWD,3838,3836,3742,3742,-96
Darcy Wilmot,darcy-wilmot,GEN_DEF,3758,3738,3732,3732,-26
Jason Horne-Francis,jason-horne-francis,MID,4172,3702,3702,3702,-470
Riley Thilthorpe,riley-thilthorpe,KEY_FWD,3708,3707,3702,3702,-6
Colby McKercher,colby-mckercher,MID,3767,3621,3627,3627,-140
Harley Reid,harley-reid,MID,3553,3551,3549,3549,-4
Nick Watson,nick-watson,GEN_FWD,3593,3601,3538,3538,-55
Mac Andrew,mac-andrew,KEY_DEF,3502,3502,3504,3504,2
Finn O'Sullivan,finn-o-sullivan,MID,3468,2933,3427,3427,-41
Sam Lalor,sam-lalor,MID,3694,3277,3337,3337,-357
Brodie Grundy,brodie-grundy,RUC,3318,3268,3314,3314,-4
Isaac Heeney,isaac-heeney,MID,3296,3277,3301,3301,5
Bodhi Uwland,bodhi-uwland,GEN_DEF,3296,3319,3288,3288,-8
Nick Blakey,nick-blakey,GEN_DEF,3228,3253,3266,3266,38
