player,pid,year,age,games,avg,eadj,ev_modelled,real_fwd3
Max Gawn,140498196673536,2011,20.0,4,54.8,,1010,131.9
Max Gawn,140498196673536,2013,22.0,13,67.2,66.4,334,131.9
Max Gawn,140498196673536,2014,23.0,9,63.2,62.1,1617,131.9
Max Gawn,140498196673536,2015,24.0,13,102.1,100.6,3202,131.9
Max Gawn,140498196673536,2016,25.0,22,118.5,115.9,5267,131.9
Max Gawn,140498196673536,2017,26.0,13,91.6,89.2,4072,131.9
Max Gawn,140498196673536,2018,27.0,25,124.7,121.8,5918,131.9
Max Gawn,140498196673536,2019,28.0,21,128.4,124.8,5514,131.9
Max Gawn,140498196673536,2020,29.0,14,139.9,134.1,5152,131.4
Max Gawn,140498196673536,2021,30.0,25,120.5,122.9,4164,126.1
Max Gawn,140498196673536,2022,31.0,22,114.5,117.0,3387,126.1
Max Gawn,140498196673536,2023,32.0,22,106.2,108.5,1771,126.1
Max Gawn,140498196673536,2024,33.0,21,124.1,127.0,2663,126.1
Max Gawn,140498196673536,2025,34.0,23,127.4,131.8,2446,127.1
Max Gawn,140498196673536,2026,35.0,14,126.8,126.8,2120,126.8
Marcus Bontempelli,140498197510016,2014,19.0,16,78.6,77.3,3896,128.0
Marcus Bontempelli,140498197510016,2015,20.0,21,103.8,102.3,5340,128.0
Marcus Bontempelli,140498197510016,2016,21.0,26,108.7,106.3,6952,128.0
Marcus Bontempelli,140498197510016,2017,22.0,22,105.1,102.3,6742,128.0
Marcus Bontempelli,140498197510016,2018,23.0,19,104.0,101.6,6176,128.0
Marcus Bontempelli,140498197510016,2019,24.0,23,113.4,110.2,6021,128.0
Marcus Bontempelli,140498197510016,2020,25.0,18,113.4,108.7,5290,128.0
Marcus Bontempelli,140498197510016,2021,26.0,26,119.5,121.9,5571,128.0
Marcus Bontempelli,140498197510016,2022,27.0,22,116.7,119.3,4633,128.0
Marcus Bontempelli,140498197510016,2023,28.0,23,129.7,132.5,4593,128.0
Marcus Bontempelli,140498197510016,2024,29.0,24,123.8,126.7,3826,124.5
Marcus Bontempelli,140498197510016,2025,30.0,18,130.6,135.1,4067,124.8
Marcus Bontempelli,140498197510016,2026,31.0,14,119.0,119.0,3085,119.0
Isaac Heeney,140498197222976,2015,19.0,14,68.6,67.6,3360,116.2
Isaac Heeney,140498197222976,2016,20.0,24,82.1,80.3,3881,116.2
Isaac Heeney,140498197222976,2017,21.0,20,96.7,94.2,5139,116.2
Isaac Heeney,140498197222976,2018,22.0,22,96.1,93.8,5157,116.2
Isaac Heeney,140498197222976,2019,23.0,22,94.0,91.4,4601,116.2
Isaac Heeney,140498197222976,2020,24.0,6,94.0,90.1,3785,116.2
Isaac Heeney,140498197222976,2021,25.0,21,84.6,86.3,2243,116.2
Isaac Heeney,140498197222976,2022,26.0,25,97.5,99.6,2459,116.2
Isaac Heeney,140498197222976,2023,27.0,23,84.1,85.9,1346,116.2
Isaac Heeney,140498197222976,2024,28.0,24,115.0,117.7,2852,116.2
Isaac Heeney,140498197222976,2025,29.0,23,109.7,113.5,2551,116.8
Isaac Heeney,140498197222976,2026,30.0,12,123.9,123.9,3301,123.9
