age,resid_fwd,effn_fwd,resid_val,effn_val,pred_fwd,real_fwd,pred_val,real_val
19.0,4.37,4581.7,310.36,4581.7,69.93,65.55,993.3,683.0
20.0,3.66,5192.4,297.47,5192.4,71.56,67.9,1082.7,785.2
21.0,2.87,5139.0,278.41,5139.0,72.89,70.01,1183.8,905.4
22.0,2.11,4729.1,258.44,4729.1,73.85,71.74,1282.8,1024.3
23.0,1.41,4224.5,241.3,4224.5,74.55,73.14,1362.9,1121.6
24.0,0.73,3695.9,225.98,3695.9,75.01,74.28,1407.1,1181.1
25.0,0.01,3172.5,209.39,3172.5,75.17,75.16,1403.3,1193.9
26.0,-0.75,2685.0,190.39,2685.0,75.0,75.74,1351.6,1161.2
27.0,-1.52,2241.0,170.07,2241.0,74.47,75.99,1261.7,1091.7
28.0,-2.32,1833.5,149.84,1833.5,73.52,75.84,1147.9,998.0
29.0,-3.22,1461.5,131.73,1461.5,72.07,75.29,1026.9,895.2
30.0,-4.33,1133.9,118.56,1133.9,70.14,74.47,914.1,795.6
31.0,-5.72,846.2,111.15,846.2,67.89,73.6,815.2,704.1
32.0,-7.36,597.3,107.61,597.3,65.59,72.95,729.1,621.4
33.0,-9.18,398.4,105.81,398.4,63.54,72.72,656.1,550.3
34.0,-11.06,250.1,104.42,250.1,61.86,72.92,597.8,493.4
35.0,-12.87,146.5,102.11,146.5,60.54,73.41,553.6,451.5
