player,pid,pos,pick,eff,draftyr,typ,by,Y,age,horizon,nqf,pred_fwd,real_fwd,pred_ev,pred_val,real_val,resid_fwd,resid_val,active
Harley Reid,140498200683008,MID,1,1,2023,ND,2005,2023,18.0,3,3,98.99379104960167,79.83333333333333,2696.0,2695.86,136.0,19.16045771626834,2559.86,0
Colby McKercher,140498200683776,MID,2,2,2023,ND,2005,2023,18.0,3,3,97.53538957590663,83.66666666666667,2696.0,2717.84,346.0,13.868722909239963,2371.84,0
Jed Walter,140498200684608,KEY_FWD,3,3,2023,ND,2005,2023,18.0,3,3,73.44996640125834,44.300000000000004,1048.0,1083.0600000000002,0.0,29.149966401258332,1083.0600000000002,0
Zane Duursma,140498200685376,GEN_FWD,4,4,2023,ND,2005,2023,18.0,3,3,82.0295440247062,35.900000000000006,1749.0,1748.5400000000004,0.0,46.12954402470619,1748.5400000000004,0
Nick Watson,140498200686144,GEN_FWD,5,5,2023,ND,2005,2023,18.0,3,3,80.92946695736,72.16666666666667,1634.0,1634.4400000000003,210.0,8.762800290693335,1424.4400000000003,0
Ryley Sanders,140498200686912,MID,6,6,2023,ND,2005,2023,18.0,3,3,89.71606888852351,76.33333333333334,1877.0,1843.0400000000002,58.0,13.382735555190166,1785.0400000000002,0
Caleb Windsor,140498200687680,MID,7,7,2023,ND,2005,2023,18.0,3,3,89.77972906916754,57.800000000000004,1877.0,1884.5400000000004,0.0,31.97972906916754,1884.5400000000004,0
Daniel Curtin,140498200688512,MID,8,8,2023,ND,2005,2023,18.0,3,3,90.21577269827456,58.29999999999999,1877.0,1904.3600000000004,0.0,31.915772698274573,1904.3600000000004,0
Ethan Read,140498200689216,KEY_FWD,9,9,2023,ND,2005,2023,18.0,3,2,70.81772261656306,47.75,928.0,928.3600000000001,1.0,23.06772261656306,927.3600000000001,0
Nate Caddy,140498200689984,KEY_FWD,10,10,2023,ND,2005,2023,18.0,3,3,71.10167568987856,54.26666666666667,928.0,964.6400000000001,5.0,16.83500902321189,959.6400000000001,0
Connor O'Sullivan,140498200723584,KEY_DEF,11,11,2023,ND,2005,2023,18.0,3,2,71.24623013217317,69.7,868.0,875.7400000000001,172.0,1.5462301321731644,703.7400000000001,0
Phoenix Gothard,140498200724288,GEN_FWD,12,12,2023,ND,2005,2023,18.0,3,1,77.27280892870486,70.2,1461.0,1486.1400000000003,134.0,7.072808928704859,1352.1400000000003,0
Koltyn Tholstrup,140498200724864,GEN_DEF,13,13,2023,ND,2005,2023,18.0,3,3,79.41351878764358,54.23333333333334,1016.0,1104.18,1.0,25.18018545431024,1103.18,0
Jake Rogers,140498200725696,GEN_FWD,14,14,2023,ND,2005,2023,18.0,3,2,74.56483857681334,36.1,1285.0,1284.6200000000001,0.0,38.46483857681334,1284.6200000000001,0
Jordan Croft,140498200726464,KEY_FWD,15,15,2023,ND,2005,2023,18.0,3,1,64.8966997759531,43.2,819.0,829.5200000000001,0.0,21.696699775953093,829.5200000000001,0
Will Green,140498200727232,RUC,16,16,2023,ND,2005,2023,18.0,3,0,77.56833935409661,0.0,1037.0,828.3400000000001,0.0,77.56833935409661,828.3400000000001,0
James Leake,140498200727616,GEN_DEF,17,17,2023,ND,2005,2023,18.0,3,0,75.1138413323208,53.6,681.0,669.4600000000002,0.0,21.5138413323208,669.4600000000002,0
Darcy Wilson,140498200728256,GEN_FWD,18,18,2023,ND,2005,2023,18.0,3,3,71.8911861531599,69.3,990.0,986.6600000000002,108.0,2.591186153159896,878.6600000000002,0
William McCabe,140498200728960,KEY_FWD,19,19,2023,ND,2005,2023,18.0,3,0,64.00983054459857,30.0,701.0,717.3600000000001,0.0,34.00983054459857,717.3600000000001,0
Taylor Goad,140498200729728,RUC,20,20,2023,ND,2005,2023,18.0,3,0,82.41794582452945,43.0,1029.0,1362.4200000000003,0.0,39.417945824529454,1362.4200000000003,0
Charlie Edwards,140498200730368,MID,21,21,2023,ND,2005,2023,18.0,3,0,74.53038399478122,47.5,996.0,998.0800000000002,0.0,27.030383994781218,998.0800000000002,0
Wil Dawson,140498200731008,KEY_DEF,22,22,2023,ND,2005,2023,18.0,3,0,65.8889804772318,44.8,636.0,630.24,0.0,21.0889804772318,630.24,0
Riley Hardeman,140498200731776,GEN_DEF,23,23,2023,ND,2005,2023,18.0,3,1,68.45873433293238,54.8,579.0,545.94,0.0,13.658734332932383,545.94,0
Caiden Cleary,140498200732544,GEN_FWD,24,24,2023,ND,2005,2023,18.0,3,1,62.31562679693448,45.0,576.0,537.7200000000001,0.0,17.31562679693448,537.7200000000001,0
Harry DeMattia,140498200733248,MID,25,25,2023,ND,2005,2023,18.0,3,0,71.85495234019002,0.0,932.0,910.1600000000002,0.0,71.85495234019002,910.1600000000002,0
Will Graham,140498200733696,GEN_FWD,26,26,2023,ND,2005,2023,18.0,3,3,62.225282119894665,62.333333333333336,553.0,519.08,18.0,-0.10805121343867086,501.08000000000004,0
Oscar Ryan,140498200734464,GEN_DEF,27,27,2023,ND,2005,2023,18.0,3,0,67.95990358523795,0.0,551.0,552.9600000000002,0.0,67.95990358523795,552.9600000000002,0
Lance Collard,140498200734912,GEN_FWD,28,28,2023,ND,2005,2023,18.0,3,1,62.80412259852295,30.9,451.0,479.62000000000006,0.0,31.904122598522953,479.62000000000006,0
Ashton Moir,140498200735680,GEN_FWD,29,29,2023,ND,2005,2023,18.0,3,1,62.64933396549665,45.4,451.0,643.0200000000001,0.0,17.249333965496653,643.0200000000001,0
