Player,SC FW4
Errol Gulden,130
Jai Serong,74
Jake Lloyd,103
Dane Rampe,87
Matthew Roberts,69
Tom McCartin,78
Sam Wicks,40
James Rowbottom,64
Justin McInerney,65
Logan McDonald,99
Caiden Cleary,62
Tom Papley,73
Braeden Campbell,62
Angus Sheldrick,79
Hayden McLean,33
Harry Kyle,64
Joel Hamling,51
Brodie Grundy,54
Charlie Curnow,63
Lewis Melican,29
Tom Hanily,65
Billy Cootee,33
Jesse Dattoli,25
Andrew Brayshaw,103
Hayden Young,126
Caleb Serong,102
Shai Bolton,121
Heath Chapman,93
Murphy Reid,74
Jordan Clark,49
Matt Johnson,99
Luke Ryan,65
Neil Erasmus,66
Corey Wagner,81
Isaiah Dudley,110
Luke Jackson,145
Judd McVee,69
Karl Worner,63
Michael Frederick,66
Sam Switkowski,42
Oscar McDonald,73
Jye Amiss,45
Patrick Voss,58
Alex Pearce,51
Josh Treacy,23
Mason Cox,74
Josh Ward,138
Massimo D'Ambrosio,101
Jai Newcombe,83
Dylan Moore,102
Connor MacDonald,75
Nick Watson,122
James Sicily,75
Cameron Mackenzie,36
Harry Morrison,41
Will Day,65
Jack Ginnivan,49
Joshua Weddle,65
Jarman Impey,55
Karl Amon,54
Blake Hardwick,37
Josh Battle,43
Lloyd Meek,104
Jack Gunston,90
Mitchell Lewis,81
Tom Barrass,58
Bailey Macdonald,25
Max Beattie,18
Mabior Chol,23
Will Ashcroft,127
Lachie Neale,119
Hugh McCluggage,123
Dayne Zorko,71
Ryan Lester,78
Conor McKenna,95
Josh Dunkley,88
Zac Bailey,100
Jarrod Berry,73
Jaspa Fletcher,44
Charlie Cameron,78
Cameron Rayner,64
Harris Andrews,89
Eric Hipwood,69
Darcy Wilmot,52
Kai Lohmann,118
Darcy Fort,53
Levi Ashcroft,54
Sam Draper,61
Ty Gallop,67
Logan Morris,58
Oscar Allen,34
Darcy Gardiner,45
