Player,2026 R23
Max Hall,181
Isaac Heeney ,169
Izak Rankine,157
Errol Gulden,151
Jordon Sweet,145
Lachlan Ash,144
Levi Ashcroft,140
Jackson Macrae,140
Max Gawn,139
Bradley Hill,139
Kade Chandler,136
Thomas Liberatore,135
Beau McCreery,135
Ed Richards,134
Connor Idun,134
Chad Warner ,131
Oliver Florent,128
Dayne Zorko,128
Bailey J. Williams,125
Blake Acres,125
Caleb Serong,124
Jarrod Berry,124
Josh Daicos,123
Hugo Garcia,122
Oliver Wines,122
Will Ashcroft,120
Ned Moyle,120
Mark Blicavs,119
Matt Rowell,118
Miles Bergman,118
Nick Haynes ,118
George Hewett,116
Andrew Brayshaw,116
Patrick Cripps,115
Tim Kelly,115
Samuel Swadling,114
Brodie Grundy,114
Zac Bailey,114
Jordan Clark,114
Mitchito Owens,113
Matthew Kennedy,113
Sam Walsh,112
Luke Jackson,111
Cameron Zurhaar,111
Will Setterfield,111
Nick Daicos,110
Lachlan McAndrew,109
Shai Bolton,109
Lachie Whitfield,109
Jack Graham,108
Bayley Fritsch,107
Joe Richards,107
Darcy Wilmot,107
Jordan Dawson,107
Toby Greene,107
Zach Reid,106
Callum Wilkie,105
Jack Silvagni,105
Noah Anderson,105
Ollie Dempsey,104
Dylan Moore,104
Jarman Impey,104
Lawson Humphries,102
Edward Allan,101
Tristan Xerri,101
Jai Newcombe,101
Roan Steele,101
Oisin Mullin,100
Hugh Boxshall,100
Clayton Oliver,100
Rowan Marshall,98
Tom McCarthy,98
Darcy Cameron,98
Josh Dunkley,98
Bailey Smith,98
Jack Steele,98
Shaun Mannagh,98
Harry Morrison,97
Josh Ward,97
Tanner Bruhn,97
Stephen Coniglio,97
Nick Larkey,94
Daniel Turner,94
Billy Wilson,94
Harvey Thomas,94
Tim Taranto,94
Charlie Cameron,93
Jake Bowey,93
Jye Caldwell,92
Nick Bryan,92
Josh Treacy,91
Nick Blakey ,91
Harley Reid,91
John Noble,91
Daniel Butler,91
Jye Amiss,90
Daniel Rioli,90
Marcus Windhager,90
Vigo Visentini,90
Sam Taylor,90
Jason Horne-Francis ,90
Callum Brown,90
Bodhi Uwland,90
Jy Simpkin,89
Tom Atkins,89
Marc Pittonet,89
Harry McKay,89
Aaron Cadman,89
Michael Sellwood,89
Mitchell Lewis,89
Daniel Curtin,89
Archie Roberts,88
Neil Erasmus,87
Jake Lloyd,87
Sam Switkowski,86
Jacob Van Rooyen ,86
Dyson Sharp,86
Josh Battle,86
Cooper Sharman,86
Daniel McStay,85
Jake Lever,85
Logan Morris,85
Zac Banch,85
Luke Ryan,85
Colby McKercher,85
Heath Chapman,84
Milan Murdock,84
Logan McDonald,84
Koltyn Tholstrup,83
Liam Stocker,83
Caleb Daniel,83
Cooper Trembath,82
Jaxon Prior,82
Jack Ross,82
Jacob Weitering,82
Ryan Lester,82
Lachlan Schultz,82
Hugo Ralphsmith,82
Mason Redman,81
Tom Cole,81
Rory Laird,81
Lloyd Meek,81
Karl Worner,80
Karl Amon,80
Eric Hipwood,80
Harris Andrews,80
Tom Sparrow,80
Liam Baker,79
Toby Nankervis,79
Joel Jeffrey,79
Joel Hamling,78
Tylar Young,78
Jayden Short,78
Rory Lobb,78
Mason Cox,78
Andrew McGrath,78
Hayden Young,77
Shannon Neale,77
Sam Clohesy,77
Bailey Laurie,76
Sam Davidson,76
Rhys Unwin,76
Thomas Stewart,76
Harrison Himmelberg,76
Nick Watson,76
Francis Evans,76
Todd Marshall,76
Massimo D'Ambrosio,76
Mark O'Connor,76
Finn O'Sullivan,76
Jagga Smith,75
Jai Serong,75
Mitch Georgiades,74
Adam Cerra,74
Elliot Yeo,74
Jack Darling,74
Matthew Jefferson,73
Buku Khamis,73
Mark Keane,73
Oscar McDonald,73
Scott Pendlebury,73
Brayden Cook,73
Tom McDonald,72
Luke Parker,72
Joel Freijah,72
Zachary Merrett,72
Cooper Hynes,72
Jake Waterman,72
Isaac Cumming,72
Jay Polkinghorne,71
Matt Cottrell,71
Connor O'Sullivan,71
Max Kondogiannis,71
Matthew Roberts,71
Kysaiah Pickett,70
Cameron Mackenzie,70
Wil Powell ,70
Jase Burgoyne,70
Riley Thilthorpe,70
Patrick Dangerfield,70
Patrick Retschko,70
Jaspa Fletcher,70
Jake Soligo,70
Dion Prestia,69
Callum Mills,69
Bailey Williams WBD,69
Joel Fitzgerald,69
Trent Rivers,69
Nathan Broad,69
James Sicily,68
Cooper Lord,68
Paul Curtis,68
Zac Taylor,68
Bailey Humphrey,68
Changkuoth Jiath,68
Nick Vlastuin,67
Zach Guthrie,67
Arthur Jones,67
Oscar Allen,67
Tom McCartin,66
Bradley Close,66
Caleb Windsor,66
Darcy Fort,66
Harrison Petty,66
Dane Rampe,66
Blake Hardwick,65
Lachie Neale,65
Conor Stone,65
Angus Hastie,65
Xavier Bamert,65
Ryan Byrnes,65
Joseph Fonti,64
Lachlan Jones,64
Michael Frederick,64
Luke Davies-Uniacke,64
Rhett Bazzo,64
Gryan Miers,63
Nick Madden,63
James Jordon ,63
Jordan De Goey,63
Tom Blamires,63
Ed Langdon,63
Campbell Lake,63
Harry Dean,62
Braeden Campbell,62
Hugo Hall-Kahan,61
Ben Miller,61
Jack Ginnivan,61
Brandon Starcevich,61
Marcus Herbert,61
Noah Answerth,61
Jesse Dattoli,61
Darcy Wilson,61
Charlie Curnow,61
Kieren Briggs,60
Jacob Farrow,60
Matt Johnson,60
Max Gruzewski,60
Mac Andrew,60
Sam Banks,60
Rhylee West,59
Ryley Sanders,59
Sam Lalor ,59
Cameron Rayner,59
Isaac Kako,58
Samuel Collins ,58
Harry Sharp,58
Josh Rachele,58
Tom Brown,58
Wil Dawson,58
Ned Long,58
Dan Houston,58
Will Day,58
Riley Hardeman,57
Ben Keays,57
Aaron Naughton,57
James Borlase,57
Mabior Chol,57
Tobie Travaglia,57
Isaac Quaynor ,56
Jack Higgins,56
Brodie Kemp,56
Mitchell Edwards,56
Chris Scerri,56
Isaiah Dudley,55
Touk Miller,55
Charlie Ballard,55
Samuel Grlj,55
Leo Lombard,55
Riley Bice ,55
Cody Weightman,55
Oliver Henry,55
Mitch McGovern,55
Jack Gunston,55
Tom De Koning,55
Wade Derksen,55
Max Beattie,55
James Worpel ,54
Kyle Langford,54
Mykelti Lefau,54
Lachlan Gulbin,53
Cody Angove,53
Ethan Read,52
Josaia Delana,52
Josh Lai,52
Kye Annand,52
Jack Crisp,52
Harry Rowston,52
Charlie Spargo,52
Will Hayward ,51
Toby McMullin,51
Tom Barrass,51
Max Michalanney,51
Willem Drew,51
Lachlan Bramble,51
Aidan Corr,50
Darcy Fogarty,50
Patrick Voss,50
Harvey Langford,50
Balyn O'Brien,50
Charlie West,50
Archer Day-Wicks,50
Angus Anderson,49
Dante Visentini,49
Ryan Angwin,49
Liam O'Connell,49
Cooper Duff-Tytler,48
Corey Durdin,48
Will Hayes,48
Ben King,48
Griffin Logue,48
Josh Dolan,48
Josh Worrell,48
Luke Nankervis,48
Nate Caddy,47
Dylan Stephens,47
Jhye Clark,47
Tom Gross,47
Joe Berry,46
Harvey Harrison,46
Talor Byrne,46
Jed Walter,46
Tim Membrey,46
Riley Hamilton,45
Bailey Macdonald,45
Jacob Wehr,44
Will Green,44
Jaxon Artemis,44
Luke Kennedy,44
Jack Williams,44
Harrison Ramm,44
Lachlan Cowan,44
Archie Perkins,43
Callum Ah Chee,43
Noah Howes,43
Sam Wicks,42
Tom Papley,42
Ben Ainsworth,42
Billy Frampton,42
Brennan Cox,41
Jack Henry,41
George Wardlaw,40
Nathan O'Driscoll,40
Joshua Weddle,40
Taj Hotton,40
Seth Campbell,40
Connor MacDonald,40
Peter Wright,39
James O'Donnell,38
Charlie Comben,38
Judson Clarke,38
Josh Lindsay,38
Sam Berry,38
Christian Salem,38
Liam Duggan,37
Mattaes Phillipou,37
Hamish Davis,36
Brady Hough,35
Jake Rogers,35
Alix Tauru,35
Tom Lynch,34
Christian Petracca ,34
Luke Trainor,33
Tom Anastasopoulos,33
Ben Long,33
Lachie Jaques,32
Jake Stringer,31
Conor McKenna,30
Daniel Annable,30
Harry Kyle,29
Billy Cootee,29
Jobe Shanahan,28
Kai Lohmann,28
Beau Addinsall,28
Alex Van Wyk,28
Darcy Gardiner,26
James Peatling ,26
Sam Draper,24
Steely Green,24
Angus Clarke,23
Harrison Jones,22
Jack Whitlock,20
Willem Duursma,20
Toby Murray,19
Mitch Zadow,16
Lachlan Carmichael,13
Liam Puncher,12
Louis Emmett,11
Jordan Croft,11
Harry Armstrong,6
Alex Pearce,3
