CONTROL B1 (canonical 8aed420a, 7147 builder): pooled peak N=4 R=160; per-cohort rises 17/17
cohort 2004: peakN=5 R={1:100, 2:139, 3:168, 4:175, 5:190, 6:168, 7:146}
cohort 2005: peakN=4 R={1:100, 2:145, 3:148, 4:203, 5:185, 6:179, 7:157}
cohort 2006: peakN=5 R={1:100, 2:142, 3:159, 4:178, 5:180, 6:172, 7:148}
cohort 2007: peakN=5 R={1:100, 2:133, 3:128, 4:140, 5:166, 6:155, 7:135}
cohort 2008: peakN=4 R={1:100, 2:134, 3:181, 4:197, 5:177, 6:158, 7:139}
cohort 2009: peakN=2 R={1:100, 2:122, 3:111, 4:114, 5:117, 6:104, 7:91}
cohort 2010: peakN=4 R={1:100, 2:143, 3:160, 4:178, 5:169, 6:153, 7:130}
cohort 2011: peakN=4 R={1:100, 2:136, 3:167, 4:192, 5:187, 6:174, 7:142}
cohort 2012: peakN=4 R={1:100, 2:123, 3:136, 4:140, 5:135, 6:128, 7:106}
cohort 2013: peakN=5 R={1:100, 2:137, 3:159, 4:192, 5:193, 6:167, 7:129}
cohort 2014: peakN=4 R={1:100, 2:134, 3:156, 4:168, 5:155, 6:149, 7:144}
cohort 2015: peakN=4 R={1:100, 2:126, 3:131, 4:136, 5:135, 6:134, 7:123}
cohort 2016: peakN=4 R={1:100, 2:138, 3:157, 4:183, 5:174, 6:175, 7:152}
cohort 2017: peakN=3 R={1:100, 2:119, 3:125, 4:115, 5:109, 6:105, 7:98}
cohort 2018: peakN=4 R={1:100, 2:126, 3:134, 4:144, 5:139, 6:128, 7:118}
cohort 2019: peakN=5 R={1:100, 2:132, 3:148, 4:162, 5:170, 6:151, 7:135}
cohort 2020: peakN=3 R={1:100, 2:112, 3:118, 4:109, 5:110, 6:110}
