player	pos	year	pick	ageR	v0_v23	v0_v24	pct	ev_v23	ev_v24
Shaun Mannagh	GEN_FWD	2023	36	26	5	239	+4769%	529	529
Shane Yarran	GEN_FWD	2015	60	26	3	128	+3906%	0	3
Greg Clark	MID	2021	62	24	4	128	+3027%	0	3
Nicholas Duigan	GEN_DEF	2010	82	26	6	128	+2189%	0	3
Garrett McDonagh	GEN_DEF	2021	50	25	7	128	+1813%	0	3
Tom Hutchesson	MID	2019	65	24	9	128	+1309%	0	3
Riley Bice	GEN_DEF	2024	41	24	12	164	+1243%	425	425
Nick Hind	GEN_DEF	2018	54	24	11	128	+1087%	0	3
Orren Stephenson	RUC	2011	83	29	57	549	+859%	1	11
Tim Kelly	MID	2017	24	23	71	488	+590%	1611	1611
Billy Cootee	MID	2025	42	23	32	181	+466%	30	82
Matt Jones	GEN_FWD	2012	55	25	23	128	+455%	0	3
Thomas Stewart	GEN_DEF	2016	40	23	38	188	+393%	1014	1014
Dean Towers	GEN_FWD	2012	26	22	99	485	+389%	2	10
Matthew Fuller	GEN_DEF	2013	42	23	38	181	+371%	1	4
Leigh Brown	KEY_FWD	2008	71	26	27	128	+370%	1	3
Jy Farrar	KEY_FWD	2019	60	23	31	140	+352%	22	22
Brett Bewley	GEN_FWD	2018	59	23	32	140	+331%	1	3
Robert Young	GEN_FWD	2018	67	23	32	140	+331%	1	3
William Hayes	GEN_FWD	2018	78	23	32	140	+331%	1	3
Rupert Wills	MID	2015	62	22	49	196	+301%	1	4
Steven Morris	GEN_DEF	2011	58	23	35	140	+298%	1	3
Tory Dickson	GEN_FWD	2011	72	24	33	128	+293%	1	3
Jacob Wehr	GEN_DEF	2020	61	22	67	196	+192%	6	18
Sam Lloyd	GEN_FWD	2013	58	23	48	140	+188%	1	3
Joe Richards	GEN_FWD	2022	48	23	52	140	+170%	851	851
Sam Davidson	GEN_FWD	2024	51	23	52	140	+170%	92	92
Matt Maguire	KEY_DEF	2009	68	25	48	128	+164%	1	3
Alwyn Davey	GEN_FWD	2006	37	22	97	252	+160%	2	5
Shane Tuck	MID	2003	58	22	81	196	+141%	2	4
Shane Thorne	MID	2009	65	22	87	196	+125%	2	4
Nathan Broad	GEN_DEF	2015	65	22	93	196	+111%	9	10
Nicholas Kommer	GEN_DEF	2012	65	22	93	196	+111%	2	4
Marty Hore	GEN_DEF	2018	56	22	95	196	+106%	2	4
Mitchell Hannan	GEN_FWD	2016	46	22	95	196	+106%	2	4
Matthew Parker	GEN_FWD	2018	47	22	96	196	+104%	2	4
Angus Anderson	MID	2025	57	22	96	196	+103%	91	91
Dayne Zorko	GEN_DEF	2011	41	22	100	203	+102%	1001	1001
Tom Highmore	GEN_DEF	2020	47	22	100	196	+96%	2	4
Paul Puopolo	GEN_FWD	2010	78	22	103	196	+90%	2	4
Liam Ryan	GEN_FWD	2017	26	21	264	489	+85%	27	27
Ben Cavarra	GEN_FWD	2018	45	22	106	196	+85%	2	4
Ahmed Saad	GEN_FWD	2011	43	22	110	198	+80%	2	4
Dylan Van Unen	KEY_FWD	2012	54	22	109	196	+80%	2	4
Aidan Johnson	KEY_FWD	2024	68	24	72	128	+79%	39	69
Ben Hudson	RUC	2003	52	24	342	609	+78%	7	12
Darcy Fort	RUC	2018	65	25	336	595	+77%	83	83
Marcus Adams	KEY_DEF	2015	35	22	189	306	+62%	4	6
Bayley Fritsch	GEN_FWD	2017	31	21	264	427	+62%	197	197
Ryan Abbott	RUC	2016	68	25	375	594	+58%	7	12
Chris Bryan	RUC	2004	62	22	395	624	+58%	8	12
Nicholas Naitanui	RUC	2008	2	18	2574	1220	-53%	51	24
Cody Angove	GEN_FWD	2024	24	18	420	640	+52%	240	366
Timothy English	RUC	2016	19	19	1375	676	-51%	2907	2907
Jack Steele	MID	2014	21	19	1063	530	-50%	1551	1551
Zac Giles-Langdon	GEN_FWD	2017	56	22	132	196	+49%	3	4
Matthew Kreuzer	RUC	2007	1	18	2381	1220	-49%	48	24
Oliver Wiltshire	GEN_FWD	2023	61	21	194	288	+48%	54	80
Latrelle Pickett	GEN_FWD	2025	12	20	1052	546	-48%	687	687
Jeromey Webberley	MID	2009	60	21	194	288	+48%	4	6
Cedric Cox	MID	2016	24	19	1012	530	-48%	20	11
Callum Mills	GEN_DEF	2015	3	18	2094	1103	-47%	1709	1709
Andrew Walker	GEN_DEF	2003	2	18	2166	1163	-46%	43	23
Jack Dalton	GEN_FWD	2025	34	18	359	523	+46%	338	400
Lachie Whitfield	GEN_DEF	2012	1	18	2084	1163	-44%	1939	1939
Zeke Uwland	GEN_DEF	2025	2	18	2073	1163	-44%	1976	1976
Hayden Ballantyne	GEN_FWD	2008	21	21	362	521	+44%	7	10
Jevan Phillipou	GEN_FWD	2025	35	18	359	516	+44%	299	429
Andrew McGrath	GEN_DEF	2016	1	18	2047	1163	-43%	1088	1088
Jacob Weitering	KEY_DEF	2015	1	18	1570	895	-43%	1279	1279
Ned Bowman	GEN_FWD	2024	26	18	420	599	+43%	238	339
Luke Jackson	RUC	2019	3	18	2063	1220	-41%	6986	6986
Noah Gown	KEY_FWD	2018	60	18	244	342	+40%	5	7
Tim Hutchison	KEY_FWD	2005	60	18	244	342	+40%	5	7
Lewis Jetta	GEN_FWD	2009	14	20	906	546	-40%	18	11
Matthew Allen	KEY_FWD	2015	61	18	244	340	+40%	5	7
Kyle Archibald	KEY_FWD	2003	61	18	244	340	+40%	5	7
Nick Haynes	GEN_DEF	2011	10	19	907	550	-39%	80	80
Blaine Boekhorst	MID	2014	19	21	383	533	+39%	8	11
Koby Evans	GEN_FWD	2025	38	18	359	497	+38%	296	410
Harrison Himmelberg	GEN_DEF	2015	16	19	892	550	-38%	458	458
Callum Coleman-Jones	KEY_FWD	2017	20	18	486	668	+38%	24	33
Jonathan Giles	RUC	2005	61	18	442	604	+37%	9	12
Harley Bennell	GEN_FWD	2010	2	18	2581	1631	-37%	52	33
Tylah Williams	GEN_FWD	2025	39	18	359	491	+37%	296	404
Izak Rankine	GEN_FWD	2018	3	18	2573	1631	-37%	2357	2357
Jack Billings	GEN_FWD	2013	3	18	2573	1631	-37%	51	33
Jack Martin	GEN_FWD	2012	3	18	2573	1631	-37%	129	82
Colin Sylvia	GEN_FWD	2003	3	18	2573	1631	-37%	51	33
Jordan De Goey	GEN_FWD	2014	6	18	1071	1454	+36%	1600	1600
Oscar Allen	KEY_FWD	2017	21	18	486	656	+35%	184	184
