pick,raw_isotonic_d15_H10,smoothed,delta,delta_pct
1,3000.0,3000,0.0,0.0
2,3000.0,3000,0.0,0.0
3,2816.66,2817,0.34,0.01
4,2732.2,2732,-0.2,-0.01
5,2364.62,2365,0.38,0.02
6,1739.01,1755,15.99,0.92
7,1739.01,1739,-0.01,-0.0
8,1739.01,1739,-0.01,-0.0
9,1739.01,1707,-32.01,-1.84
10,1626.11,1657,30.89,1.9
11,1626.11,1624,-2.11,-0.13
12,1626.11,1583,-43.11,-2.65
13,1520.33,1479,-41.33,-2.72
14,1307.68,1356,48.32,3.7
15,1219.23,1268,48.77,4.0
16,1219.23,1228,8.77,0.72
17,1219.23,1216,-3.23,-0.26
18,1219.23,1202,-17.23,-1.41
19,1207.56,1171,-36.56,-3.03
20,1142.21,1126,-16.21,-1.42
21,1071.28,1073,1.72,0.16
22,1006.82,1020,13.18,1.31
23,954.22,975,20.78,2.18
24,917.86,941,23.14,2.52
25,899.79,918,18.21,2.02
26,895.99,900,4.01,0.45
27,895.99,883,-12.99,-1.45
28,888.08,864,-24.08,-2.71
29,864.97,843,-21.97,-2.54
30,827.89,822,-5.89,-0.71
31,785.14,802,16.86,2.15
32,747.9,784,36.1,4.83
33,747.9,769,21.1,2.82
34,747.9,759,11.1,1.48
35,747.9,752,4.1,0.55
36,747.9,748,0.1,0.01
37,747.9,745,-2.9,-0.39
38,747.9,739,-8.9,-1.19
39,747.9,730,-17.9,-2.39
40,747.9,717,-30.9,-4.13
41,746.56,700,-46.56,-6.24
42,716.72,679,-37.72,-5.26
43,680.24,655,-25.24,-3.71
44,640.59,629,-11.59,-1.81
45,600.96,602,1.04,0.17
46,563.81,574,10.19,1.81
47,530.67,547,16.33,3.08
48,502.13,520,17.87,3.56
49,478.01,495,16.99,3.55
50,457.59,473,15.41,3.37
51,439.9,452,12.1,2.75
52,423.94,434,10.06,2.37
53,408.93,418,9.07,2.22
54,394.39,404,9.61,2.44
55,380.16,392,11.84,3.11
56,366.35,382,15.65,4.27
57,353.29,373,19.71,5.58
58,343.09,366,22.91,6.68
59,343.09,360,16.91,4.93
60,343.09,355,11.91,3.47
61,343.09,351,7.91,2.31
62,343.09,348,4.91,1.43
63,343.09,346,2.91,0.85
64,343.09,345,1.91,0.56
65,343.09,344,0.91,0.27
66,343.09,343,-0.09,-0.03
67,343.09,343,-0.09,-0.03
68,343.09,343,-0.09,-0.03
69,343.09,343,-0.09,-0.03
70,343.09,343,-0.09,-0.03
71,343.09,343,-0.09,-0.03
72,343.09,343,-0.09,-0.03
73,343.09,343,-0.09,-0.03
74,343.09,343,-0.09,-0.03
75,343.09,343,-0.09,-0.03
76,343.09,343,-0.09,-0.03
77,343.09,343,-0.09,-0.03
78,343.09,342,-1.09,-0.32
79,343.09,342,-1.09,-0.32
80,343.09,342,-1.09,-0.32
81,343.09,341,-2.09,-0.61
82,343.09,341,-2.09,-0.61
83,343.09,341,-2.09,-0.61
84,343.09,340,-3.09,-0.9
85,343.09,339,-4.09,-1.19
86,343.09,339,-4.09,-1.19
87,340.87,338,-2.87,-0.84
88,336.27,337,0.73,0.22
89,332.05,336,3.95,1.19
90,328.29,334,5.71,1.74
