key,player,pos,base,fix1,absence,both
bailey-smith,Bailey Smith,MID,5243,5243,4344,4344
darcy-wilmot,Darcy Wilmot,GEN_DEF,4237,3544,4237,3544
connor-rozee,Connor Rozee,MID,2277,2808,2277,2808
connor-macdonald,Connor MacDonald,GEN_FWD,2484,1966,2484,1966
tanner-bruhn,Tanner Bruhn,MID,1079,1089,711,679
reilly-o-brien,Reilly O'Brien,RUC,774,1122,774,1122
peter-ladhams,Peter Ladhams,RUC,458,152,458,152
jamarra-ugle-hagan,Jamarra Ugle-Hagan,KEY_FWD,187,466,187,484
sam-taylor,Sam Taylor,KEY_DEF,1753,2019,1753,2019
hugh-mccluggage,Hugh McCluggage,MID,1627,1890,1627,1890
harrison-jones,Harrison Jones,KEY_FWD,113,329,113,329
logan-mcdonald,Logan McDonald,KEY_FWD,849,849,646,646
nikolas-cox,Nikolas Cox,KEY_FWD,419,391,222,219
aaron-cadman,Aaron Cadman,KEY_FWD,3006,2858,3006,2858
izak-rankine,Izak Rankine,GEN_FWD,2603,2735,2603,2735
connor-idun,Connor Idun,GEN_DEF,1876,1745,1876,1745
luke-ryan,Luke Ryan,GEN_DEF,1620,1751,1620,1751
timothy-english,Timothy English,RUC,3132,3251,3132,3251
matthew-roberts,Matthew Roberts,GEN_DEF,1676,1788,1676,1788
xavier-lindsay,Xavier Lindsay,GEN_DEF,1445,1336,1445,1336
harvey-thomas,Harvey Thomas,GEN_FWD,2400,2291,2400,2291
elijah-hewett,Elijah Hewett,MID,888,997,888,997
charlie-ballard,Charlie Ballard,KEY_DEF,118,222,118,222
lawson-humphries,Lawson Humphries,GEN_DEF,1751,1653,1751,1653
ryley-sanders,Ryley Sanders,MID,3960,3863,3960,3863
mitchell-hinge,Mitchell Hinge,GEN_DEF,463,558,463,558
harry-rowston,Harry Rowston,MID,906,821,906,821
nasiah-wanganeen-milera,Nasiah Wanganeen-Milera,MID,6348,6427,6348,6427
lloyd-meek,Lloyd Meek,RUC,895,970,895,970
harry-edwards,Harry Edwards,KEY_DEF,97,171,97,171
dylan-moore,Dylan Moore,GEN_FWD,1450,1516,1450,1516
adam-cerra,Adam Cerra,MID,1135,1200,1135,1200
brodie-kemp,Brodie Kemp,KEY_FWD,823,887,823,887
sam-marshall,Sam Marshall,MID,1125,1062,1125,1062
brayden-cook,Brayden Cook,MID,754,815,754,815
charlie-curnow,Charlie Curnow,KEY_FWD,1187,1248,1187,1248
jake-bowey,Jake Bowey,GEN_DEF,3219,3159,3219,3159
lachlan-sholl,Lachlan Sholl,MID,228,288,228,288
tom-de-koning,Tom De Koning,RUC,1626,1686,1626,1686
brent-daniels,Brent Daniels,GEN_FWD,1300,1305,1239,1243
nathan-o-driscoll,Nathan O'Driscoll,MID,951,895,951,895
hayden-mclean,Hayden McLean,KEY_FWD,631,576,631,576
brennan-cox,Brennan Cox,KEY_DEF,506,451,506,451
jesse-hogan,Jesse Hogan,KEY_FWD,379,434,379,434
logan-evans,Logan Evans,GEN_DEF,1242,1295,1242,1295
darcy-cameron,Darcy Cameron,RUC,1432,1485,1432,1485
josh-dolan,Josh Dolan,GEN_FWD,445,393,445,393
luke-davies-uniacke,Luke Davies-Uniacke,MID,3256,3204,3256,3204
