name,grp,pick,age,n0,boundary,v0,v1_at_nplus1,delta_SCAR,lvl0,lvl1,par,lvlcurr,proximity,live,on_board
Elijah Tsatas,MID,5,22.0,0,0->1,1181,2163,982,66.67,77.24,78.49,75.68,proj_to_clear,True,True
Lawson Humphries,GEN_DEF,63,23.0,3,3->4,1751,2335,584,75.433,78.562,62.69,79.68,not-live,False,True
Nathan O'Driscoll,MID,28,24.0,3,3->4,951,397,-554,73.382,64.162,78.65,72.84,proj_to_clear,True,True
Bodhi Uwland,GEN_DEF,92,23.0,3,3->4,3072,3622,550,83.01,86.081,67.68,88.12,not-live,False,True
Daniel Turner,KEY_DEF,60,24.0,3,3->4,1615,1156,-459,68.895,65.507,64.38,70.4,not-live,False,True
Joel Freijah,MID,45,21.0,3,3->4,2224,2666,442,74.958,77.15,64.51,78.44,not-live,False,True
Tyler Sonsie,MID,28,23.0,3,3->4,750,324,-426,66.084,55.371,76.37,65.2,not-live,False,True
Shannon Neale,KEY_FWD,35,24.0,3,3->4,2343,1968,-375,69.82,66.899,64.95,71.44,not-live,False,True
Harvey Thomas,GEN_FWD,59,21.0,3,3->4,2400,2763,363,70.233,72.065,61.39,73.18,not-live,False,True
Jake Rogers,GEN_FWD,14,21.0,0,0->1,601,938,337,45.354,55.711,63.76,43.83,completed9,True,True
Ryan Maric,MID,60,22.0,3,3->4,1231,922,-309,70.554,66.646,69.22,71.0,inprog9,True,True
Jordon Sweet,RUC,94,28.0,3,3->4,2052,2349,297,90.745,91.497,72.82,96.72,not-live,False,True
Nate Caddy,KEY_FWD,10,21.0,3,3->4,1727,1437,-290,56.75,54.909,59.23,55.92,not-live,False,True
Matthew Roberts,GEN_DEF,34,23.0,3,3->4,1676,1953,277,74.929,76.607,67.68,77.34,not-live,False,True
Ryan Angwin,MID,19,24.0,3,3->4,434,162,-272,67.005,59.693,80.16,65.43,not-live,False,True
Caleb Windsor,MID,7,21.0,3,3->4,1678,1408,-270,61.933,57.648,73.58,59.25,not-live,False,True
Jack Williams,KEY_FWD,57,23.0,3,3->4,558,295,-263,51.993,50.12,61.46,50.95,not-live,False,True
Neil Erasmus,MID,10,23.0,3,3->4,800,565,-235,66.171,62.864,82.11,64.86,not-live,False,True
Shaun Mannagh,GEN_FWD,36,29.0,3,3->4,519,749,230,72.87,77.995,61.39,76.7,not-live,False,True
Nick Watson,GEN_FWD,5,21.0,3,3->4,3581,3368,-213,73.617,71.597,67.04,75.81,not-live,False,True
Ryley Sanders,MID,6,21.0,3,3->4,3960,4173,213,84.359,86.59,73.58,87.95,not-live,False,True
Max Gruzewski,KEY_FWD,22,22.0,0,0->1,437,639,202,48.197,55.467,62.04,46.37,proj_to_clear,True,True
Bruce Reville,MID,92,25.0,3,3->4,64,254,190,61.637,57.954,64.51,60.97,not-live,False,True
Harley Reid,MID,1,21.0,3,3->4,3594,3411,-183,84.477,79.848,86.15,84.09,not-live,False,True
Wil Dawson,KEY_DEF,22,21.0,0,0->1,502,684,182,49.252,52.953,59.13,34.42,not-live,False,True
Jase Burgoyne,GEN_DEF,60,23.0,3,3->4,1994,2159,165,76.903,76.575,67.68,79.98,not-live,False,True
Massimo D'Ambrosio,MID,60,23.0,3,3->4,1744,1580,-164,76.988,74.968,74.59,77.79,not-live,False,True
Mitchell Knevitt,MID,25,23.0,0,0->1,191,354,163,55.467,63.129,77.87,46.57,not-live,False,True
Oliver Hollands,GEN_DEF,11,22.0,3,3->4,1494,1339,-155,71.285,68.589,67.91,72.41,inprog9,True,True
Logan Morris,KEY_FWD,31,21.0,3,3->4,3074,2926,-148,65.721,64.643,58.95,67.98,not-live,False,True
Sam Butler,GEN_FWD,23,23.0,0,0->1,105,253,148,50.436,57.716,66.61,51.05,completed9,True,True
Seth Campbell,GEN_FWD,62,22.0,3,3->4,1027,881,-146,66.371,63.496,63.27,67.4,not-live,False,True
Ned Moyle,RUC,60,24.0,0,0->1,1630,1499,-131,75.621,74.673,72.82,80.23,proj_to_clear,True,True
Daniel Annable,MID,6,19.0,0,0->1,1986,1863,-123,62.776,58.582,64.78,40.0,not-live,False,True
Matthew Jefferson,KEY_FWD,15,22.0,0,0->1,575,693,118,47.353,54.087,62.04,40.83,proj_to_clear,True,True
Liam Fawcett,KEY_FWD,43,21.0,0,0->1,554,670,116,50.517,51.807,58.36,36.09,proj_to_clear,True,True
Logan Evans,GEN_DEF,60,21.0,3,3->4,1242,1355,113,68.667,68.229,62.69,70.66,not-live,False,True
Aaron Cadman,KEY_FWD,1,22.0,3,3->4,3006,2895,-111,65.229,64.373,63.24,65.89,proj_to_clear,True,True
Nick Bryan,RUC,38,25.0,0,0->1,814,924,110,65.786,69.475,74.03,65.08,proj_to_clear,True,True
Hugh Bond,GEN_DEF,50,22.0,0,0->1,225,333,108,54.206,59.829,65.85,51.5,proj_to_clear,True,True
Finnbar Maley,KEY_FWD,66,23.0,0,0->1,259,365,106,49.157,53.009,58.36,42.15,not-live,False,True
Mattaes Phillipou,MID,10,22.0,3,3->4,1056,952,-104,63.432,60.206,76.74,61.53,not-live,False,True
Ollie Dempsey,MID,72,23.0,3,3->4,1740,1637,-103,78.331,76.426,74.59,79.58,not-live,False,True
Joel Amartey,KEY_FWD,98,27.0,3,3->4,143,44,-99,57.141,55.843,64.39,56.49,not-live,False,True
Dante Visentini,RUC,56,23.0,0,0->1,752,849,97,55.85,60.717,68.44,51.32,proj_to_clear,True,True
Xavier Taylor,GEN_DEF,11,19.0,0,0->1,853,759,-94,56.946,55.122,59.5,42.0,not-live,False,True
Colby McKercher,MID,2,21.0,3,3->4,3672,3765,93,80.031,82.459,77.73,80.8,not-live,False,True
Darcy Wilson,GEN_FWD,18,21.0,3,3->4,2389,2296,-93,70.978,69.422,63.76,73.38,not-live,False,True
Jack Dalton,GEN_FWD,34,19.0,0,0->1,564,476,-88,52.552,50.593,55.29,36.5,not-live,False,True
Harry Armstrong,KEY_FWD,23,20.0,0,0->1,906,991,85,43.573,48.185,55.7,25.65,not-live,False,True
William McCabe,KEY_FWD,19,21.0,0,0->1,569,491,-78,56.613,51.713,58.95,30.0,not-live,False,True
Charlie Edwards,MID,21,21.0,0,0->1,716,639,-77,64.83,62.715,67.79,47.5,not-live,False,True
Zak Johnson,GEN_DEF,70,20.0,0,0->1,582,656,74,55.308,57.525,59.1,52.81,completed9,True,True
Brodie Kemp,KEY_FWD,17,25.0,3,3->4,823,749,-74,63.935,64.025,64.98,63.86,not-live,False,True
Jack Buller,KEY_FWD,60,25.0,0,0->1,36,109,73,50.185,54.642,61.46,43.56,completed9,True,True
Kai Lohmann,GEN_FWD,20,23.0,3,3->4,464,391,-73,60.569,60.1,67.92,60.08,not-live,False,True
Harrison Oliver,GEN_DEF,19,20.0,0,0->1,598,528,-70,58.072,56.05,60.9,41.5,not-live,False,True
Lachlan Cowan,GEN_DEF,30,22.0,3,3->4,635,565,-70,63.631,61.676,65.85,63.31,not-live,False,True
Will Hayes,GEN_FWD,56,20.0,0,0->1,299,363,64,49.292,50.744,55.29,37.1,proj_to_clear,True,True
Harrison Ramm,KEY_DEF,60,20.0,0,0->1,310,248,-62,56.212,50.098,59.13,23.0,not-live,False,True
Jesse Motlop,GEN_FWD,27,23.0,3,3->4,155,96,-59,50.852,48.829,66.1,49.84,not-live,False,True
Tom Gross,MID,46,20.0,0,0->1,615,672,57,51.661,53.816,60.07,35.06,not-live,False,True
Charlie West,KEY_FWD,50,20.0,0,0->1,455,398,-57,51.703,48.499,55.11,28.67,not-live,False,True
Matthew Flynn,RUC,41,29.0,3,3->4,693,748,55,76.723,79.45,73.31,77.86,completed9,True,True
Kane McAuliffe,MID,40,21.0,0,0->1,1243,1189,-54,66.923,67.463,64.51,76.33,completed9,True,True
George Wardlaw,MID,4,22.0,3,3->4,3061,3007,-54,81.581,79.811,79.24,82.36,not-live,False,True
James Tunstill,MID,41,23.0,0,0->1,95,149,54,51.764,61.768,74.59,45.5,proj_to_clear,True,True
Jasper Alger,GEN_FWD,58,20.0,0,0->1,339,392,53,50.916,53.213,55.29,46.98,not-live,False,True
Ashton Moir,GEN_FWD,29,21.0,0,0->1,260,311,51,52.006,55.818,61.39,44.85,completed9,True,True
Luker Kentfield,KEY_FWD,60,21.0,0,0->1,322,273,-49,55.104,52.773,58.36,36.0,not-live,False,True
Jedd Busslinger,KEY_DEF,13,22.0,0,0->1,735,784,49,60.39,62.362,62.57,61.98,not-live,False,True
Harvey Johnston,GEN_DEF,49,21.0,0,0->1,287,334,47,50.359,54.861,62.69,38.99,proj_to_clear,True,True
Blake Howes,GEN_DEF,39,23.0,3,3->4,318,271,-47,62.432,59.312,67.68,61.79,not-live,False,True
Jai Murray,MID,17,19.0,0,0->1,1193,1147,-46,58.666,57.991,58.99,55.0,not-live,False,True
Malcolm Rosas,GEN_FWD,82,25.0,3,3->4,86,40,-46,57.216,51.611,67.02,56.5,not-live,False,True
Noah Roberts-Thomson,GEN_FWD,54,19.0,0,0->1,440,395,-45,52.054,51.143,55.29,38.7,not-live,False,True
Malakai Champion,GEN_FWD,92,20.0,0,0->1,338,294,-44,46.719,50.678,55.29,36.84,proj_to_clear,True,True
Joel Jeffrey,GEN_DEF,30,24.0,3,3->4,1646,1604,-42,77.515,76.677,68.41,80.55,not-live,False,True
Harry Kyle,GEN_DEF,14,19.0,0,0->1,914,873,-41,57.922,56.797,59.5,48.7,not-live,False,True
Maurice Rioli,GEN_FWD,53,24.0,3,3->4,82,41,-41,52.733,48.445,67.02,51.98,completed9,True,True
Hussien El Achkar,GEN_FWD,53,19.0,0,0->1,406,367,-39,51.037,50.643,55.29,36.7,not-live,False,True
Xavier Bamert,GEN_FWD,60,19.0,0,0->1,297,259,-38,54.057,51.468,55.29,40.0,not-live,False,True
Cody Curtin,KEY_FWD,43,19.0,0,0->1,729,693,-36,45.786,45.348,50.53,29.8,not-live,False,True
Tom Anastasopoulos,GEN_FWD,48,21.0,0,0->1,309,277,-32,58.346,56.169,61.39,40.5,not-live,False,True
Oliver Hannaford,GEN_FWD,18,20.0,0,0->1,406,375,-31,50.389,50.297,57.66,28.2,not-live,False,True
Josaia Delana,GEN_FWD,92,20.0,0,0->1,212,241,29,48.982,50.151,55.29,34.73,not-live,False,True
Henry Hustwaite,MID,37,22.0,0,0->1,346,374,28,60.506,64.521,69.22,50.42,not-live,False,True
Connor Budarick,GEN_DEF,76,25.0,3,3->4,154,127,-27,64.153,59.7,68.41,63.91,completed9,True,True
Harry O'Farrell,KEY_DEF,40,20.0,0,0->1,854,828,-26,58.372,58.298,59.13,55.8,not-live,False,True
Luke Kennedy,MID,62,20.0,0,0->1,417,391,-26,58.691,55.801,60.07,43.0,not-live,False,True
Tom Cochrane,GEN_FWD,77,20.0,0,0->1,262,237,-25,51.187,50.296,55.29,35.31,not-live,False,True
Jacob Newton,GEN_FWD,60,20.0,0,0->1,150,173,23,49.366,48.289,55.29,27.28,not-live,False,True
Campbell Gray,KEY_DEF,60,23.0,0,0->1,239,260,21,54.05,55.796,59.13,49.04,inprog9,True,True
Cameron Nairn,GEN_FWD,20,19.0,0,0->1,791,772,-19,54.715,53.005,57.11,40.7,not-live,False,True
Tom Edwards,KEY_FWD,92,26.0,0,0->1,58,77,19,50.78,52.621,55.11,45.15,proj_to_clear,True,True
