axis,cohort,n,mean_priced,mean_realised_out,signed_mispricing_m,m_ci_lo,m_ci_hi,verdict,support
position x ageband,"('GEN_DEF', '23-26')",12,3465.0,14.3,-0.207,-0.642,0.188,fair/uncertain,indicative
position x ageband,"('GEN_DEF', '<=22')",1,5385,17.7,1.289,,,fair/uncertain,POOLED/withheld
position x ageband,"('GEN_DEF', '>=27')",30,843.0,11.76,-0.21,-0.877,0.539,fair/uncertain,firm
position x ageband,"('GEN_FWD', '23-26')",14,1857.0,10.96,0.568,0.166,1.011,UNDER,indicative
position x ageband,"('GEN_FWD', '<=22')",5,4079.0,12.7,0.722,-0.187,1.524,fair/uncertain,POOLED/withheld
position x ageband,"('GEN_FWD', '>=27')",29,875.0,10.84,-0.77,-1.447,-0.118,OVER,indicative
position x ageband,"('KEY_DEF', '23-26')",6,2379.0,10.51,-0.189,-0.801,0.383,fair/uncertain,POOLED/withheld
position x ageband,"('KEY_DEF', '<=22')",2,2684.0,3.1,0.226,,,fair/uncertain,POOLED/withheld
position x ageband,"('KEY_DEF', '>=27')",22,598.0,9.59,0.731,-0.254,1.704,fair/uncertain,indicative
position x ageband,"('KEY_FWD', '23-26')",8,3348,15.02,-0.281,-0.99,0.234,fair/uncertain,POOLED/withheld
position x ageband,"('KEY_FWD', '<=22')",2,3488.0,4.7,0.354,,,fair/uncertain,POOLED/withheld
position x ageband,"('KEY_FWD', '>=27')",31,586.0,8.16,0.23,-0.706,1.143,fair/uncertain,firm
position x ageband,"('MID', '23-26')",27,3846.0,18.84,-0.102,-0.487,0.178,fair/uncertain,indicative
position x ageband,"('MID', '<=22')",8,3584.0,4.32,-0.973,-2.229,0.131,fair/uncertain,POOLED/withheld
position x ageband,"('MID', '>=27')",72,937.0,12.31,0.043,-0.398,0.483,fair/uncertain,firm
position x ageband,"('RUC', '23-26')",2,5264,24.52,0.336,,,fair/uncertain,POOLED/withheld
position x ageband,"('RUC', '<=22')",1,1544,7.85,1.725,,,fair/uncertain,POOLED/withheld
position x ageband,"('RUC', '>=27')",28,1139.0,13.74,0.083,-0.612,0.704,fair/uncertain,indicative
ageband,23-26,69,3232.0,15.45,-0.0,-0.213,0.203,fair/uncertain,firm
ageband,<=22,19,3597.0,7.33,0.0,-0.763,0.638,fair/uncertain,indicative
ageband,>=27,212,855.0,11.33,0.0,-0.293,0.293,fair/uncertain,firm
"position (all ages, note runway-mixed)",GEN_DEF,43,1680.0,12.61,-0.175,-0.678,0.351,fair/uncertain,firm
"position (all ages, note runway-mixed)",GEN_FWD,48,1495.0,11.07,-0.224,-0.669,0.299,fair/uncertain,firm
"position (all ages, note runway-mixed)",KEY_DEF,30,1093.0,9.34,0.513,-0.246,1.257,fair/uncertain,firm
"position (all ages, note runway-mixed)",KEY_FWD,41,1266.0,9.33,0.136,-0.564,0.833,fair/uncertain,firm
"position (all ages, note runway-mixed)",MID,107,1869.0,13.36,-0.069,-0.401,0.24,fair/uncertain,firm
"position (all ages, note runway-mixed)",RUC,31,1418.0,14.25,0.153,-0.559,0.818,fair/uncertain,firm
ageband x pickband,"('23-26', '01-06')",14,4850.0,24.08,0.192,-0.042,0.402,fair/uncertain,indicative
