pick,RUC,MID,GEN_DEF,GEN_FWD,KEY_DEF,KEY_FWD
1,1.069,1.0,1.0,1.075,1.0,1.161
2,0.939,1.0,1.0,0.934,1.001,0.942
3,1.0,1.011,1.0,1.0,0.999,0.974
4,1.0,0.989,1.0,1.0,1.0,0.958
5,1.0,1.0,1.0,1.0,1.0,0.994
6,1.08,1.015,1.123,1.057,1.0,1.054
7,1.072,1.006,1.106,1.053,1.0,1.043
8,1.127,0.987,1.063,1.037,1.026,1.017
9,1.114,0.992,1.001,1.044,1.022,1.001
10,1.312,1.0,0.948,0.882,0.987,0.972
11,1.351,1.0,0.948,0.956,0.992,0.976
12,1.34,1.0,0.932,0.999,0.987,0.972
13,1.337,1.0,0.924,1.0,0.987,0.973
14,1.377,1.009,1.015,1.003,1.014,1.013
15,1.259,0.991,0.985,0.997,0.986,0.988
16,1.266,1.0,1.0,1.0,1.0,0.999
17,1.317,1.038,1.015,1.038,1.003,1.027
18,1.298,1.015,0.987,0.996,0.999,1.007
19,0.885,0.975,0.998,0.976,0.998,0.977
20,0.889,0.989,1.0,0.992,1.0,0.99
21,0.819,0.985,1.0,1.0,1.0,1.0
22,0.854,1.0,1.024,1.0,1.001,1.01
23,0.869,1.005,1.06,1.0,1.04,1.022
24,0.901,1.022,1.075,1.071,1.061,1.028
25,0.896,1.002,1.058,1.054,1.045,1.014
26,0.898,1.06,1.063,1.066,1.047,1.016
27,0.869,1.023,0.996,1.0,1.026,0.992
28,0.831,0.949,0.913,0.936,0.978,0.97
29,0.829,0.95,0.918,0.93,0.975,0.968
30,0.832,1.0,0.953,0.964,0.992,0.984
31,0.853,1.014,1.007,1.011,0.965,1.006
32,0.815,0.986,0.978,0.989,0.943,0.994
33,0.82,1.0,0.99,1.0,0.954,1.0
34,1.0,1.025,1.024,1.032,0.992,1.0
35,1.0,1.034,1.034,1.058,1.016,1.004
36,1.02,1.034,1.051,1.081,1.038,1.023
37,1.023,1.036,1.053,1.084,1.033,1.025
38,0.984,0.992,0.995,1.019,1.001,0.993
39,0.974,0.991,0.98,0.967,0.987,0.979
40,1.005,0.97,0.964,0.954,0.98,0.985
41,0.995,0.97,0.967,0.98,0.983,0.994
42,1.001,0.983,0.981,0.995,0.993,1.0
43,0.999,0.981,0.979,0.998,0.983,1.0
44,1.0,0.989,0.987,1.0,0.992,1.0
45,1.003,1.0,0.995,1.013,1.0,1.0
46,1.027,1.031,1.008,1.074,1.025,1.026
47,0.993,1.032,1.009,1.074,1.026,1.026
48,0.979,1.004,0.999,1.034,1.0,1.003
49,1.0,1.004,0.999,1.032,1.0,1.003
50,1.0,1.006,0.999,1.032,1.0,1.003
51,1.001,1.011,1.006,1.032,1.005,1.005
52,0.999,0.992,1.007,1.025,1.002,1.002
53,1.013,0.991,1.007,0.95,0.996,0.999
54,1.016,0.993,1.01,0.95,1.001,1.002
55,0.972,0.942,0.958,0.877,0.977,0.956
56,1.012,1.01,1.018,0.941,1.004,1.002
57,0.993,0.99,0.986,0.88,0.967,0.979
58,1.044,1.014,0.996,1.0,1.0,1.031
59,1.051,1.02,1.0,1.03,1.011,1.032
60,1.096,1.071,1.03,1.056,1.054,1.07
61,1.089,1.071,1.03,1.056,1.054,1.07
62,1.088,1.074,1.032,1.058,1.058,1.061
63,1.088,1.074,1.032,1.058,1.058,1.061
64,0.994,0.96,0.991,0.929,0.96,0.945
65,0.994,0.96,0.988,0.929,0.96,0.945
66,0.99,0.955,0.981,0.916,0.957,0.944
67,0.907,0.955,0.981,1.0,0.974,0.966
68,0.911,0.961,0.982,1.003,0.979,0.97
69,0.917,0.961,0.982,1.003,0.979,0.97
70,0.898,0.955,0.976,0.995,0.975,0.967
