age,set,n_played,n_continue,n_decline,n_exit,n_gap,n_censor_active,n_elite_exit,h_lower,h_lower_ci_lo,h_lower_ci_hi,h_lower_smoothed,h_upper,h_upper_smoothed,dL_mean,dL_mean_ci_lo,dL_mean_ci_hi,dL_mean_smoothed,dL_median,dL_p25,dL_p75,engine_agemult,engine_s_age
29,conditioned,110,54,56,14,5,0,1,0.5091,0.4112,0.5965,0.5116,0.5645,0.5776,-3.089,-4.4322,-1.8278,-3.2676,-3.3442,-8.0094,1.8962,0.76,0.3793
29,unconditioned,218,112,106,49,13,0,2,0.4862,0.4196,0.552,0.4827,0.5805,0.5895,-2.3487,-3.4074,-1.2178,-2.4706,-2.8876,-8.0616,2.1316,0.76,0.3793
30,conditioned,58,27,31,11,5,0,2,0.5345,0.4062,0.6667,0.5122,0.6087,0.5842,-3.7042,-5.5865,-1.9195,-3.3557,-3.4988,-7.9691,0.857,0.73,0.0
30,unconditioned,155,82,73,44,8,0,6,0.471,0.3919,0.5461,0.4859,0.5879,0.5987,-2.4047,-3.7988,-0.9704,-2.5954,-2.3555,-6.8756,1.5623,0.73,0.0
31,conditioned,37,21,16,9,3,1,0,0.4324,0.275,0.5946,0.5179,0.5435,0.5974,-2.8468,-5.5832,-0.1737,-3.5356,-2.4266,-7.5565,1.6614,0.705,0.0
31,unconditioned,105,55,50,35,7,1,0,0.4762,0.3824,0.5769,0.4961,0.6071,0.6169,-2.95,-4.4085,-1.5441,-2.8215,-2.7501,-7.7742,1.6058,0.705,0.0
32,conditioned,26,10,16,6,0,0,2,0.6154,0.4286,0.8077,0.5372,0.6875,0.6238,-4.6651,-7.7106,-1.6342,-3.9229,-5.3954,-8.6976,-1.2958,0.68,0.0
32,unconditioned,70,30,40,26,1,0,5,0.5714,0.4478,0.6812,0.5168,0.6875,0.6472,-3.7024,-5.556,-1.9792,-3.1671,-4.0812,-8.5065,1.3943,0.68,0.0
33,conditioned,7,2,5,4,0,0,1,0.7143,0.3333,1.0,0.5764,0.8182,0.6672,-6.882,-11.6704,-1.6771,-4.649,-7.6919,-11.9541,-3.7633,0.65,0.0
33,unconditioned,35,14,21,26,0,0,1,0.6,0.4474,0.75,0.5467,0.7705,0.6862,-4.7346,-7.7923,-1.6405,-3.5926,-4.2419,-10.0989,-0.0201,0.65,0.0
34,conditioned,3,0,3,1,0,0,0,1.0,1.0,1.0,0.6307,1.0,0.721,-15.2848,-31.4232,-7.0698,-5.7163,-7.3613,,,0.62,0.0
34,unconditioned,17,6,11,11,0,0,0,0.6471,0.4118,0.8636,0.5787,0.7857,0.724,-4.1106,-9.625,0.7321,-4.0026,-5.342,-7.3613,-0.3457,0.62,0.0
35,conditioned,2,1,1,1,0,0,0,0.5,,,0.6783,0.6667,0.7663,-2.48,,,-6.7552,-2.48,,,0.597,0.0
35,unconditioned,7,2,5,4,0,0,0,0.7143,0.3333,1.0,0.6014,0.8182,0.7493,-6.5945,-11.7362,-1.5332,-4.2736,-5.7559,-12.0254,-1.2002,0.597,0.0
36,conditioned,0,0,0,0,0,0,0,,,,0.6912,,0.7823,,,,-7.0996,,,,0.573,0.0
36,unconditioned,3,2,1,2,0,0,0,0.3333,0.0,1.0,0.6024,0.6,0.7546,-0.1018,-4.9048,4.3692,-4.2628,0.2301,,,0.573,0.0
