player,pos,by,age_2025,age_2026,Lo,Lc,gap,sage_engine,s_real,implied_level,measured_level,mispricing_lvlpts
Isaac Heeney,MID,1996,29,30,101.37,109.5,8.13,0.027,0.379,101.37,104.45,3.08
George Hewett,MID,1995,30,31,95.23,107.78,12.55,0.0,0.236,95.23,98.19,2.96
Darcy Cameron,RUC,1995,30,31,98.78,108.15,9.37,0.0,0.236,98.78,100.99,2.21
Tom Atkins,MID,1995,30,31,85.93,95.13,9.19,0.0,0.236,85.93,88.1,2.17
Bailey Dale,GFWD,1996,29,30,94.65,99.96,5.32,0.027,0.379,94.65,96.66,2.01
Max Gawn,RUC,1991,34,35,120.75,125.93,5.19,0.0,-0.359,120.75,118.88,-1.86
Jack Sinclair,GDEF,1995,30,31,104.05,110.78,6.73,0.0,0.236,104.05,105.63,1.59
Marcus Bontempelli,MID,1995,30,31,122.63,128.9,6.28,0.0,0.236,122.63,124.11,1.48
Brodie Grundy,RUC,1994,31,32,112.14,120.19,8.04,0.0,0.061,112.14,112.63,0.49
Elliot Yeo,GDEF,1993,32,33,94.54,101.8,7.27,0.0,-0.061,94.54,94.09,-0.44
Lachie Whitfield,GDEF,1994,31,32,103.12,109.12,6.0,0.0,0.061,103.12,103.48,0.37
Nic Newman,GDEF,1993,32,33,94.31,99.45,5.13,0.0,-0.061,94.31,94.0,-0.31
