stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-5691b6e2d0faf55f8715,Ryley Sanders,MID,3953,2149,-1804,-45.64,28,97,69,7.1542,0.3959,0.599
afl-player-v1-bc6b9ef5332c2f4e8715,Darcy Wilmot,GEN_DEF,4182,2441,-1741,-41.63,23,74,51,12.9111,1.0204,0.6319
afl-player-v1-d4326256dc1cb8e54f15,Nick Watson,GEN_FWD,3537,1842,-1695,-47.92,40,131,91,6.8086,0.8942,0.6017
afl-player-v1-12cdb476c70ab6740733,Will Ashcroft,MID,4957,3560,-1397,-28.18,15,34,19,16.3519,0.9049,0.6294
afl-player-v1-62d2d5acac0d15a15a79,Mac Andrew,KEY_DEF,3872,2491,-1381,-35.67,31,70,39,11.7383,1.6257,0.6305
afl-player-v1-a0647984be62bcc3cab3,Luke Jackson,RUC,8799,7419,-1380,-15.68,1,2,1,37.8922,3.445,0.6469
afl-player-v1-678c7cda11ddaff2aa8a,Finn Callaghan,MID,5663,4434,-1229,-21.7,11,19,8,21.6602,1.1986,0.6306
afl-player-v1-ce22c3da857dc9f69e14,Lachlan Ash,GEN_DEF,5552,4344,-1208,-21.76,12,21,9,26.1556,2.0672,0.6483
afl-player-v1-212726adeb014d2063cf,Sam Berry,MID,3610,2430,-1180,-32.69,38,75,37,11.2654,0.6234,0.6421
afl-player-v1-d12a2f85b92e8396e034,Harry Sheezel,MID,8006,6882,-1124,-14.04,3,4,1,32.9067,1.821,0.6306
afl-player-v1-6b6ba869803850018d0a,Connor MacDonald,GEN_FWD,2462,1371,-1091,-44.31,74,179,105,7.3333,0.9631,0.6422
afl-player-v1-e0445624468b8061dc74,Jake Bowey,GEN_DEF,3521,2448,-1073,-30.47,42,73,31,14.4916,1.1453,0.6324
afl-player-v1-53cf9ea07c8d23470b27,Bodhi Uwland,GEN_DEF,3375,2303,-1072,-31.76,47,88,41,12.4161,0.9813,0.6018
afl-player-v1-25c90ee89147d316c6b8,Nick Daicos,MID,8140,7083,-1057,-12.99,2,3,1,33.5791,1.8582,0.641
afl-player-v1-3a6df4b9ca059308ea0d,Nasiah Wanganeen-Milera,MID,6662,5621,-1041,-15.63,7,10,3,27.9117,1.5446,0.6368
afl-player-v1-1c150e0d509e17a4deac,Jason Horne-Francis,MID,3929,2965,-964,-24.54,29,52,23,15.076,0.8343,0.6419
afl-player-v1-a7b458195fd4ad591d40,Murphy Reid,GEN_FWD,3991,3044,-947,-23.73,25,50,25,12.2684,1.6113,0.5302
afl-player-v1-401083e67cc655ae73fb,Josh Treacy,KEY_FWD,6838,5907,-931,-13.62,6,9,3,27.5651,4.1594,0.642
afl-player-v1-c23c541c8c5162167ffa,Jordan Clark,GEN_DEF,3875,2974,-901,-23.25,30,51,21,19.2006,1.5175,0.648
afl-player-v1-0f0c9d6196abee42b21e,Archie Roberts,GEN_DEF,5062,4165,-897,-17.72,14,24,10,20.665,1.6333,0.5386
afl-player-v1-b256e4d9e5432a4e53a4,Nick Blakey,GEN_DEF,4341,3447,-894,-20.59,21,36,15,22.2959,1.7622,0.6495
afl-player-v1-d7dc302f0061f9c3a6a3,Josh Rachele,GEN_FWD,2123,1239,-884,-41.64,94,199,105,5.6782,0.7458,0.6062
afl-player-v1-deef4fc4d61618986f7c,Kieren Briggs,RUC,2070,1197,-873,-42.17,102,204,102,5.322,0.4838,0.5475
afl-player-v1-65668cce074d71131911,Logan Morris,KEY_FWD,3254,2407,-847,-26.03,51,79,28,3.3955,0.5124,0.3405
afl-player-v1-ab3fe74846e344f27891,Harvey Thomas,GEN_FWD,2312,1468,-844,-36.51,84,168,84,5.4139,0.7111,0.5429
afl-player-v1-a2337d2b6345bdb9ed5e,Riley Thilthorpe,KEY_FWD,4226,3406,-820,-19.4,22,38,16,15.1145,2.2807,0.6323
afl-player-v1-f264b9550d46c3b1d3f6,Tom De Koning,RUC,1983,1164,-819,-41.3,111,207,96,4.3865,0.3988,0.4728
afl-player-v1-413b1edfe188fa8c778c,Reuben Ginbey,KEY_DEF,2812,1996,-816,-29.02,60,115,55,3.8875,0.5384,0.4085
afl-player-v1-4f35404527e341d9abbc,Jack Ginnivan,GEN_FWD,2189,1439,-750,-34.26,87,170,83,8.4328,1.1076,0.6417
afl-player-v1-a0c3571f3dfb3a833c8f,Harley Reid,MID,3468,2727,-741,-21.37,44,61,17,3.625,0.2006,0.3655
afl-player-v1-172361cf97bb47a65030,Hayden Young,MID,2634,1964,-670,-25.44,66,118,52,9.564,0.5292,0.6151
afl-player-v1-308ccebe1548de60b409,Errol Gulden,MID,5926,5258,-668,-11.27,9,14,5,27.4434,1.5186,0.6368
afl-player-v1-248c051e7df555f47a45,Josh Worrell,GEN_DEF,3470,2820,-650,-18.73,43,58,15,17.8841,1.4135,0.6234
afl-player-v1-0eb1e4c909a009f45d6e,Willem Duursma,MID,4342,3710,-632,-14.56,20,31,11,6.3,0.3486,0.31
afl-player-v1-4e4aba980a507c437f78,Aaron Cadman,KEY_FWD,2929,2320,-609,-20.79,59,86,27,3.2052,0.4836,0.3193
afl-player-v1-92c19d79435c34d4b286,Trent Rivers,GEN_DEF,2114,1507,-607,-28.71,96,163,67,3.8721,0.306,0.4156
afl-player-v1-95e6edb27f0d4ea676f1,Chad Warner,MID,2761,2171,-590,-21.37,61,94,33,11.6886,0.6468,0.6467
afl-player-v1-945c3ad0f520c0dd489a,Shannon Neale,KEY_FWD,2409,1824,-585,-24.28,79,133,54,7.2965,1.101,0.604
afl-player-v1-41dcbd971cb800328d08,Max Holmes,MID,6899,6322,-577,-8.36,5,7,2,32.7414,1.8118,0.6462
afl-player-v1-46b344bd8a10773aecd3,Connor Idun,GEN_DEF,2071,1515,-556,-26.85,101,162,61,9.6214,0.7604,0.6468
afl-player-v1-00c3832708c5db482c28,Tom Powell,GEN_FWD,2411,1910,-501,-20.78,78,122,44,3.8506,0.5057,0.4121
afl-player-v1-d8c86c5bdaf14f79a1b2,Bailey J. Williams,RUC,2132,1649,-483,-22.65,93,147,54,1.1032,0.1003,0.1167
afl-player-v1-d06df65863958adcd922,Darcy Wilson,GEN_FWD,2427,1946,-481,-19.82,76,121,45,4.1637,0.5469,0.4175
afl-player-v1-77265b1aa054f910d1c1,Jai Newcombe,MID,4170,3712,-458,-10.98,24,30,6,20.4334,1.1307,0.6423
afl-player-v1-d6e8ec84d8c2b89ba890,Dylan Moore,GEN_FWD,1632,1229,-403,-24.69,144,200,56,7.8945,1.0369,0.6465
afl-player-v1-dbd3e05880424b29dd77,Sam Durham,MID,1748,1357,-391,-22.37,133,183,50,3.8859,0.215,0.416
afl-player-v1-857aa1779d3df97c9dfc,Sam Taylor,KEY_DEF,2036,1648,-388,-19.06,104,149,45,3.6897,0.511,0.3981
afl-player-v1-1e375a8a1f94f8a23dfd,Kysaiah Pickett,GEN_FWD,3867,3510,-357,-9.23,32,35,3,25.0395,3.2886,0.6487
afl-player-v1-db32b01dc9266718b9db,Will Day,MID,3614,3286,-328,-9.08,37,43,6,18.1454,1.0041,0.623
afl-player-v1-12db94dd106d8c37bd22,Jye Caldwell,MID,1448,1136,-312,-21.55,167,214,47,5.7515,0.3183,0.6055
afl-player-v1-970c598ee4fc55acaa39,Caleb Serong,MID,4560,4266,-294,-6.45,19,22,3,24.4491,1.353,0.6477
afl-player-v1-8f3aa1080752eb0e534b,Aaron Naughton,KEY_FWD,1722,1429,-293,-17.02,135,173,38,6.6271,1.0,0.6497
afl-player-v1-6cade3f7f33048badf28,Connor O'Sullivan,KEY_DEF,2996,2705,-291,-9.71,57,63,6,3.2492,0.45,0.2916
afl-player-v1-4a55aae7811189362c4a,Jack Ross,MID,2112,1821,-291,-13.78,97,134,37,10.3441,0.5724,0.6412
afl-player-v1-c6bb2d8cdbc03d55b932,Lloyd Meek,RUC,1269,992,-277,-21.83,189,236,47,1.5824,0.1439,0.1669
afl-player-v1-246485594049e2517cdf,Reilly O'Brien,RUC,1230,983,-247,-20.08,197,238,41,6.2253,0.566,0.6489
afl-player-v1-225c5c03a81a8580efd3,Sam Flanders,MID,2027,1781,-246,-12.14,106,137,31,10.104,0.5591,0.6416
afl-player-v1-02380b2ddf7c0a01c83c,George Wardlaw,MID,3124,2880,-244,-7.81,55,57,2,2.0638,0.1142,0.1935
afl-player-v1-3651e562d369a0c13ec4,Justin McInerney,MID,1884,1643,-241,-12.79,119,151,32,9.4801,0.5246,0.6472
afl-player-v1-286f534d3d1cc573c098,Kane Farrell,GEN_DEF,1598,1363,-235,-14.71,149,181,32,9.3918,0.7423,0.6457
afl-player-v1-762b0db67968a431f13b,Sam Darcy,KEY_FWD,4840,4606,-234,-4.83,16,18,2,19.4733,2.9384,0.5453
afl-player-v1-0161f6e4e64f66732e03,Mark Keane,KEY_DEF,2171,1956,-215,-9.9,88,120,32,9.1897,1.2728,0.5449
afl-player-v1-87c66ca32aae205ac1ce,Kade Chandler,GEN_FWD,1239,1052,-187,-15.09,196,229,33,6.9007,0.9063,0.632
afl-player-v1-6bfc71843f2ecd457c94,Daniel Turner,KEY_DEF,1607,1430,-177,-11.01,148,172,24,4.389,0.6079,0.4341
afl-player-v1-8aeac02b34655edd2291,Gryan Miers,GEN_FWD,1909,1746,-163,-8.54,115,139,24,12.5668,1.6505,0.649
afl-player-v1-109270d490b83c704afb,Tom McCartin,KEY_DEF,1684,1529,-155,-9.2,137,161,24,9.2202,1.277,0.6497
afl-player-v1-87957120b42751e30451,Adam Cerra,MID,1184,1037,-147,-12.42,200,231,31,5.0043,0.2769,0.5418
afl-player-v1-18eaf6797d5fb90f0f52,Jack Lukosius,KEY_FWD,1484,1342,-142,-9.57,160,184,24,3.7798,0.5704,0.4075
afl-player-v1-33f13e3f7a2a5dfdd21c,James Peatling,MID,1389,1254,-135,-9.72,176,198,22,3.1282,0.1731,0.3288
afl-player-v1-b75b9dd65a15a8ffab49,Ben Miller,KEY_DEF,1240,1105,-135,-10.89,195,216,21,5.192,0.7191,0.5503
afl-player-v1-bd42202cb19165646cf4,Izak Rankine,GEN_FWD,3013,2897,-116,-3.85,56,55,-1,21.3172,2.7998,0.6471
afl-player-v1-289911b71c417a06fb30,Nicholas Martin,MID,3339,3224,-115,-3.44,48,46,-2,18.6142,1.0301,0.6327
afl-player-v1-1d1e35bfd48a45849e03,Matt Rowell,MID,3980,3870,-110,-2.76,26,29,3,23.2362,1.2858,0.6416
afl-player-v1-569acef3f5da1997d202,Andrew McGrath,GEN_DEF,1074,968,-106,-9.87,212,241,29,4.3741,0.3457,0.4738
afl-player-v1-55d24843de9c3958ab7b,Mitch Georgiades,KEY_FWD,1403,1301,-102,-7.27,173,189,16,3.9517,0.5963,0.4231
afl-player-v1-e415df5077f164469cba,Dan Houston,GEN_DEF,1248,1151,-97,-7.77,193,209,16,8.3427,0.6594,0.6499
afl-player-v1-9434d7c5b43141a33554,Joel Jeffrey,GEN_DEF,1957,1864,-93,-4.75,112,128,16,2.8449,0.2248,0.2752
afl-player-v1-72c1c11700fc61dae98d,Jase Burgoyne,GEN_DEF,2092,2007,-85,-4.06,99,112,13,2.5401,0.2008,0.2559
afl-player-v1-925ceac71aac412ace23,Tristan Xerri,RUC,7605,7539,-66,-0.87,4,1,-3,44.5208,4.0476,0.6146
afl-player-v1-98009763e49092307d27,Noah Anderson,MID,5132,5074,-58,-1.13,13,15,2,29.4252,1.6283,0.6485
afl-player-v1-a9f80c63a274e4e1bbb3,Charlie Curnow,KEY_FWD,1250,1199,-51,-4.08,192,203,11,4.2534,0.6418,0.4602
afl-player-v1-8614727698f7e9af562e,Marc Pittonet,RUC,506,474,-32,-6.32,362,390,28,2.4405,0.2219,0.2598
afl-player-v1-03ee55a3db4377aa7023,Connor Rozee,MID,2988,2959,-29,-0.97,58,53,-5,17.9964,0.9959,0.6489
afl-player-v1-df9f00b1d0c9ef2defb9,Lachlan McAndrew,RUC,1288,1268,-20,-1.55,185,195,10,8.4823,0.7712,0.3527
afl-player-v1-d246c05d619c36492dce,Josh Daicos,GEN_DEF,2135,2121,-14,-0.66,92,100,8,15.9908,1.2638,0.649
afl-player-v1-6864d3b68960de314967,Zeke Uwland,GEN_DEF,2463,2463,0,0.0,73,72,-1,-33.6,,0.0
afl-player-v1-da27734b8bd79dd7b863,Harry Dean,KEY_DEF,2052,2052,0,0.0,103,104,1,-11.8,,0.0
afl-player-v1-966ce678436f2d41e439,Cooper Duff-Tytler,KEY_FWD,1649,1649,0,0.0,142,148,6,-17.3,,0.0
afl-player-v1-0240af654fa3bcbf3f1e,Dylan Patterson,GEN_DEF,970,970,0,0.0,225,240,15,,,0.0
afl-player-v1-a5b652e10f1562485b41,Daniel Annable,MID,2029,2029,0,0.0,105,107,2,-40.1,,0.0
afl-player-v1-234a98bedf9e30668ee1,Sam Cumming,MID,2119,2119,0,0.0,95,101,6,-18.8,,0.0
afl-player-v1-896343cd9a0c539cb6e0,Samuel Grlj,MID,2374,2374,0,0.0,82,80,-2,-20.3,,0.0
afl-player-v1-b80306d235d7edf322ad,Sullivan Robey,MID,2200,2200,0,0.0,86,92,6,-21.3,,0.0
afl-player-v1-75c7189cf23a00883ccc,Jacob Farrow,GEN_DEF,2245,2245,0,0.0,85,90,5,-7.3,,0.0
afl-player-v1-1f09c43ab0e1bffce94e,Xavier Taylor,GEN_DEF,937,937,0,0.0,231,246,15,-36.3,,0.0
