stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-5691b6e2d0faf55f8715,Ryley Sanders,MID,3953,3579,-374,-9.46,28,38,10,7.1542,0.3959,0.0921
afl-player-v1-d4326256dc1cb8e54f15,Nick Watson,GEN_FWD,3537,3192,-345,-9.75,40,52,12,6.8086,0.8942,0.0926
afl-player-v1-bc6b9ef5332c2f4e8715,Darcy Wilmot,GEN_DEF,4182,3871,-311,-7.44,23,27,4,12.9111,1.0204,0.0972
afl-player-v1-12cdb476c70ab6740733,Will Ashcroft,MID,4957,4718,-239,-4.82,15,18,3,16.3519,0.9049,0.0968
afl-player-v1-62d2d5acac0d15a15a79,Mac Andrew,KEY_DEF,3872,3633,-239,-6.17,31,37,6,11.7383,1.6257,0.097
afl-player-v1-212726adeb014d2063cf,Sam Berry,MID,3610,3408,-202,-5.6,38,43,5,11.2654,0.6234,0.0988
afl-player-v1-a0647984be62bcc3cab3,Luke Jackson,RUC,8799,8607,-192,-2.18,1,1,0,37.8922,3.445,0.0995
afl-player-v1-6b6ba869803850018d0a,Connor MacDonald,GEN_FWD,2462,2276,-186,-7.55,74,83,9,7.3333,0.9631,0.0988
afl-player-v1-678c7cda11ddaff2aa8a,Finn Callaghan,MID,5663,5478,-185,-3.27,11,11,0,21.6602,1.1986,0.097
afl-player-v1-ce22c3da857dc9f69e14,Lachlan Ash,GEN_DEF,5552,5374,-178,-3.21,12,12,0,26.1556,2.0672,0.0997
afl-player-v1-53cf9ea07c8d23470b27,Bodhi Uwland,GEN_DEF,3375,3201,-174,-5.16,47,51,4,12.4161,0.9813,0.0926
afl-player-v1-e0445624468b8061dc74,Jake Bowey,GEN_DEF,3521,3349,-172,-4.88,42,46,4,14.4916,1.1453,0.0973
afl-player-v1-deef4fc4d61618986f7c,Kieren Briggs,RUC,2070,1913,-157,-7.58,102,115,13,5.322,0.4838,0.0842
afl-player-v1-d12a2f85b92e8396e034,Harry Sheezel,MID,8006,7854,-152,-1.9,3,3,0,32.9067,1.821,0.097
afl-player-v1-1c150e0d509e17a4deac,Jason Horne-Francis,MID,3929,3779,-150,-3.82,29,30,1,15.076,0.8343,0.0988
afl-player-v1-d7dc302f0061f9c3a6a3,Josh Rachele,GEN_FWD,2123,1974,-149,-7.02,94,112,18,5.6782,0.7458,0.0933
afl-player-v1-f264b9550d46c3b1d3f6,Tom De Koning,RUC,1983,1837,-146,-7.36,111,128,17,4.3865,0.3988,0.0727
afl-player-v1-3a6df4b9ca059308ea0d,Nasiah Wanganeen-Milera,MID,6662,6517,-145,-2.18,7,7,0,27.9117,1.5446,0.098
afl-player-v1-25c90ee89147d316c6b8,Nick Daicos,MID,8140,8000,-140,-1.72,2,2,0,33.5791,1.8582,0.0986
afl-player-v1-65668cce074d71131911,Logan Morris,KEY_FWD,3254,3120,-134,-4.12,51,54,3,3.3955,0.5124,0.0524
afl-player-v1-413b1edfe188fa8c778c,Reuben Ginbey,KEY_DEF,2812,2679,-133,-4.73,60,64,4,3.8875,0.5384,0.0628
afl-player-v1-c23c541c8c5162167ffa,Jordan Clark,GEN_DEF,3875,3742,-133,-3.43,30,32,2,19.2006,1.5175,0.0997
afl-player-v1-ab3fe74846e344f27891,Harvey Thomas,GEN_FWD,2312,2180,-132,-5.71,84,88,4,5.4139,0.7111,0.0835
afl-player-v1-b256e4d9e5432a4e53a4,Nick Blakey,GEN_DEF,4341,4213,-128,-2.95,21,21,0,22.2959,1.7622,0.0999
afl-player-v1-a0c3571f3dfb3a833c8f,Harley Reid,MID,3468,3343,-125,-3.6,44,47,3,3.625,0.2006,0.0562
afl-player-v1-401083e67cc655ae73fb,Josh Treacy,KEY_FWD,6838,6714,-124,-1.81,6,6,0,27.5651,4.1594,0.0988
afl-player-v1-a2337d2b6345bdb9ed5e,Riley Thilthorpe,KEY_FWD,4226,4103,-123,-2.91,22,24,2,15.1145,2.2807,0.0973
afl-player-v1-0f0c9d6196abee42b21e,Archie Roberts,GEN_DEF,5062,4940,-122,-2.41,14,14,0,20.665,1.6333,0.0829
