stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-d12a2f85b92e8396e034,Harry Sheezel,MID,8006,3060,-4946,-61.78,3,16,13,32.9067,1.821,1.2126
afl-player-v1-25c90ee89147d316c6b8,Nick Daicos,MID,8140,3225,-4915,-60.38,2,14,12,33.5791,1.8582,1.2328
afl-player-v1-401083e67cc655ae73fb,Josh Treacy,KEY_FWD,6838,1959,-4879,-71.35,6,45,39,27.5651,4.1594,1.2345
afl-player-v1-ce22c3da857dc9f69e14,Lachlan Ash,GEN_DEF,5552,1168,-4384,-78.96,12,117,105,26.1556,2.0672,1.2468
afl-player-v1-3a6df4b9ca059308ea0d,Nasiah Wanganeen-Milera,MID,6662,2322,-4340,-65.15,7,30,23,27.9117,1.5446,1.2245
afl-player-v1-0f0c9d6196abee42b21e,Archie Roberts,GEN_DEF,5062,977,-4085,-80.7,14,140,126,20.665,1.6333,1.0358
afl-player-v1-41dcbd971cb800328d08,Max Holmes,MID,6899,2817,-4082,-59.17,5,18,13,32.7414,1.8118,1.2426
afl-player-v1-678c7cda11ddaff2aa8a,Finn Callaghan,MID,5663,1676,-3987,-70.4,11,60,49,21.6602,1.1986,1.2127
afl-player-v1-bc6b9ef5332c2f4e8715,Darcy Wilmot,GEN_DEF,4182,438,-3744,-89.53,23,345,322,12.9111,1.0204,1.2152
afl-player-v1-308ccebe1548de60b409,Errol Gulden,MID,5926,2182,-3744,-63.18,9,35,26,27.4434,1.5186,1.2246
afl-player-v1-b256e4d9e5432a4e53a4,Nick Blakey,GEN_DEF,4341,796,-3545,-81.66,21,180,159,22.2959,1.7622,1.2491
afl-player-v1-12cdb476c70ab6740733,Will Ashcroft,MID,4957,1444,-3513,-70.87,15,86,71,16.3519,0.9049,1.2104
afl-player-v1-1e375a8a1f94f8a23dfd,Kysaiah Pickett,GEN_FWD,3867,402,-3465,-89.6,32,372,340,25.0395,3.2886,1.2476
afl-player-v1-62d2d5acac0d15a15a79,Mac Andrew,KEY_DEF,3872,451,-3421,-88.35,31,331,300,11.7383,1.6257,1.2125
afl-player-v1-a7b458195fd4ad591d40,Murphy Reid,GEN_FWD,3991,670,-3321,-83.21,25,221,196,12.2684,1.6113,1.0196
afl-player-v1-c23c541c8c5162167ffa,Jordan Clark,GEN_DEF,3875,627,-3248,-83.82,30,235,205,19.2006,1.5175,1.2461
afl-player-v1-a2337d2b6345bdb9ed5e,Riley Thilthorpe,KEY_FWD,4226,1074,-3152,-74.59,22,128,106,15.1145,2.2807,1.216
afl-player-v1-762b0db67968a431f13b,Sam Darcy,KEY_FWD,4840,1708,-3132,-64.71,16,57,41,19.4733,2.9384,1.0487
afl-player-v1-e0445624468b8061dc74,Jake Bowey,GEN_DEF,3521,479,-3042,-86.4,42,309,267,14.4916,1.1453,1.2162
afl-player-v1-a0647984be62bcc3cab3,Luke Jackson,RUC,8799,5847,-2952,-33.55,1,4,3,37.8922,3.445,1.244
afl-player-v1-53cf9ea07c8d23470b27,Bodhi Uwland,GEN_DEF,3375,445,-2930,-86.81,47,337,290,12.4161,0.9813,1.1572
afl-player-v1-1c150e0d509e17a4deac,Jason Horne-Francis,MID,3929,1021,-2908,-74.01,29,134,105,15.076,0.8343,1.2345
afl-player-v1-98009763e49092307d27,Noah Anderson,MID,5132,2241,-2891,-56.33,13,33,20,29.4252,1.6283,1.2472
afl-player-v1-248c051e7df555f47a45,Josh Worrell,GEN_DEF,3470,622,-2848,-82.07,43,237,194,17.8841,1.4135,1.1988
afl-player-v1-212726adeb014d2063cf,Sam Berry,MID,3610,787,-2823,-78.2,38,184,146,11.2654,0.6234,1.2348
afl-player-v1-5691b6e2d0faf55f8715,Ryley Sanders,MID,3953,1132,-2821,-71.36,28,121,93,7.1542,0.3959,1.1519
afl-player-v1-970c598ee4fc55acaa39,Caleb Serong,MID,4560,1753,-2807,-61.56,19,55,36,24.4491,1.353,1.2456
afl-player-v1-d4326256dc1cb8e54f15,Nick Watson,GEN_FWD,3537,784,-2753,-77.83,40,185,145,6.8086,0.8942,1.157
afl-player-v1-77265b1aa054f910d1c1,Jai Newcombe,MID,4170,1465,-2705,-64.87,24,84,60,20.4334,1.1307,1.2353
afl-player-v1-bd42202cb19165646cf4,Izak Rankine,GEN_FWD,3013,329,-2684,-89.08,56,432,376,21.3172,2.7998,1.2445
afl-player-v1-c653d76482fdb79e1ef0,Zak Butters,MID,6052,3443,-2609,-43.11,8,7,-1,40.7132,2.253,1.2487
afl-player-v1-1d1e35bfd48a45849e03,Matt Rowell,MID,3980,1579,-2401,-60.33,26,75,49,23.2362,1.2858,1.2338
afl-player-v1-729b0a603a18a0d56369,Bailey Smith,MID,5706,3318,-2388,-41.85,10,11,1,39.8366,2.2045,1.2477
afl-player-v1-f2cb672f595be33fd283,Tom Green,MID,4747,2387,-2360,-49.72,17,24,7,29.4663,1.6306,1.2368
afl-player-v1-6b6ba869803850018d0a,Connor MacDonald,GEN_FWD,2462,126,-2336,-94.88,74,633,559,7.3333,0.9631,1.2349
afl-player-v1-126dfd2722f326d411fd,Callum Wilkie,KEY_DEF,3593,1263,-2330,-64.85,39,110,71,31.2252,4.3247,1.2491
afl-player-v1-65668cce074d71131911,Logan Morris,KEY_FWD,3254,945,-2309,-70.96,51,149,98,3.3955,0.5124,0.6548
afl-player-v1-db32b01dc9266718b9db,Will Day,MID,3614,1307,-2307,-63.84,37,100,63,18.1454,1.0041,1.1981
afl-player-v1-7378cac294e3a212a182,Zac Bailey,GEN_FWD,2621,328,-2293,-87.49,67,434,367,20.8861,2.7431,1.2495
afl-player-v1-413b1edfe188fa8c778c,Reuben Ginbey,KEY_DEF,2812,525,-2287,-81.33,60,286,226,3.8875,0.5384,0.7856
afl-player-v1-00c3832708c5db482c28,Tom Powell,GEN_FWD,2411,214,-2197,-91.12,78,559,481,3.8506,0.5057,0.7925
afl-player-v1-6dc14b7a0d0df05565c8,Shai Bolton,GEN_FWD,2392,336,-2056,-85.95,80,422,342,20.9139,2.7468,1.249
afl-player-v1-4e4aba980a507c437f78,Aaron Cadman,KEY_FWD,2929,877,-2052,-70.06,59,161,102,3.2052,0.4836,0.6141
afl-player-v1-4f35404527e341d9abbc,Jack Ginnivan,GEN_FWD,2189,137,-2052,-93.74,87,624,537,8.4328,1.1076,1.2341
afl-player-v1-95e6edb27f0d4ea676f1,Chad Warner,MID,2761,726,-2035,-73.71,61,204,143,11.6886,0.6468,1.2436
afl-player-v1-6cade3f7f33048badf28,Connor O'Sullivan,KEY_DEF,2996,974,-2022,-67.49,57,141,84,3.2492,0.45,0.5608
afl-player-v1-172361cf97bb47a65030,Hayden Young,MID,2634,646,-1988,-75.47,66,225,159,9.564,0.5292,1.1828
afl-player-v1-289911b71c417a06fb30,Nicholas Martin,MID,3339,1352,-1987,-59.51,48,97,49,18.6142,1.0301,1.2167
afl-player-v1-ab3fe74846e344f27891,Harvey Thomas,GEN_FWD,2312,372,-1940,-83.91,84,393,309,5.4139,0.7111,1.044
afl-player-v1-d7dc302f0061f9c3a6a3,Josh Rachele,GEN_FWD,2123,228,-1895,-89.26,94,542,448,5.6782,0.7458,1.1658
afl-player-v1-d06df65863958adcd922,Darcy Wilson,GEN_FWD,2427,553,-1874,-77.21,76,275,199,4.1637,0.5469,0.8029
afl-player-v1-945c3ad0f520c0dd489a,Shannon Neale,KEY_FWD,2409,560,-1849,-76.75,79,272,193,7.2965,1.101,1.1616
afl-player-v1-92c19d79435c34d4b286,Trent Rivers,GEN_DEF,2114,296,-1818,-86.0,96,462,366,3.8721,0.306,0.7993
afl-player-v1-a79de63b596184ec6aa8,Max Hall,GEN_FWD,2138,326,-1812,-84.75,90,435,345,14.2658,1.8737,1.0355
afl-player-v1-efc436310b95720f2faf,Jack Sinclair,GEN_DEF,3167,1377,-1790,-56.52,53,93,40,34.2377,2.706,1.2499
afl-player-v1-46b344bd8a10773aecd3,Connor Idun,GEN_DEF,2071,293,-1778,-85.85,101,463,362,9.6214,0.7604,1.2439
afl-player-v1-fcb11713300f463bd31a,Josh Battle,KEY_DEF,2390,619,-1771,-74.1,81,240,159,16.2557,2.2514,1.249
afl-player-v1-a0c3571f3dfb3a833c8f,Harley Reid,MID,3468,1699,-1769,-51.01,44,58,14,3.625,0.2006,0.7029
afl-player-v1-02380b2ddf7c0a01c83c,George Wardlaw,MID,3124,1365,-1759,-56.31,55,95,40,2.0638,0.1142,0.3721
afl-player-v1-03ee55a3db4377aa7023,Connor Rozee,MID,2988,1239,-1749,-58.53,58,111,53,17.9964,0.9959,1.2478
afl-player-v1-0161f6e4e64f66732e03,Mark Keane,KEY_DEF,2171,426,-1745,-80.38,88,351,263,9.1897,1.2728,1.0479
afl-player-v1-a9a8e85ed38f1ce4e94f,John Noble,GEN_DEF,2583,843,-1740,-67.36,69,171,102,23.5426,1.8607,1.2476
afl-player-v1-8aeac02b34655edd2291,Gryan Miers,GEN_FWD,1909,189,-1720,-90.1,115,574,459,12.5668,1.6505,1.2481
afl-player-v1-857aa1779d3df97c9dfc,Sam Taylor,KEY_DEF,2036,322,-1714,-84.18,104,440,336,3.6897,0.511,0.7656
afl-player-v1-8386ecd55aded8f8e1ab,Luke Davies-Uniacke,MID,3620,1942,-1678,-46.35,36,46,10,26.9667,1.4923,1.2476
afl-player-v1-d246c05d619c36492dce,Josh Daicos,GEN_DEF,2135,544,-1591,-74.52,92,280,188,15.9908,1.2638,1.2481
afl-player-v1-72c1c11700fc61dae98d,Jase Burgoyne,GEN_DEF,2092,519,-1573,-75.19,99,288,189,2.5401,0.2008,0.4922
afl-player-v1-d6e8ec84d8c2b89ba890,Dylan Moore,GEN_FWD,1632,111,-1521,-93.2,144,650,506,7.8945,1.0369,1.2432
afl-player-v1-9434d7c5b43141a33554,Joel Jeffrey,GEN_DEF,1957,478,-1479,-75.57,112,310,198,2.8449,0.2248,0.5292
afl-player-v1-77a1b0f46d9b5f8726c7,Sam Walsh,MID,2716,1237,-1479,-54.46,63,112,49,18.6571,1.0324,1.249
afl-player-v1-4a55aae7811189362c4a,Jack Ross,MID,2112,640,-1472,-69.7,97,229,132,10.3441,0.5724,1.2332
afl-player-v1-deef4fc4d61618986f7c,Kieren Briggs,RUC,2070,646,-1424,-68.79,102,226,124,5.322,0.4838,1.053
afl-player-v1-b9ea3f3086273085ef4e,Ed Richards,MID,3316,1892,-1424,-42.94,49,48,-1,26.8565,1.4862,1.249
afl-player-v1-28ebd34236fec439fb2f,Hugo Garcia,MID,2598,1210,-1388,-53.43,68,114,46,1.4223,0.0787,0.2513
afl-player-v1-0eb1e4c909a009f45d6e,Willem Duursma,MID,4342,2964,-1378,-31.74,20,17,-3,6.3,0.3486,0.5961
afl-player-v1-225c5c03a81a8580efd3,Sam Flanders,MID,2027,658,-1369,-67.54,106,222,116,10.104,0.5591,1.2339
afl-player-v1-109270d490b83c704afb,Tom McCartin,KEY_DEF,1684,333,-1351,-80.23,137,427,290,9.2202,1.277,1.2494
afl-player-v1-f264b9550d46c3b1d3f6,Tom De Koning,RUC,1983,637,-1346,-67.88,111,232,121,4.3865,0.3988,0.9092
afl-player-v1-dbd3e05880424b29dd77,Sam Durham,MID,1748,448,-1300,-74.37,133,336,203,3.8859,0.215,0.8
afl-player-v1-3651e562d369a0c13ec4,Justin McInerney,MID,1884,584,-1300,-69.0,119,256,137,9.4801,0.5246,1.2446
