# 01c3645d (unpl_eq) -> 06d8af60 (pedestal on v2)  (RL_PVC2=1 board)
# board md5: 01c3645d -> 06d8af60
# pedestal consumer -> _PVC2M; reorders played+unplayed via proj_value sort; v unchanged
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 688 of 804 active

REAL  Archie May                 #458 -> #314 (-144)  v=482  ty=MSD pk=6   unpl=False
REAL  Riley Hardeman             #431 -> #292 (-139)  v=353  ty=ND  pk=23  unpl=False
REAL  Cody Angove                #423 -> #291 (-132)  v=644  ty=ND  pk=24  unpl=False
REAL  Wil Dawson                 #383 -> #254 (-129)  v=498  ty=ND  pk=22  unpl=False
REAL  Caiden Cleary              #427 -> #298 (-129)  v=486  ty=ND  pk=24  unpl=False
REAL  Sam Marshall               #426 -> #301 (-125)  v=926  ty=ND  pk=25  unpl=False
REAL  Darcy Jones                #373 -> #250 (-123)  v=1628 ty=ND  pk=21  unpl=False
REAL  Jesse Dattoli              #394 -> #272 (-122)  v=483  ty=ND  pk=22  unpl=False
REAL  Logan Evans                #467 -> #350 (-117)  v=1264 ty=MSD pk=12  unpl=False
REAL  Sam Davidson               #451 -> #345 (-106)  v=117  ty=ND  pk=51  unpl=False
REAL  Cody Curtin                #362 -> #261 (-101)  v=720  ty=ND  pk=43  unpl=False
REAL  Josh Dolan                 #389 -> #289 (-100)  v=322  ty=ND  pk=31  unpl=False
REAL  Mitchell Edwards           #385 -> #286 ( -99)  v=1855 ty=ND  pk=32  unpl=False
REAL  Cooper Hynes               #339 -> #246 ( -93)  v=1173 ty=ND  pk=20  unpl=False
REAL  Ty Gallop                  #366 -> #274 ( -92)  v=1062 ty=ND  pk=42  unpl=False
REAL  Max Kondogiannis           #387 -> #295 ( -92)  v=516  ty=ND  pk=36  unpl=False
REAL  James Leake                #378 -> #296 ( -82)  v=345  ty=ND  pk=17  unpl=False
REAL  Harry Armstrong            #273 -> #196 ( -77)  v=877  ty=ND  pk=23  unpl=False
REAL  Archer Reid                #424 -> #347 ( -77)  v=871  ty=ND  pk=30  unpl=False
REAL  Lachie Jaques              #322 -> #249 ( -73)  v=860  ty=ND  pk=29  unpl=False
REAL  Harry O'Farrell            #334 -> #262 ( -72)  v=861  ty=ND  pk=40  unpl=False
REAL  Lachlan Cowan              #428 -> #357 ( -71)  v=589  ty=ND  pk=30  unpl=False
REAL  Angus Clarke               #419 -> #351 ( -68)  v=758  ty=ND  pk=39  unpl=False
REAL  Louis Emmett               #226 -> #160 ( -66)  v=917  ty=ND  pk=27  unpl=False
REAL  Joseph Fonti               #335 -> #269 ( -66)  v=781  ty=ND  pk=44  unpl=False
REAL  Luke Trainor               #236 -> #171 ( -65)  v=1413 ty=ND  pk=21  unpl=False
casc  Nikolas Cox                #512 -> #573 ( +61)  v=296  ty=ND  pk=8   unpl=False
REAL  Angus Anderson             #516 -> #455 ( -61)  v=253  ty=ND  pk=57  unpl=False
casc  Darcy Fogarty              #525 -> #586 ( +61)  v=398  ty=ND  pk=12  unpl=False
casc  Jesse Hogan                #511 -> #571 ( +60)  v=464  ty=ND  pk=5   unpl=False
casc  Tom Atkins                 #527 -> #587 ( +60)  v=337  ty=RD  pk=8   unpl=False
casc  Tom Doedee                 #521 -> #580 ( +59)  v=393  ty=ND  pk=17  unpl=False
casc  Jeremy Howe                #517 -> #575 ( +58)  v=308  ty=ND  pk=42  unpl=False
casc  Cameron Rayner             #519 -> #576 ( +57)  v=438  ty=ND  pk=1   unpl=False
casc  Tom McDonald               #531 -> #588 ( +57)  v=360  ty=ND  pk=65  unpl=False
casc  James Worpel               #532 -> #589 ( +57)  v=519  ty=ND  pk=45  unpl=False
REAL  Thomas Sims                #279 -> #224 ( -55)  v=1083 ty=ND  pk=28  unpl=False
REAL  Calsher Dear               #505 -> #450 ( -55)  v=973  ty=ND  pk=56  unpl=False
casc  Sam Powell-Pepper          #535 -> #590 ( +55)  v=301  ty=ND  pk=18  unpl=False
REAL  Hugh Boxshall              #464 -> #410 ( -54)  v=905  ty=ND  pk=45  unpl=False
REAL  Tom Blamires               #499 -> #446 ( -53)  v=82   ty=SSP pk=None unpl=False
REAL  Jack Watkins               #546 -> #493 ( -53)  v=2    ty=RD  pk=3   unpl=False
casc  Charlie Cameron            #549 -> #602 ( +53)  v=267  ty=RD  pk=6   unpl=False
casc  Zach Guthrie               #542 -> #594 ( +52)  v=534  ty=RD  pk=25  unpl=False
casc  Ben Keays                  #545 -> #597 ( +52)  v=412  ty=ND  pk=24  unpl=False
casc  Heath Chapman              #548 -> #600 ( +52)  v=607  ty=ND  pk=14  unpl=False
casc  Elijah Hollands            #541 -> #592 ( +51)  v=872  ty=ND  pk=7   unpl=False
casc  Ben Ainsworth              #555 -> #606 ( +51)  v=278  ty=ND  pk=4   unpl=False
REAL  Sam Clohesy                #508 -> #458 ( -50)  v=296  ty=RD  pk=3   unpl=False
REAL  Hamish Davis               #533 -> #483 ( -50)  v=923  ty=ND  pk=65  unpl=False
REAL  Jasper Alger               #554 -> #504 ( -50)  v=330  ty=ND  pk=58  unpl=False
REAL  Ashton Moir                #457 -> #408 ( -49)  v=278  ty=ND  pk=29  unpl=False
REAL  Lance Collard              #459 -> #411 ( -48)  v=274  ty=ND  pk=28  unpl=False
REAL  Jayden Nguyen              #539 -> #491 ( -48)  v=471  ty=PDN pk=None unpl=False
casc  Darcy Moore                #559 -> #607 ( +48)  v=257  ty=ND  pk=8   unpl=False
casc  Mabior Chol                #560 -> #608 ( +48)  v=341  ty=RD  pk=26  unpl=False
casc  Zachary Williams           #562 -> #610 ( +48)  v=244  ty=PDA pk=None unpl=False
REAL  Christian Moraes           #430 -> #383 ( -47)  v=926  ty=ND  pk=38  unpl=False
casc  Liam Duggan                #498 -> #545 ( +47)  v=437  ty=ND  pk=12  unpl=False
REAL  Michael Sellwood           #514 -> #467 ( -47)  v=87   ty=MSD pk=5   unpl=False
casc  Darcy Byrne-Jones          #492 -> #538 ( +46)  v=346  ty=ND  pk=50  unpl=False
REAL  Brayden George             #495 -> #541 ( +46)  v=319  ty=ND  pk=26  unpl=False
REAL  Jakob Ryan                 #496 -> #542 ( +46)  v=280  ty=ND  pk=28  unpl=False
casc  Rory Lobb                  #497 -> #543 ( +46)  v=391  ty=ND  pk=29  unpl=False
casc  Blake Hardwick             #500 -> #546 ( +46)  v=450  ty=ND  pk=44  unpl=False
REAL  Zak Johnson                #530 -> #484 ( -46)  v=574  ty=ND  pk=70  unpl=False
REAL  Josh Lai                   #538 -> #492 ( -46)  v=358  ty=SSP pk=None unpl=False
casc  Harrison Jones             #566 -> #612 ( +46)  v=338  ty=ND  pk=30  unpl=False
casc  Taylor Walker              #567 -> #613 ( +46)  v=239  ty=ND  pk=64  unpl=False
REAL  Charlie Banfield           #438 -> #393 ( -45)  v=818  ty=ND  pk=41  unpl=False
REAL  Isaiah Dudley              #518 -> #473 ( -45)  v=84   ty=SSP pk=None unpl=False
REAL  Flynn Perez                #526 -> #482 ( -44)  v=13   ty=SSP pk=None unpl=False
casc  James Borlase              #571 -> #615 ( +44)  v=457  ty=PDN pk=None unpl=False
REAL  Rhys Unwin                 #579 -> #535 ( -44)  v=200  ty=ND  pk=61  unpl=False
REAL  Will Lorenz                #608 -> #564 ( -44)  v=409  ty=ND  pk=57  unpl=False
REAL  Josh Lindsay               #166 -> #123 ( -43)  v=2360 ty=ND  pk=19  unpl=False
REAL  Shaun Mannagh              #291 -> #248 ( -43)  v=511  ty=ND  pk=36  unpl=False
casc  Sam Draper                 #488 -> #531 ( +43)  v=944  ty=RD  pk=1   unpl=False
REAL  Noah Long                  #611 -> #568 ( -43)  v=300  ty=ND  pk=57  unpl=False
REAL  Jobe Shanahan              #255 -> #213 ( -42)  v=1588 ty=ND  pk=30  unpl=False
REAL  Billy Cootee               #445 -> #403 ( -42)  v=89   ty=ND  pk=42  unpl=False
casc  Jack Darling               #490 -> #532 ( +42)  v=367  ty=ND  pk=34  unpl=False
REAL  Roan Steele                #540 -> #498 ( -42)  v=23   ty=MSD pk=8   unpl=False
REAL  Bruce Reville              #543 -> #501 ( -42)  v=67   ty=PDA pk=None unpl=False
REAL  Will Hayes                 #551 -> #509 ( -42)  v=310  ty=ND  pk=56  unpl=False
casc  Toby Bedford               #575 -> #617 ( +42)  v=248  ty=ND  pk=75  unpl=False
casc  Beau McCreery              #577 -> #618 ( +41)  v=221  ty=ND  pk=46  unpl=False
REAL  Zac Banch                  #597 -> #556 ( -41)  v=66   ty=MSD pk=2   unpl=False
casc  Ben King                   #484 -> #524 ( +40)  v=428  ty=ND  pk=6   unpl=False
casc  Jarrod Berry               #485 -> #525 ( +40)  v=559  ty=ND  pk=17  unpl=False
casc  Hayden McLean              #487 -> #527 ( +40)  v=586  ty=SSP pk=None unpl=False
casc  Conor Nash                 #581 -> #621 ( +40)  v=344  ty=IRE pk=None unpl=False
casc  Jackson Macrae             #582 -> #622 ( +40)  v=258  ty=ND  pk=8   unpl=False
REAL  Mani Liddy                 #595 -> #555 ( -40)  v=55   ty=MSD pk=16  unpl=False
REAL  Aidan Johnson              #601 -> #561 ( -40)  v=86   ty=ND  pk=68  unpl=False
REAL  Riley Bice                 #284 -> #245 ( -39)  v=473  ty=ND  pk=41  unpl=False
REAL  Billy Wilson               #448 -> #409 ( -39)  v=274  ty=ND  pk=34  unpl=False
REAL  Reece Torrent              #480 -> #519 ( +39)  v=216  ty=ND  pk=64  unpl=False
REAL  Rob Monahan                #481 -> #520 ( +39)  v=175  ty=IRE pk=None unpl=False
REAL  Nathan Wardius             #482 -> #521 ( +39)  v=143  ty=PDA pk=None unpl=False
REAL  Mykelti Lefau              #591 -> #552 ( -39)  v=70   ty=SSP pk=None unpl=False
REAL  Liam O'Connell             #598 -> #559 ( -39)  v=86   ty=IRE pk=None unpl=False
REAL  Jack Whitlock              #278 -> #240 ( -38)  v=1268 ty=ND  pk=33  unpl=False
REAL  Angus Hastie               #439 -> #401 ( -38)  v=303  ty=ND  pk=33  unpl=False
REAL  Talor Byrne                #475 -> #437 ( -38)  v=441  ty=ND  pk=45  unpl=False
REAL  Noah Roberts-Thomson       #513 -> #475 ( -38)  v=487  ty=ND  pk=54  unpl=False
REAL  Lucas Camporeale           #528 -> #490 ( -38)  v=302  ty=ND  pk=54  unpl=False
REAL  Campbell Gray              #552 -> #514 ( -38)  v=272  ty=MSD pk=16  unpl=False
REAL  Hudson O'Keeffe            #585 -> #547 ( -38)  v=378  ty=SSP pk=None unpl=False
REAL  Malakai Champion           #588 -> #550 ( -38)  v=325  ty=PDN pk=None unpl=False
REAL  Flynn Young                #589 -> #551 ( -38)  v=12   ty=MSD pk=4   unpl=False
REAL  Oliver Wiltshire           #620 -> #582 ( -38)  v=102  ty=ND  pk=61  unpl=False
REAL  Oliver Hannaford           #276 -> #239 ( -37)  v=432  ty=ND  pk=18  unpl=False
REAL  Jack Ison                  #477 -> #440 ( -37)  v=492  ty=ND  pk=47  unpl=False
casc  Liam Baker                 #478 -> #515 ( +37)  v=655  ty=RD  pk=16  unpl=False
REAL  Hussien El Achkar          #507 -> #470 ( -37)  v=481  ty=ND  pk=53  unpl=False
REAL  Campbell Chesser           #523 -> #560 ( +37)  v=412  ty=ND  pk=14  unpl=False
REAL  Oliver Hayes-Brown         #574 -> #537 ( -37)  v=330  ty=UNR pk=None unpl=False
REAL  Tom Edwards                #590 -> #553 ( -37)  v=57   ty=SSP pk=None unpl=False
REAL  Jacob Newton               #594 -> #557 ( -37)  v=149  ty=MSD pk=9   unpl=False
REAL  Tom Cochrane               #602 -> #565 ( -37)  v=252  ty=RD  pk=6   unpl=False
REAL  Jack Williams              #667 -> #630 ( -37)  v=561  ty=ND  pk=57  unpl=False
REAL  Zane Zakostelsky           #493 -> #457 ( -36)  v=620  ty=ND  pk=51  unpl=False
REAL  Patrick Retschko           #515 -> #479 ( -36)  v=829  ty=RD  pk=9   unpl=False
REAL  Will Lewis                 #570 -> #534 ( -36)  v=10   ty=SSP pk=None unpl=False
casc  Jack Graham                #587 -> #623 ( +36)  v=572  ty=ND  pk=53  unpl=False
REAL  Jack Henderson             #603 -> #567 ( -36)  v=4    ty=SSP pk=None unpl=False
casc  Jarrod Witts               #476 -> #511 ( +35)  v=466  ty=ND  pk=81  unpl=False
REAL  Josaia Delana              #583 -> #548 ( -35)  v=203  ty=PDA pk=None unpl=False
REAL  Lachlan Gulbin             #584 -> #549 ( -35)  v=308  ty=PDA pk=None unpl=False
REAL  Wil Parker                 #604 -> #569 ( -35)  v=34   ty=UNR pk=None unpl=False
REAL  Saad El-Hawli              #605 -> #570 ( -35)  v=22   ty=MSD pk=13  unpl=False
REAL  Jack Hutchinson            #609 -> #574 ( -35)  v=72   ty=MSD pk=3   unpl=False
REAL  James Trezise              #612 -> #577 ( -35)  v=181  ty=MSD pk=12  unpl=False
REAL  Luke Cleary                #663 -> #628 ( -35)  v=87   ty=ND  pk=61  unpl=False
