# 270a2c5f (ACT-2 baseline) -> 01c3645d (unpl_eq on v2)  (RL_PVC2=1 board)
# board md5: 270a2c5f -> 01c3645d
# unpl_eq consumer -> _PVC2M; reorders via proj_value sort; displayed v (ev) unchanged
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 469 of 804 active

REAL  Will Darcy                 #445 -> #324 (-121)  v=549  ty=ND  pk=58  unpl=True
REAL  Fred Rodriguez             #440 -> #327 (-113)  v=494  ty=RD  pk=1   unpl=True
REAL  Riley Onley                #441 -> #329 (-112)  v=438  ty=RD  pk=2   unpl=True
REAL  Leon Kickett               #436 -> #331 (-105)  v=367  ty=RD  pk=4   unpl=True
REAL  Ollie Greeves              #437 -> #333 (-104)  v=525  ty=RD  pk=5   unpl=True
REAL  Nick Driscoll              #438 -> #337 (-101)  v=552  ty=RD  pk=6   unpl=True
casc  Kyle Langford              #319 -> #416 ( +97)  v=667  ty=ND  pk=18  unpl=False
casc  Matthew Kennedy            #320 -> #417 ( +97)  v=687  ty=ND  pk=13  unpl=False
REAL  Jhye Clark                 #321 -> #418 ( +97)  v=613  ty=ND  pk=8   unpl=False
REAL  Angus Clarke               #323 -> #419 ( +96)  v=758  ty=ND  pk=39  unpl=False
REAL  Max Michalanney            #324 -> #420 ( +96)  v=569  ty=ND  pk=17  unpl=False
casc  Bailey Williams            #325 -> #421 ( +96)  v=646  ty=ND  pk=48  unpl=False
casc  James Rowbottom            #326 -> #422 ( +96)  v=930  ty=ND  pk=25  unpl=False
REAL  Cody Angove                #327 -> #423 ( +96)  v=644  ty=ND  pk=24  unpl=False
REAL  Archer Reid                #328 -> #424 ( +96)  v=871  ty=ND  pk=30  unpl=False
casc  Mitchell Lewis             #329 -> #425 ( +96)  v=688  ty=ND  pk=75  unpl=False
REAL  Sam Marshall               #330 -> #426 ( +96)  v=926  ty=ND  pk=25  unpl=False
REAL  Caiden Cleary              #331 -> #427 ( +96)  v=486  ty=ND  pk=24  unpl=False
REAL  Lachlan Cowan              #332 -> #428 ( +96)  v=589  ty=ND  pk=30  unpl=False
REAL  Matthew Jefferson          #333 -> #429 ( +96)  v=576  ty=ND  pk=15  unpl=False
REAL  Luke Urquhart              #493 -> #397 ( -96)  v=294  ty=ND  pk=57  unpl=True
REAL  Christian Moraes           #336 -> #430 ( +94)  v=926  ty=ND  pk=38  unpl=False
REAL  Tyler Welsh                #458 -> #364 ( -94)  v=243  ty=ND  pk=59  unpl=True
casc  Jack Silvagni              #316 -> #409 ( +93)  v=677  ty=ND  pk=53  unpl=False
REAL  Riley Hardeman             #338 -> #431 ( +93)  v=353  ty=ND  pk=23  unpl=False
casc  Jamarra Ugle-Hagan         #339 -> #432 ( +93)  v=420  ty=ND  pk=1   unpl=False
casc  Adam Saad                  #340 -> #433 ( +93)  v=669  ty=RD  pk=23  unpl=False
REAL  Elijah Hewett              #341 -> #434 ( +93)  v=841  ty=ND  pk=14  unpl=False
casc  Tom Sparrow                #343 -> #436 ( +93)  v=887  ty=ND  pk=27  unpl=False
REAL  Patrick Said               #491 -> #398 ( -93)  v=201  ty=ND  pk=60  unpl=True
casc  Jake Lever                 #345 -> #437 ( +92)  v=577  ty=ND  pk=15  unpl=False
REAL  Charlie Banfield           #346 -> #438 ( +92)  v=818  ty=ND  pk=41  unpl=False
REAL  Angus Hastie               #347 -> #439 ( +92)  v=303  ty=ND  pk=33  unpl=False
REAL  Neil Erasmus               #349 -> #440 ( +91)  v=737  ty=ND  pk=10  unpl=False
casc  Matthew Flynn              #351 -> #441 ( +90)  v=717  ty=ND  pk=41  unpl=False
casc  Ollie Dempsey              #353 -> #442 ( +89)  v=1864 ty=RD  pk=8   unpl=False
REAL  Matthew LeRay              #408 -> #319 ( -89)  v=497  ty=ND  pk=56  unpl=True
REAL  Jaren Carr                 #487 -> #399 ( -88)  v=245  ty=ND  pk=63  unpl=True
casc  Brodie Kemp                #356 -> #443 ( +87)  v=852  ty=ND  pk=17  unpl=False
casc  Will Brodie                #314 -> #400 ( +86)  v=1019 ty=ND  pk=9   unpl=False
casc  Nick Larkey                #358 -> #444 ( +86)  v=739  ty=ND  pk=72  unpl=False
REAL  Billy Cootee               #359 -> #445 ( +86)  v=89   ty=ND  pk=42  unpl=False
casc  Dion Prestia               #360 -> #446 ( +86)  v=472  ty=ND  pk=10  unpl=False
casc  Christian Salem            #361 -> #447 ( +86)  v=598  ty=ND  pk=9   unpl=False
casc  Sam De Koning              #309 -> #393 ( +84)  v=1234 ty=ND  pk=19  unpl=False
REAL  Jesse Dattoli              #310 -> #394 ( +84)  v=483  ty=ND  pk=22  unpl=False
REAL  Billy Wilson               #364 -> #448 ( +84)  v=274  ty=ND  pk=34  unpl=False
casc  Charlie Comben             #365 -> #449 ( +84)  v=746  ty=ND  pk=31  unpl=False
casc  Alex Neal-Bullen           #366 -> #450 ( +84)  v=534  ty=ND  pk=40  unpl=False
REAL  Sam Davidson               #367 -> #451 ( +84)  v=117  ty=ND  pk=51  unpl=False
casc  Jayden Laverde             #368 -> #452 ( +84)  v=528  ty=ND  pk=20  unpl=False
REAL  Kane McAuliffe             #369 -> #453 ( +84)  v=1357 ty=ND  pk=40  unpl=False
casc  Oliver Wines               #370 -> #454 ( +84)  v=513  ty=ND  pk=10  unpl=False
casc  Marcus Windhager           #372 -> #456 ( +84)  v=1813 ty=ND  pk=47  unpl=False
REAL  Ashton Moir                #373 -> #457 ( +84)  v=278  ty=ND  pk=29  unpl=False
REAL  Josh Dolan                 #306 -> #389 ( +83)  v=322  ty=ND  pk=31  unpl=False
REAL  Seth Campbell              #308 -> #391 ( +83)  v=957  ty=RD  pk=4   unpl=False
REAL  Archie May                 #375 -> #458 ( +83)  v=482  ty=MSD pk=6   unpl=False
REAL  Mitchell Edwards           #303 -> #385 ( +82)  v=1855 ty=ND  pk=32  unpl=False
REAL  Max Kondogiannis           #305 -> #387 ( +82)  v=516  ty=ND  pk=36  unpl=False
REAL  Lance Collard              #377 -> #459 ( +82)  v=274  ty=ND  pk=28  unpl=False
REAL  Hugo Hall-Kahan            #378 -> #296 ( -82)  v=107  ty=MSD pk=11  unpl=False
REAL  Zac Walker                 #432 -> #350 ( -82)  v=240  ty=MSD pk=12  unpl=False
REAL  Caleb Lewis                #433 -> #351 ( -82)  v=219  ty=MSD pk=14  unpl=False
REAL  Noah Howes                 #434 -> #352 ( -82)  v=285  ty=MSD pk=15  unpl=False
casc  Jack Buckley               #301 -> #382 ( +81)  v=737  ty=PDN pk=None unpl=False
REAL  Wil Dawson                 #302 -> #383 ( +81)  v=498  ty=ND  pk=22  unpl=False
casc  Brayden Fiorini            #379 -> #460 ( +81)  v=321  ty=ND  pk=20  unpl=False
REAL  Harrison Ramm              #402 -> #321 ( -81)  v=322  ty=MSD pk=3   unpl=False
REAL  Kye Annand                 #380 -> #300 ( -80)  v=188  ty=MSD pk=2   unpl=False
REAL  Xavier Bamert              #381 -> #301 ( -80)  v=280  ty=MSD pk=5   unpl=False
REAL  Campbell Lake              #382 -> #302 ( -80)  v=148  ty=MSD pk=7   unpl=False
REAL  Lukas Cooke                #383 -> #303 ( -80)  v=188  ty=MSD pk=11  unpl=False
REAL  Marcus Herbert             #384 -> #304 ( -80)  v=35   ty=MSD pk=13  unpl=False
REAL  Joel Fitzgerald            #385 -> #305 ( -80)  v=110  ty=MSD pk=16  unpl=False
REAL  Mitch Podhajski            #386 -> #306 ( -80)  v=31   ty=MSD pk=17  unpl=False
REAL  Zac McCarthy               #387 -> #307 ( -80)  v=385  ty=ND  pk=55  unpl=True
REAL  Jaxon Artemis              #389 -> #309 ( -80)  v=380  ty=MSD pk=1   unpl=False
REAL  Oliver Francou             #390 -> #310 ( -80)  v=410  ty=MSD pk=3   unpl=False
REAL  Flynn Riley                #391 -> #311 ( -80)  v=620  ty=MSD pk=4   unpl=False
REAL  Oliver Griffin             #392 -> #312 ( -80)  v=229  ty=MSD pk=6   unpl=False
REAL  Harrison Coe               #393 -> #313 ( -80)  v=254  ty=MSD pk=8   unpl=False
REAL  Caleb May                  #394 -> #314 ( -80)  v=620  ty=MSD pk=9   unpl=False
REAL  Max Beattie                #395 -> #315 ( -80)  v=53   ty=MSD pk=12  unpl=False
REAL  Alex Van Wyk               #396 -> #316 ( -80)  v=620  ty=MSD pk=14  unpl=False
REAL  Liam Puncher               #397 -> #317 ( -80)  v=170  ty=MSD pk=15  unpl=False
REAL  Max Mapley                 #398 -> #318 ( -80)  v=620  ty=MSD pk=18  unpl=False
REAL  Vigo Visentini             #451 -> #371 ( -80)  v=326  ty=RD  pk=6   unpl=False
REAL  Joe Pike                   #452 -> #372 ( -80)  v=480  ty=RD  pk=11  unpl=True
REAL  Cody Anderson              #488 -> #408 ( -80)  v=196  ty=ND  pk=64  unpl=True
REAL  Reece Torrent              #560 -> #480 ( -80)  v=216  ty=ND  pk=64  unpl=False
REAL  Jacob Moss                 #447 -> #368 ( -79)  v=278  ty=UNR pk=None unpl=False
REAL  Jaime Uhr-Henry            #448 -> #369 ( -79)  v=480  ty=UNR pk=None unpl=False
REAL  Iliro Smit                 #449 -> #370 ( -79)  v=308  ty=MSD pk=10  unpl=False
REAL  James Leake                #300 -> #378 ( +78)  v=345  ty=ND  pk=17  unpl=False
REAL  Luke Kennedy               #470 -> #392 ( -78)  v=433  ty=ND  pk=62  unpl=False
REAL  George Stevens             #539 -> #462 ( -77)  v=353  ty=ND  pk=58  unpl=False
REAL  Darcy Jones                #297 -> #373 ( +76)  v=1628 ty=ND  pk=21  unpl=False
casc  Daniel Rioli               #298 -> #374 ( +76)  v=784  ty=ND  pk=15  unpl=False
casc  Jack Viney                 #299 -> #375 ( +76)  v=427  ty=ND  pk=13  unpl=False
REAL  Mitch Zadow                #406 -> #330 ( -76)  v=145  ty=SSP pk=None unpl=False
REAL  Aiden Riddle               #453 -> #377 ( -76)  v=480  ty=RD  pk=3   unpl=True
REAL  Logan Smith                #455 -> #379 ( -76)  v=477  ty=ND  pk=71  unpl=False
REAL  Xavier Walsh               #462 -> #386 ( -76)  v=230  ty=RD  pk=7   unpl=False
REAL  Lennox Hoffman             #486 -> #410 ( -76)  v=275  ty=ND  pk=66  unpl=True
REAL  Luker Kentfield            #414 -> #340 ( -74)  v=380  ty=MSD pk=11  unpl=False
REAL  Kalani White               #415 -> #341 ( -74)  v=291  ty=PDN pk=None unpl=False
REAL  Riley Hamilton             #416 -> #342 ( -74)  v=334  ty=PDA pk=None unpl=False
REAL  Noah Chamberlain           #417 -> #343 ( -74)  v=157  ty=PDA pk=None unpl=False
REAL  Liam Hetherton             #418 -> #344 ( -74)  v=221  ty=PDA pk=None unpl=False
REAL  Jai Saxena                 #419 -> #345 ( -74)  v=229  ty=PDN pk=None unpl=False
REAL  Ryda Luke                  #420 -> #346 ( -74)  v=229  ty=PDN pk=None unpl=False
REAL  Toby Whan                  #421 -> #347 ( -74)  v=229  ty=PDN pk=None unpl=False
REAL  Jesse Mellor               #422 -> #348 ( -74)  v=304  ty=PDN pk=None unpl=False
REAL  Balyn O'Brien              #423 -> #349 ( -74)  v=277  ty=SSP pk=None unpl=False
REAL  Ben Jepson                 #464 -> #390 ( -74)  v=16   ty=SSP pk=None unpl=False
REAL  Leek Aleer                 #388 -> #461 ( +73)  v=287  ty=ND  pk=15  unpl=False
casc  Isaac Quaynor              #288 -> #360 ( +72)  v=579  ty=ND  pk=13  unpl=False
casc  Jack Crisp                 #293 -> #365 ( +72)  v=671  ty=RD  pk=43  unpl=False
REAL  Luke Beecken               #468 -> #396 ( -72)  v=35   ty=MSD pk=17  unpl=False
REAL  River Stevens              #484 -> #412 ( -72)  v=193  ty=ND  pk=67  unpl=True
casc  Scott Pendlebury           #290 -> #361 ( +71)  v=638  ty=ND  pk=5   unpl=False
REAL  Cody Curtin                #291 -> #362 ( +71)  v=720  ty=ND  pk=43  unpl=False
casc  Ed Langdon                 #292 -> #363 ( +71)  v=677  ty=ND  pk=54  unpl=False
REAL  Ty Gallop                  #295 -> #366 ( +71)  v=1062 ty=ND  pk=42  unpl=False
REAL  Ben Murphy                 #424 -> #353 ( -71)  v=277  ty=IRE pk=None unpl=False
REAL  Kobe McDonald              #425 -> #354 ( -71)  v=277  ty=IRE pk=None unpl=False
REAL  Indy Cotton                #426 -> #355 ( -71)  v=277  ty=UNR pk=None unpl=False
REAL  Oscar Berry                #427 -> #356 ( -71)  v=120  ty=UNR pk=None unpl=False
REAL  Patrick Carr               #428 -> #357 ( -71)  v=620  ty=UNR pk=None unpl=False
REAL  Cillian Bourke             #429 -> #358 ( -71)  v=380  ty=IRE pk=None unpl=False
REAL  Riak Andrew                #430 -> #359 ( -71)  v=336  ty=ND  pk=55  unpl=True
REAL  Rob Monahan                #552 -> #481 ( -71)  v=175  ty=IRE pk=None unpl=False
REAL  Nathan Wardius             #553 -> #482 ( -71)  v=143  ty=PDA pk=None unpl=False
REAL  Eamonn Armstrong           #471 -> #401 ( -70)  v=165  ty=IRE pk=None unpl=False
REAL  Cillian Burke              #472 -> #402 ( -70)  v=118  ty=IRE pk=None unpl=False
