Player,2026 R20
Nasiah Wanganeen-Milera,194
Darcy Cameron,154
Ed Richards,149
Hugh McCluggage,149
Jarman Impey,148
Errol Gulden,147
Nick Daicos,144
Will Ashcroft,137
Jason Horne-Francis,135
Brodie Grundy,135
Marcus Herbert,134
Harry Sheezel,132
James Rowbottom,132
Jagga Smith,130
Jy Simpkin,129
Daniel McStay,128
Matt Johnson,127
Zac Bailey,126
Patrick Cripps,126
Sam Walsh,125
Chad Warner,125
Noah Anderson,125
Talor Byrne,123
Thomas Stewart,123
Dayne Zorko,123
Darcy Wilson,123
Josh Ward,122
Nick Vlastuin,122
Jaspa Fletcher,121
Jye Amiss,121
Jack Gunston,119
Caleb Serong,118
Stephen Coniglio,118
Francis Evans,116
Sam Berry,116
Dyson Sharp,115
Bradley Hill,114
Harrison Petty,114
Clayton Oliver,114
Tanner Bruhn ,112
Max Gawn,112
Cameron Mackenzie,111
Connor Idun,111
Jai Newcombe,110
James Sicily,110
George Hewett,108
Harris Andrews,107
Lachlan Ash,106
Josh Worrell,104
Tom De Koning ,104
Shannon Neale,104
Xavier O'Halloran,103
Tim Kelly,103
Tom Atkins,103
Lachlan Bramble,102
Connor O'Sullivan,102
Lloyd Meek,102
Nick Watson,102
Mattaes Phillipou,102
Izak Rankine,101
Zachary Merrett,101
Will Day,100
Murphy Reid,99
Marcus Bontempelli,99
Tom Brown,99
Jake Bowey,99
Lewis Young,98
Mason Wood,97
Jack Silvagni,97
Oliver Florent,97
Hugh Boxshall,97
Shaun Mannagh ,97
Toby Nankervis,97
Nick Blakey,97
Lachlan Cowan,96
Isaac Quaynor,96
Tom McCarthy,96
Bailey Smith,96
Bayley Fritsch,96
Blake Hardwick,95
Jack Ross,95
Timothy English,95
Mac Andrew,95
Michael Sellwood,94
Tom Papley,94
Josh Lai,94
Daniel Curtin,94
Luke Jackson,94
Jack Steele,94
Scott Pendlebury,94
Tom Cole,94
Connor MacDonald,94
Luke Ryan,94
Jayden Short,92
Matt Rowell,92
Taylor Walker,92
Lachlan McAndrew,92
Joel Freijah,92
Blake Acres,92
James O'Donnell,92
Dylan Moore,91
Cooper Lord,91
Josh Dunkley,91
Andrew Brayshaw,91
Luke Parker,91
Brady Hough,91
Max Hall,90
Steele Sidebottom,90
Jordan Dawson,89
Harry Morrison,89
Bailey Humphrey,89
Harrison Himmelberg,88
Callum Mills,88
Jack Ginnivan,88
Nick Madden,88
Billy Wilson,87
Cameron Rayner,87
Dion Prestia,87
Bailey Williams,87
Jake Lever,87
Harley Reid,87
Caleb Daniel,87
Isaac Heeney,86
Bradley Close,86
Finn Callaghan,86
Thomas Liberatore ,86
Rhylee West,85
Josh Dolan,85
Lachie Whitfield,85
Josh Battle,85
Ryan Maric,84
Lachie Neale,84
Braeden Campbell,84
Jack Watkins,84
Jeremy Howe,84
Nathan Broad,83
Dante Visentini,83
Sam Banks,83
Tom Sparrow,83
Oliver Henry,82
Ryan Angwin,82
Patrick Voss,82
Sam Cumming,82
Christian Petracca,82
Noah Mraz,82
Nicholas Coffield,82
Lawson Humphries,81
Callum Wilkie,81
Zach Guthrie,81
Aaron Naughton,81
Nathan O'Driscoll,81
Ty Gallop,80
Kai Lohmann,80
Bailey J. Williams,80
Hugo Garcia,80
Wayne Milera,80
Touk Miller,79
Archie Roberts,79
Bodhi Uwland,78
Isaiah Dudley,78
Ryley Sanders,78
Jack Higgins,78
Dylan Stephens,78
Andrew McGrath,78
Oliver Wiltshire,78
Jordon Sweet,78
Shai Bolton,77
Christian Moraes,77
Luke Nankervis,77
Ryan Lester,77
Oliver Wines,77
Jacob Farrow,77
Corey Durdin,77
Tristan Xerri,77
Riley Thilthorpe,76
Will Hayward,76
Buku Khamis,76
Mason Redman,76
Koltyn Tholstrup,76
Mason Cox,76
Logan Morris,76
Joel Jeffrey,75
Patrick Lipinski,75
Karl Worner,74
Kysaiah Pickett,74
Tim Taranto,74
Willem Drew,74
Nick Haynes,74
Marcus Windhager,73
Jhye Clark,73
Luke Davies-Uniacke,73
Sam Durham,73
Beau McCreery,72
Charlie Comben,72
Liam Stocker,72
Logan Evans,72
Jack Henry,72
Jack Crisp,72
Wade Derksen,72
Tylar Young,72
Jedd Busslinger,72
Blake Howes,71
Mitch Georgiades ,71
Paul Curtis,71
Ed Langdon,70
Ryan Byrnes,70
Jaxon Prior,70
Jake Stringer,70
Max Gruzewski,70
Michael Frederick,70
Jase Burgoyne,69
Miles Bergman,69
Isaac Cumming,69
Aidan Corr,69
Matthew Roberts,69
Mark O'Connor,69
Ben Ainsworth,69
Charlie Cameron,69
Sam Draper,68
Corey Wagner,68
Joshua Weddle,68
Brodie Kemp,68
Charlie Curnow,68
Jack Darling,67
Mitchito Owens,67
Massimo D'Ambrosio,67
James Worpel,67
Trent Rivers,67
Jordan Clark,66
Colby McKercher,66
Aliir Aliir,66
Marc Pittonet ,66
Tim Membrey,65
Rhett Bazzo,65
Peter Wright,65
Alex Neal-Bullen,65
Jordan De Goey,65
Daniel Rioli,65
Darcy Wilmot,65
Liam Duggan,64
Darcy Byrne-Jones,64
Darcy Fort,64
Levi Ashcroft,64
Jack Williams,64
Mitch McGovern,63
Rory Lobb,63
Nate Caddy,63
Josh Daicos ,63
Will Setterfield,63
Jayden Laverde,63
Beau Addinsall,62
Cameron Zurhaar,62
Jarrod Berry,62
Neil Erasmus,62
Ben King,61
Cody Weightman,61
Bailey Laurie,61
Lukas Cooke,61
James Borlase,61
Jake Soligo,61
Edward Allan,61
Harry Kyle,60
Dan Houston,60
Joel Fitzgerald,60
Tom McCartin,59
Milan Murdock,59
Griffin Logue,59
Max Michalanney,59
Brayden Maynard,59
Mark Blicavs,59
Harry Rowston,59
Sullivan Robey,59
Ollie Dempsey,58
James Tunstill,58
Nick Murray,58
Sam Davidson,58
Jake Lloyd,58
Cooper Harvey,58
Samuel Collins,57
Mabior Chol,57
Joseph Fonti,57
Liam Ryan,57
Tyler Sonsie,57
Oscar McDonald,57
Angus Anderson,57
Jai Serong,57
Cooper Trembath,57
Harry Dean,56
Hunter Clark,56
Kade Chandler,56
Willem Duursma,55
Hamish Davis,55
Ben Keays,55
Tom Lynch,55
Luke Trainor,55
Matthew Kennedy,55
Harry Perryman,55
Kye Annand,55
Josh Rachele,55
Toby Bedford,54
Alex Pearce,54
Hugo Hall-Kahan,54
Logan McDonald,54
Angus Clarke,53
Riley Bice,53
Adam Cerra,53
Jay Polkinghorne,53
Billy Cootee,53
Gryan Miers,52
Judd McVee,52
Tom Barrass,52
Nick Larkey,52
Elliot Yeo,52
Mitchell Edwards,52
Mykelti Lefau,52
Anthony Caminiti,51
Todd Marshall,51
Billy Frampton,51
Jai Murray,50
Lachlan Jones,50
Harvey Langford,50
Finn O'Sullivan,50
Bailey Macdonald,49
Jed Walter,49
Patrick Retschko,49
Bo Allan,48
Ollie Greeves,48
