key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
nick-daicos,Nick Daicos,Collingwood,North Melbourne Kangaroos,Mid,18,19,PLAYED,116.0,8652,8689,37,0.43,3,3,0,2,2,0
harry-sheezel,Harry Sheezel,North Melbourne,Carlton Blues,Mid,18,19,PLAYED,133.0,9458,9592,134,1.42,1,1,0,1,1,0
luke-jackson,Luke Jackson,Fremantle,St Kilda Saints,Ruck,18,19,PLAYED,94.0,8731,8700,-31,-0.36,2,2,0,1,1,0
nasiah-wanganeen-milera,Nasiah Wanganeen-Milera,St Kilda,Brisbane Lions,Mid,18,19,PLAYED,57.0,7818,7474,-344,-4.4,4,5,-1,3,3,0
will-ashcroft,Will Ashcroft,Brisbane,Carlton Blues,Mid,18,19,PLAYED,99.0,5986,6023,37,0.62,9,9,0,6,6,0
josh-treacy,Josh Treacy,Fremantle,West Coast Eagles,Key Fwd,18,19,PLAYED,106.0,6223,6349,126,2.02,7,7,0,1,1,0
bailey-smith,Bailey Smith,Geelong,Geelong Cats,Mid,18,19,PLAYED,120.0,5859,5887,28,0.48,10,10,0,7,7,0
max-holmes,Max Holmes,Geelong,Geelong Cats,Mid,18,19,PLAYED,95.0,7176,7200,24,0.33,6,6,0,4,4,0
noah-anderson,Noah Anderson,Gold Coast,Richmond Tigers,Mid,18,19,PLAYED,90.0,5103,4835,-268,-5.25,15,18,-3,10,12,-2
bodhi-uwland,Bodhi Uwland,Gold Coast,Port Adelaide Power,Def,18,19,PLAYED,76.0,3864,3812,-52,-1.35,33,34,-1,4,5,-1
finn-callaghan,Finn Callaghan,GWS,Melbourne Demons,Mid,18,19,PLAYED,79.0,5344,5356,12,0.22,12,12,0,8,8,0
zak-butters,Zak Butters,Port Adelaide,Geelong Cats,Mid,18,19,DNP,DNP,6223,6253,30,0.48,8,8,0,5,5,0
darcy-wilson,Darcy Wilson,St Kilda,Western Bulldogs,Fwd,18,19,PLAYED,91.0,2805,2960,155,5.53,65,61,4,6,5,1
tristan-xerri,Tristan Xerri,North Melbourne,Sydney Swans,Ruck,18,19,PLAYED,78.0,7493,7556,63,0.84,5,4,1,2,2,0
jason-horne-francis,Jason Horne-Francis,Port Adelaide,Geelong Cats,Mid,18,19,DNP,DNP,4905,4930,25,0.51,16,15,1,11,10,1
lachlan-ash,Lachlan Ash,GWS,Melbourne Demons,Def,18,19,PLAYED,67.0,5715,5536,-179,-3.13,11,11,0,1,1,0
