pick,a0.6_flat,a0.8_flat,a1.0_flat,tiered_0.6_to_0.8_by50,lin_0.8_to_1.00_at64,lin_0.9_to_1.05_at64,alpha_a0.6_flat,alpha_a0.8_flat,alpha_a1.0_flat,alpha_tiered_0.6_to_0.8_by50,alpha_lin_0.8_to_1.00_at64,alpha_lin_0.9_to_1.05_at64
1,3000,3000,3000,3000,3000,3000,0.6,0.8,1.0,0.6,0.8,0.9
2,2897,2973,2999,2898,2973,2999,0.6,0.8,1.0,0.6041,0.8032,0.9024
3,2734,2843,2952,2738,2846,2900,0.6,0.8,1.0,0.6082,0.8063,0.9048
4,2310,2408,2509,2316,2413,2462,0.6,0.8,1.0,0.6122,0.8095,0.9071
5,1818,1896,1975,1825,1901,1939,0.6,0.8,1.0,0.6163,0.8127,0.9095
6,1438,1533,1618,1451,1542,1583,0.6,0.8,1.0,0.6204,0.8159,0.9119
7,1437,1532,1617,1450,1541,1582,0.6,0.8,1.0,0.6245,0.819,0.9143
8,1436,1531,1616,1449,1540,1581,0.6,0.8,1.0,0.6286,0.8222,0.9167
9,1360,1457,1543,1377,1468,1509,0.6,0.8,1.0,0.6327,0.8254,0.919
10,1359,1439,1511,1376,1450,1484,0.6,0.8,1.0,0.6367,0.8286,0.9214
11,1358,1438,1510,1375,1449,1483,0.6,0.8,1.0,0.6408,0.8317,0.9238
12,1355,1436,1509,1374,1448,1482,0.6,0.8,1.0,0.6449,0.8349,0.9262
13,1245,1315,1380,1263,1328,1357,0.6,0.8,1.0,0.649,0.8381,0.9286
14,1088,1145,1198,1104,1156,1180,0.6,0.8,1.0,0.6531,0.8413,0.931
15,971,1020,1064,986,1030,1049,0.6,0.8,1.0,0.6571,0.8444,0.9333
16,932,983,1035,950,997,1020,0.6,0.8,1.0,0.6612,0.8476,0.9357
17,931,982,1034,949,996,1019,0.6,0.8,1.0,0.6653,0.8508,0.9381
18,930,981,1033,948,995,1018,0.6,0.8,1.0,0.6694,0.854,0.9405
19,913,980,1032,939,994,1017,0.6,0.8,1.0,0.6735,0.8571,0.9429
20,862,943,1017,895,966,997,0.6,0.8,1.0,0.6776,0.8603,0.9452
21,798,888,969,837,915,949,0.6,0.8,1.0,0.6816,0.8635,0.9476
22,736,831,916,778,860,895,0.6,0.8,1.0,0.6857,0.8667,0.95
23,684,781,868,729,812,847,0.6,0.8,1.0,0.6898,0.8698,0.9524
24,644,741,828,692,774,809,0.6,0.8,1.0,0.6939,0.873,0.9548
25,614,711,797,664,745,779,0.6,0.8,1.0,0.698,0.8762,0.9571
26,592,689,773,643,723,757,0.6,0.8,1.0,0.702,0.8794,0.9595
27,574,670,753,627,705,738,0.6,0.8,1.0,0.7061,0.8825,0.9619
28,557,653,734,612,689,720,0.6,0.8,1.0,0.7102,0.8857,0.9643
29,539,634,714,596,671,702,0.6,0.8,1.0,0.7143,0.8889,0.9667
30,518,613,692,577,650,680,0.6,0.8,1.0,0.7184,0.8921,0.969
31,496,589,668,555,628,657,0.6,0.8,1.0,0.7224,0.8952,0.9714
32,473,565,643,534,605,634,0.6,0.8,1.0,0.7265,0.8984,0.9738
33,451,543,621,513,584,612,0.6,0.8,1.0,0.7306,0.9016,0.9762
34,433,524,601,496,566,593,0.6,0.8,1.0,0.7347,0.9048,0.9786
35,418,509,586,483,552,579,0.6,0.8,1.0,0.7388,0.9079,0.981
36,408,498,575,474,542,569,0.6,0.8,1.0,0.7429,0.9111,0.9833
37,401,490,566,468,535,561,0.6,0.8,1.0,0.7469,0.9143,0.9857
38,395,484,560,464,530,556,0.6,0.8,1.0,0.751,0.9175,0.9881
