pick,a0.6_flat,a0.8_flat,a1.0_flat,tiered_0.6_to_0.8_by50,lin_0.8_to_1.00_at64,lin_0.9_to_1.05_at64,alpha_a0.6_flat,alpha_a0.8_flat,alpha_a1.0_flat,alpha_tiered_0.6_to_0.8_by50,alpha_lin_0.8_to_1.00_at64,alpha_lin_0.9_to_1.05_at64
1,3000,3000,3000,3000,3000,3000,0.6,0.8,1.0,0.6,0.8,0.9
2,2999,2999,2999,2999,2999,2999,0.6,0.8,1.0,0.6041,0.8032,0.9024
3,2783,2835,2886,2787,2838,2863,0.6,0.8,1.0,0.6082,0.8063,0.9048
4,2352,2401,2453,2357,2405,2430,0.6,0.8,1.0,0.6122,0.8095,0.9071
5,1851,1891,1931,1857,1895,1914,0.6,0.8,1.0,0.6163,0.8127,0.9095
6,1464,1529,1582,1477,1537,1562,0.6,0.8,1.0,0.6204,0.8159,0.9119
7,1463,1528,1581,1476,1536,1561,0.6,0.8,1.0,0.6245,0.819,0.9143
8,1462,1527,1580,1475,1535,1560,0.6,0.8,1.0,0.6286,0.8222,0.9167
9,1385,1453,1508,1402,1464,1489,0.6,0.8,1.0,0.6327,0.8254,0.919
10,1384,1435,1478,1401,1446,1465,0.6,0.8,1.0,0.6367,0.8286,0.9214
11,1383,1434,1477,1400,1445,1464,0.6,0.8,1.0,0.6408,0.8317,0.9238
12,1380,1432,1476,1399,1444,1463,0.6,0.8,1.0,0.6449,0.8349,0.9262
13,1268,1311,1349,1286,1324,1340,0.6,0.8,1.0,0.649,0.8381,0.9286
14,1108,1142,1171,1124,1153,1165,0.6,0.8,1.0,0.6531,0.8413,0.931
15,989,1017,1040,1003,1027,1036,0.6,0.8,1.0,0.6571,0.8444,0.9333
16,949,980,1012,967,994,1007,0.6,0.8,1.0,0.6612,0.8476,0.9357
17,948,979,1011,966,993,1006,0.6,0.8,1.0,0.6653,0.8508,0.9381
18,947,978,1010,965,992,1005,0.6,0.8,1.0,0.6694,0.854,0.9405
19,929,977,1009,956,991,1004,0.6,0.8,1.0,0.6735,0.8571,0.9429
20,877,941,995,911,963,985,0.6,0.8,1.0,0.6776,0.8603,0.9452
21,812,886,948,851,912,936,0.6,0.8,1.0,0.6816,0.8635,0.9476
22,749,829,896,792,857,884,0.6,0.8,1.0,0.6857,0.8667,0.95
23,696,779,848,742,810,837,0.6,0.8,1.0,0.6898,0.8698,0.9524
24,655,739,810,704,771,799,0.6,0.8,1.0,0.6939,0.873,0.9548
25,625,709,780,676,743,769,0.6,0.8,1.0,0.698,0.8762,0.9571
26,602,687,756,655,721,747,0.6,0.8,1.0,0.702,0.8794,0.9595
27,584,668,736,638,703,728,0.6,0.8,1.0,0.7061,0.8825,0.9619
28,567,651,718,623,687,711,0.6,0.8,1.0,0.7102,0.8857,0.9643
29,549,632,699,606,669,693,0.6,0.8,1.0,0.7143,0.8889,0.9667
30,528,611,677,587,648,672,0.6,0.8,1.0,0.7184,0.8921,0.969
31,505,587,653,565,626,649,0.6,0.8,1.0,0.7224,0.8952,0.9714
32,481,564,629,543,603,626,0.6,0.8,1.0,0.7265,0.8984,0.9738
33,459,542,607,523,582,604,0.6,0.8,1.0,0.7306,0.9016,0.9762
34,441,522,588,505,564,586,0.6,0.8,1.0,0.7347,0.9048,0.9786
35,426,507,573,492,550,571,0.6,0.8,1.0,0.7388,0.9079,0.981
36,415,496,562,482,540,561,0.6,0.8,1.0,0.7429,0.9111,0.9833
37,408,489,554,476,533,554,0.6,0.8,1.0,0.7469,0.9143,0.9857
38,403,483,548,472,528,549,0.6,0.8,1.0,0.751,0.9175,0.9881
39,397,476,541,468,523,543,0.6,0.8,1.0,0.7551,0.9206,0.9905
40,390,469,533,462,516,536,0.6,0.8,1.0,0.7592,0.9238,0.9929
41,381,458,522,453,506,525,0.6,0.8,1.0,0.7633,0.927,0.9952
42,368,445,508,441,493,512,0.6,0.8,1.0,0.7673,0.9302,0.9976
43,353,429,491,426,477,495,0.6,0.8,1.0,0.7714,0.9333,1.0
44,336,410,471,410,459,477,0.6,0.8,1.0,0.7755,0.9365,1.0024
45,319,391,451,392,440,457,0.6,0.8,1.0,0.7796,0.9397,1.0048
46,302,373,431,374,421,438,0.6,0.8,1.0,0.7837,0.9429,1.0071
47,286,355,412,358,403,419,0.6,0.8,1.0,0.7878,0.946,1.0095
48,271,339,395,344,388,403,0.6,0.8,1.0,0.7918,0.9492,1.0119
49,259,326,381,331,374,388,0.6,0.8,1.0,0.7959,0.9524,1.0143
50,248,314,368,321,362,376,0.6,0.8,1.0,0.8,0.9556,1.0167
51,242,307,360,313,355,369,0.6,0.8,1.0,0.8,0.9587,1.019
52,233,297,349,303,345,359,0.6,0.8,1.0,0.8,0.9619,1.0214
53,225,288,340,294,337,350,0.6,0.8,1.0,0.8,0.9651,1.0238
54,217,279,330,285,328,341,0.6,0.8,1.0,0.8,0.9683,1.0262
55,210,271,321,276,320,332,0.6,0.8,1.0,0.8,0.9714,1.0286
56,202,261,311,267,311,322,0.6,0.8,1.0,0.8,0.9746,1.031
57,193,252,301,257,301,312,0.6,0.8,1.0,0.8,0.9778,1.0333
58,184,241,289,246,290,301,0.6,0.8,1.0,0.8,0.981,1.0357
59,175,231,277,235,279,289,0.6,0.8,1.0,0.8,0.9841,1.0381
60,166,220,265,224,267,277,0.6,0.8,1.0,0.8,0.9873,1.0405
61,156,209,253,213,256,265,0.6,0.8,1.0,0.8,0.9905,1.0429
62,147,198,241,202,244,254,0.6,0.8,1.0,0.8,0.9937,1.0452
63,138,188,230,192,234,243,0.6,0.8,1.0,0.8,0.9968,1.0476
64,131,179,221,183,226,234,0.6,0.8,1.0,0.8,1.0,1.05
LADDER_TOTAL,47355,51376,54722,50410,53483,54611,,,,,,
FACTOR_S,1.018146,0.997192,0.977688,1.017878,0.996998,0.987123,,,,,,
CONSERVATION_unit_adjusted,0.8309,0.9203,0.9998,0.8847,0.9583,0.9883,,,,,,
PICK_CLASS_vs_numeraire,14.785,16.1253,17.2407,15.8033,16.8277,17.2037,,,,,,
