pick,adopted_shipped_ladder,rederived_scar,rederived_vor,rederived_vor_over_scar,shipped_ladder_moves_with_gamma,model_raw_production,model_val_scar,model_val_vor
1,3000,3000,3000,1.0,False,1222.0732,1986,1797
2,2767,2835,2871,1.0127,False,1222.0732,1986,1797
3,2693,2759,2787,1.0101,False,1222.0732,1986,1797
4,2469,2529,2538,1.0036,False,498.8837,927,733
5,2224,2277,2264,0.9943,False,498.8837,927,733
6,1971,2018,1979,0.9807,False,498.8837,927,733
7,1907,1952,1912,0.9795,False,498.8837,927,733
8,1783,1826,1778,0.9737,False,416.8836,796,613
9,1676,1716,1660,0.9674,False,416.8836,796,613
10,1657,1697,1640,0.9664,False,416.8836,796,613
11,1628,1667,1609,0.9652,False,416.8836,796,613
12,1551,1588,1527,0.9616,False,416.8836,796,613
13,1445,1480,1413,0.9547,False,95.7814,228,141
14,1341,1373,1303,0.949,False,95.7814,228,141
15,1263,1293,1222,0.9451,False,95.7814,228,141
16,1207,1235,1165,0.9433,False,95.7814,228,141
17,1160,1186,1118,0.9427,False,95.7814,228,141
18,1117,1143,1076,0.9414,False,95.7814,228,141
19,1081,1106,1042,0.9421,False,95.7814,228,141
20,1051,1075,1013,0.9423,False,95.7814,228,141
21,1022,1046,985,0.9417,False,53.1615,138,78
22,994,1017,957,0.941,False,53.1615,138,78
23,964,987,927,0.9392,False,53.1615,138,78
24,935,956,895,0.9362,False,53.1615,138,78
25,906,927,865,0.9331,False,53.1615,138,78
26,880,901,838,0.9301,False,53.1615,138,78
27,858,878,815,0.9282,False,53.1615,138,78
28,840,859,795,0.9255,False,34.8154,96,51
29,824,843,779,0.9241,False,34.8154,96,51
30,811,829,765,0.9228,False,34.8154,96,51
31,798,816,752,0.9216,False,34.8154,96,51
32,785,802,739,0.9214,False,34.8154,96,51
33,771,789,726,0.9202,False,34.8154,96,51
34,758,775,713,0.92,False,34.8154,96,51
35,744,760,699,0.9197,False,34.8154,96,51
36,730,746,685,0.9182,False,15.7758,49,23
37,716,732,671,0.9167,False,15.7758,49,23
38,703,719,658,0.9152,False,15.7758,49,23
39,691,706,646,0.915,False,15.7758,49,23
40,679,695,635,0.9137,False,15.7758,49,23
41,669,684,624,0.9123,False,15.7758,49,23
42,660,675,615,0.9111,False,15.7758,49,23
43,651,666,607,0.9114,False,15.7758,49,23
44,644,659,599,0.909,False,15.7758,49,23
45,637,652,593,0.9095,False,15.7758,49,23
46,631,645,586,0.9085,False,15.7758,49,23
47,625,639,580,0.9077,False,15.7758,49,23
48,619,634,575,0.9069,False,15.7758,49,23
49,614,628,569,0.9061,False,12.9033,41,19
50,609,623,564,0.9053,False,12.9033,41,19
51,604,618,559,0.9045,False,12.9033,41,19
52,600,613,555,0.9054,False,12.9033,41,19
53,595,609,550,0.9031,False,12.9033,41,19
54,591,605,546,0.9025,False,12.9033,41,19
55,588,601,542,0.9018,False,12.9033,41,19
56,584,598,539,0.9013,False,12.9033,41,19
57,582,595,536,0.9008,False,12.9033,41,19
58,579,593,534,0.9005,False,12.9033,41,19
59,577,591,532,0.9002,False,12.9033,41,19
60,576,589,531,0.9015,False,12.9033,41,19
61,574,588,529,0.8997,False,12.9033,41,19
62,573,587,528,0.8995,False,12.9033,41,19
63,572,586,527,0.8993,False,12.9033,41,19
64,571,585,526,0.8991,False,12.9033,41,19
65 (pool),299,297.2,273.7,0.9209,False,,,
