pick,ruled_shipped_kernel,control,loclin,powerspine,distfirst
1,3000,3000,3000,3000,3000
2,2999,2999,2999,2999,2999
3,2952,2952,2998,2952,2952
4,2509,2509,2603,2509,2509
5,1975,1975,2054,1975,1975
6,1618,1618,1621,1650,1618
7,1617,1617,1620,1649,1617
8,1616,1616,1619,1648,1616
9,1543,1543,1554,1558,1543
10,1511,1511,1513,1518,1511
11,1510,1510,1512,1517,1510
12,1509,1509,1511,1516,1509
13,1380,1380,1403,1387,1380
14,1198,1198,1224,1205,1198
15,1064,1064,1079,1071,1064
16,1035,1035,1035,1041,1035
17,1034,1034,1034,1040,1034
18,1033,1033,1033,1039,1033
19,1032,1032,1032,1038,1032
20,1017,1017,1026,1022,1017
21,969,969,980,974,969
22,916,916,927,920,916
23,868,868,878,872,868
24,828,828,836,832,828
25,797,797,804,801,797
26,773,773,779,777,773
27,753,753,758,757,753
28,734,734,740,738,734
29,714,714,721,718,714
30,692,692,699,695,692
31,668,668,675,671,668
32,643,643,651,646,643
33,621,621,628,623,621
34,601,601,607,604,601
35,586,586,591,589,586
36,575,575,578,577,575
37,566,566,569,569,566
38,560,560,562,562,560
39,553,553,556,556,553
40,545,545,549,547,545
41,534,534,539,536,534
42,519,519,526,522,519
43,502,502,510,504,502
44,482,482,491,484,482
45,462,462,471,464,462
46,441,441,450,443,441
47,422,422,430,423,422
48,404,404,411,406,404
49,389,389,395,390,389
50,376,376,381,377,376
51,365,368,368,366,365
52,356,357,357,355,356
53,347,348,348,346,347
54,340,338,338,337,340
55,332,328,328,329,332
56,325,318,318,320,325
57,319,307,307,312,319
58,312,296,296,303,312
59,305,284,284,294,305
60,299,271,271,286,299
61,293,259,259,278,293
62,288,247,247,270,288
63,283,236,236,263,283
64,279,226,226,256,279
LADDER_TOTAL,56088,55828,56345,56226,56088
CONSERVATION,0.998,0.9934,1.0026,1.0005,0.998
RAW_MONOTONE_VIOLATIONS,,6,7,0,6
N_FORCED_DESCENT,,8,9,1,8
