pick,a0.6_flat,a0.8_flat,a1.0_flat,tiered_0.6_to_0.8_by50,lin_0.8_to_1.00_at64,lin_0.9_to_1.05_at64,alpha_a0.6_flat,alpha_a0.8_flat,alpha_a1.0_flat,alpha_tiered_0.6_to_0.8_by50,alpha_lin_0.8_to_1.00_at64,alpha_lin_0.9_to_1.05_at64
1,3000,3000,3000,3000,3000,3000,0.6,0.8,1.0,0.6,0.8,0.9
2,2999,2999,2999,2999,2999,2999,0.6,0.8,1.0,0.6041,0.8032,0.9024
3,2752,2808,2863,2756,2811,2838,0.6,0.8,1.0,0.6082,0.8063,0.9048
4,2316,2369,2425,2321,2373,2400,0.6,0.8,1.0,0.6122,0.8095,0.9071
5,1807,1849,1892,1813,1854,1874,0.6,0.8,1.0,0.6163,0.8127,0.9095
6,1446,1511,1565,1459,1519,1545,0.6,0.8,1.0,0.6204,0.8159,0.9119
7,1445,1510,1564,1458,1518,1544,0.6,0.8,1.0,0.6245,0.819,0.9143
8,1444,1509,1563,1457,1517,1543,0.6,0.8,1.0,0.6286,0.8222,0.9167
9,1332,1392,1450,1349,1403,1430,0.6,0.8,1.0,0.6327,0.8254,0.919
10,1331,1388,1435,1348,1400,1420,0.6,0.8,1.0,0.6367,0.8286,0.9214
11,1330,1387,1434,1347,1399,1419,0.6,0.8,1.0,0.6408,0.8317,0.9238
12,1329,1386,1433,1346,1398,1418,0.6,0.8,1.0,0.6449,0.8349,0.9262
13,1258,1304,1345,1276,1317,1334,0.6,0.8,1.0,0.649,0.8381,0.9286
14,1101,1138,1170,1117,1149,1162,0.6,0.8,1.0,0.6531,0.8413,0.931
15,981,1012,1038,996,1022,1033,0.6,0.8,1.0,0.6571,0.8444,0.9333
16,947,982,1016,965,997,1010,0.6,0.8,1.0,0.6612,0.8476,0.9357
17,946,981,1015,964,996,1009,0.6,0.8,1.0,0.6653,0.8508,0.9381
18,945,980,1014,963,995,1008,0.6,0.8,1.0,0.6694,0.854,0.9405
19,935,979,1013,962,994,1007,0.6,0.8,1.0,0.6735,0.8571,0.9429
20,882,947,1002,916,970,992,0.6,0.8,1.0,0.6776,0.8603,0.9452
21,814,889,952,854,915,940,0.6,0.8,1.0,0.6816,0.8635,0.9476
22,748,828,896,791,857,883,0.6,0.8,1.0,0.6857,0.8667,0.95
23,692,775,845,738,805,833,0.6,0.8,1.0,0.6898,0.8698,0.9524
24,649,733,803,697,765,792,0.6,0.8,1.0,0.6939,0.873,0.9548
25,617,701,772,667,734,761,0.6,0.8,1.0,0.698,0.8762,0.9571
26,594,678,747,646,712,738,0.6,0.8,1.0,0.702,0.8794,0.9595
27,576,659,728,629,694,720,0.6,0.8,1.0,0.7061,0.8825,0.9619
28,559,643,710,615,678,703,0.6,0.8,1.0,0.7102,0.8857,0.9643
29,542,625,692,599,662,686,0.6,0.8,1.0,0.7143,0.8889,0.9667
30,523,606,672,581,643,667,0.6,0.8,1.0,0.7184,0.8921,0.969
31,501,585,650,562,623,646,0.6,0.8,1.0,0.7224,0.8952,0.9714
32,480,563,628,541,602,625,0.6,0.8,1.0,0.7265,0.8984,0.9738
33,459,542,608,522,582,605,0.6,0.8,1.0,0.7306,0.9016,0.9762
34,442,524,590,506,566,588,0.6,0.8,1.0,0.7347,0.9048,0.9786
35,428,510,576,494,553,574,0.6,0.8,1.0,0.7388,0.9079,0.981
36,418,500,566,485,543,565,0.6,0.8,1.0,0.7429,0.9111,0.9833
37,411,492,558,479,537,558,0.6,0.8,1.0,0.7469,0.9143,0.9857
38,406,486,552,475,532,553,0.6,0.8,1.0,0.751,0.9175,0.9881
39,400,480,546,471,527,547,0.6,0.8,1.0,0.7551,0.9206,0.9905
40,393,473,538,465,520,540,0.6,0.8,1.0,0.7592,0.9238,0.9929
41,384,462,527,456,510,530,0.6,0.8,1.0,0.7633,0.927,0.9952
42,371,449,512,444,497,516,0.6,0.8,1.0,0.7673,0.9302,0.9976
43,356,432,495,429,481,500,0.6,0.8,1.0,0.7714,0.9333,1.0
44,339,414,476,413,463,481,0.6,0.8,1.0,0.7755,0.9365,1.0024
45,322,395,456,395,444,462,0.6,0.8,1.0,0.7796,0.9397,1.0048
46,305,377,436,378,426,443,0.6,0.8,1.0,0.7837,0.9429,1.0071
47,289,360,418,362,408,425,0.6,0.8,1.0,0.7878,0.946,1.0095
48,275,344,401,348,393,409,0.6,0.8,1.0,0.7918,0.9492,1.0119
49,263,331,387,336,380,395,0.6,0.8,1.0,0.7959,0.9524,1.0143
50,253,320,375,326,369,383,0.6,0.8,1.0,0.8,0.9556,1.0167
51,246,313,367,319,362,376,0.6,0.8,1.0,0.8,0.9587,1.019
52,238,303,357,309,353,366,0.6,0.8,1.0,0.8,0.9619,1.0214
53,230,294,347,300,344,357,0.6,0.8,1.0,0.8,0.9651,1.0238
54,222,286,338,291,336,348,0.6,0.8,1.0,0.8,0.9683,1.0262
55,214,277,329,282,327,339,0.6,0.8,1.0,0.8,0.9714,1.0286
56,206,268,318,273,318,330,0.6,0.8,1.0,0.8,0.9746,1.031
57,197,257,307,263,307,319,0.6,0.8,1.0,0.8,0.9778,1.0333
58,188,247,295,251,296,307,0.6,0.8,1.0,0.8,0.981,1.0357
59,178,235,283,240,284,295,0.6,0.8,1.0,0.8,0.9841,1.0381
60,168,223,269,227,271,281,0.6,0.8,1.0,0.8,0.9873,1.0405
61,158,211,256,215,258,268,0.6,0.8,1.0,0.8,0.9905,1.0429
62,148,199,243,203,246,255,0.6,0.8,1.0,0.8,0.9937,1.0452
63,138,188,230,192,234,243,0.6,0.8,1.0,0.8,0.9968,1.0476
64,130,178,219,181,223,232,0.6,0.8,1.0,0.8,1.0,1.05
LADDER_TOTAL,46996,51086,54506,50062,53211,54369,,,,,,
FACTOR_S,1.014052,0.994299,0.975872,1.013787,0.994107,0.984785,,,,,,
CONSERVATION_unit_adjusted,0.8296,0.9197,0.9998,0.884,0.9582,0.9883,,,,,,
PICK_CLASS_vs_numeraire,14.6653,16.0287,17.1687,15.6873,16.737,17.123,,,,,,
